method,lr,weight_decay,hidden_channels,dropout,variant,val_acc,test_acc
acmgcn, 0.01,0.0005,64,0.5,True,78.0000 ± 1.2884, 76.6800 ± 1.7810
acmgcn, 0.01,0.0005,64,0.5,False,76.9200 ± 1.4464, 76.7400 ± 2.2490
acmgcn, 0.01,0.0005,64,0.8,True,79.3200 ± 1.3387, 78.4200 ± 1.0756
acmgcn, 0.01,0.0005,64,0.8,False,79.3200 ± 0.9121, 78.4200 ± 1.2498
acmgcn, 0.01,0.0005,128,0.5,True,77.2800 ± 1.2853, 77.3600 ± 2.3104
acmgcn, 0.01,0.0005,128,0.5,False,77.4800 ± 1.5659, 76.8600 ± 1.7372
acmgcn, 0.01,0.0005,128,0.8,True,79.0800 ± 1.1367, 77.0200 ± 1.7866
acmgcn, 0.01,0.0005,128,0.8,False,79.8400 ± 1.1950, 78.8600 ± 0.8820
acmgcn, 0.01,0.0,64,0.5,True,78.2400 ± 1.0139, 76.7800 ± 1.6888
acmgcn, 0.01,0.0,64,0.5,False,77.2000 ± 1.2490, 76.9000 ± 2.1237
acmgcn, 0.01,0.0,64,0.8,True,79.2800 ± 1.2215, 78.2800 ± 1.0663
acmgcn, 0.01,0.0,64,0.8,False,79.3600 ± 0.7925, 78.9000 ± 1.6688
acmgcn, 0.01,0.0,128,0.5,True,77.2800 ± 1.2377, 76.8000 ± 1.8881
acmgcn, 0.01,0.0,128,0.5,False,77.4000 ± 1.7720, 77.4400 ± 1.5437
acmgcn, 0.01,0.0,128,0.8,True,79.3200 ± 1.2617, 77.7400 ± 1.5307
acmgcn, 0.01,0.0,128,0.8,False,79.7600 ± 1.1171, 78.4400 ± 0.5550
acmgcn, 0.001,0.0005,64,0.5,True,76.0800 ± 0.9654, 76.3200 ± 2.1487
acmgcn, 0.001,0.0005,64,0.5,False,76.3200 ± 0.5933, 75.9800 ± 2.3531
acmgcn, 0.001,0.0005,64,0.8,True,78.6400 ± 0.6841, 78.0000 ± 1.5890
acmgcn, 0.001,0.0005,64,0.8,False,79.3600 ± 1.1082, 77.9600 ± 2.2030
acmgcn, 0.001,0.0005,128,0.5,True,75.3200 ± 1.3900, 75.3600 ± 2.0428
acmgcn, 0.001,0.0005,128,0.5,False,75.7600 ± 1.1082, 75.2200 ± 2.1183
acmgcn, 0.001,0.0005,128,0.8,True,79.1600 ± 1.0139, 78.2000 ± 1.0075
acmgcn, 0.001,0.0005,128,0.8,False,78.6400 ± 0.7403, 77.8000 ± 0.9695
acmgcn, 0.001,0.0,64,0.5,True,76.0800 ± 0.9654, 76.2600 ± 2.1373
acmgcn, 0.001,0.0,64,0.5,False,76.3200 ± 0.5933, 76.0000 ± 2.3162
acmgcn, 0.001,0.0,64,0.8,True,78.6400 ± 0.5899, 77.9000 ± 1.5443
acmgcn, 0.001,0.0,64,0.8,False,79.1600 ± 0.9940, 77.9200 ± 2.1707
acmgcn, 0.001,0.0,128,0.5,True,75.3200 ± 1.3900, 75.6000 ± 1.6386
acmgcn, 0.001,0.0,128,0.5,False,75.7600 ± 1.1082, 75.2000 ± 2.1154
acmgcn, 0.001,0.0,128,0.8,True,79.1600 ± 0.8877, 78.2000 ± 1.0025
acmgcn, 0.001,0.0,128,0.8,False,78.6400 ± 0.7403, 77.5800 ± 0.8585
