method,lr,weight_decay,hidden_channels,dropout,variant,val_acc,test_acc
acmgcn, 0.001,0.0005,64,0.5,True,88.4889 ± 1.3735, 90.4328 ± 0.3955
acmgcn, 0.001,0.0005,64,0.5,False,88.3556 ± 1.6674, 90.4271 ± 0.6181
acmgcn, 0.001,0.0005,64,0.8,True,88.8444 ± 1.7026, 90.4624 ± 0.5787
acmgcn, 0.001,0.0005,64,0.8,False,88.5778 ± 1.7256, 90.0779 ± 0.7611
acmgcn, 0.001,0.0005,128,0.5,True,88.8444 ± 1.8486, 90.3054 ± 0.5956
acmgcn, 0.001,0.0005,128,0.5,False,88.5778 ± 1.5761, 90.0597 ± 0.5841
acmgcn, 0.001,0.0005,128,0.8,True,88.9778 ± 1.4791, 90.5227 ± 0.5205
acmgcn, 0.001,0.0005,128,0.8,False,88.9778 ± 1.4623, 90.5409 ± 0.5464
acmgcn, 0.001,0.0,64,0.5,True,88.4889 ± 1.3735, 90.4374 ± 0.3756
acmgcn, 0.001,0.0,64,0.5,False,88.3556 ± 1.6674, 90.4487 ± 0.6411
acmgcn, 0.001,0.0,64,0.8,True,88.8444 ± 1.7026, 90.4499 ± 0.6042
acmgcn, 0.001,0.0,64,0.8,False,88.6222 ± 1.7666, 90.0449 ± 0.7383
acmgcn, 0.001,0.0,128,0.5,True,88.8444 ± 1.8486, 90.3065 ± 0.5897
acmgcn, 0.001,0.0,128,0.5,False,88.5778 ± 1.5761, 90.0609 ± 0.5823
acmgcn, 0.001,0.0,128,0.8,True,88.9778 ± 1.4791, 90.5238 ± 0.5217
acmgcn, 0.001,0.0,128,0.8,False,88.9778 ± 1.4623, 90.5340 ± 0.5489
