method,lr,weight_decay,hidden_channels,dropout,variant,val_acc,test_acc
acmgcn, 0.01,0.0005,64,0.5,True,65.2400 ± 3.2570, 61.2200 ± 2.2466
acmgcn, 0.01,0.0005,64,0.5,False,63.7200 ± 2.4108, 59.6800 ± 2.0909
acmgcn, 0.01,0.0005,64,0.8,True,67.1200 ± 1.3755, 63.3800 ± 1.9409
acmgcn, 0.01,0.0005,64,0.8,False,64.5200 ± 3.0874, 60.2600 ± 3.6391
acmgcn, 0.01,0.0005,128,0.5,True,62.6000 ± 1.9950, 60.6400 ± 2.2199
acmgcn, 0.01,0.0005,128,0.5,False,61.2000 ± 3.7202, 58.3000 ± 2.6879
acmgcn, 0.01,0.0005,128,0.8,True,68.0800 ± 1.0826, 65.0800 ± 1.9136
acmgcn, 0.01,0.0005,128,0.8,False,64.3200 ± 2.1100, 61.6400 ± 2.9535
acmgcn, 0.01,0.0,64,0.5,True,65.2800 ± 3.0483, 60.5800 ± 2.2219
acmgcn, 0.01,0.0,64,0.5,False,63.1200 ± 2.9244, 60.6400 ± 2.1291
acmgcn, 0.01,0.0,64,0.8,True,66.7600 ± 1.6087, 63.3000 ± 1.0817
acmgcn, 0.01,0.0,64,0.8,False,64.2000 ± 3.6715, 60.3200 ± 4.1009
acmgcn, 0.01,0.0,128,0.5,True,62.6800 ± 1.8144, 60.5200 ± 2.1499
acmgcn, 0.01,0.0,128,0.5,False,61.4000 ± 3.7121, 58.9200 ± 3.0801
acmgcn, 0.01,0.0,128,0.8,True,68.0000 ± 0.8718, 64.9000 ± 1.8934
acmgcn, 0.01,0.0,128,0.8,False,64.7600 ± 1.8461, 61.3000 ± 2.2394
acmgcn, 0.001,0.0005,64,0.5,True,61.8000 ± 2.9017, 60.0200 ± 2.5898
acmgcn, 0.001,0.0005,64,0.5,False,61.3200 ± 2.9141, 59.6800 ± 3.3885
acmgcn, 0.001,0.0005,64,0.8,True,66.6400 ± 1.2033, 63.6200 ± 1.3609
acmgcn, 0.001,0.0005,64,0.8,False,64.4800 ± 2.7444, 62.3400 ± 2.4203
acmgcn, 0.001,0.0005,128,0.5,True,61.9600 ± 2.9678, 60.0800 ± 1.7456
acmgcn, 0.001,0.0005,128,0.5,False,61.9200 ± 3.4339, 60.0800 ± 1.9588
acmgcn, 0.001,0.0005,128,0.8,True,66.2800 ± 1.4805, 64.3200 ± 1.2795
acmgcn, 0.001,0.0005,128,0.8,False,65.5600 ± 1.6935, 63.2200 ± 2.0897
acmgcn, 0.001,0.0,64,0.5,True,61.7600 ± 2.9678, 60.0000 ± 2.6115
acmgcn, 0.001,0.0,64,0.5,False,61.3600 ± 2.8475, 59.7400 ± 3.3471
acmgcn, 0.001,0.0,64,0.8,True,66.6800 ± 1.1713, 63.7800 ± 1.4498
acmgcn, 0.001,0.0,64,0.8,False,64.5600 ± 2.7835, 62.0200 ± 2.4652
acmgcn, 0.001,0.0,128,0.5,True,61.9600 ± 2.9678, 60.0600 ± 1.7501
acmgcn, 0.001,0.0,128,0.5,False,61.9200 ± 3.4339, 60.1200 ± 1.9383
acmgcn, 0.001,0.0,128,0.8,True,66.3600 ± 1.4926, 64.2000 ± 1.5232
acmgcn, 0.001,0.0,128,0.8,False,65.6400 ± 1.6149, 63.3400 ± 1.8690
acmgcn, 0.001,0.0005,64,0.5,True,61.8000 ± 2.9017, 60.0200 ± 2.5898
acmgcn, 0.001,0.0005,64,0.5,False,61.3200 ± 2.9141, 59.6800 ± 3.3885
acmgcn, 0.001,0.0005,64,0.8,True,66.6400 ± 1.2033, 63.6200 ± 1.3609
acmgcn, 0.001,0.0005,64,0.8,False,64.4800 ± 2.7444, 62.3400 ± 2.4203
acmgcn, 0.001,0.0005,128,0.5,True,61.9600 ± 2.9678, 60.0800 ± 1.7456
acmgcn, 0.001,0.0005,128,0.5,False,61.9200 ± 3.4339, 60.0800 ± 1.9588
acmgcn, 0.001,0.0005,128,0.8,True,66.2800 ± 1.4805, 64.3200 ± 1.2795
acmgcn, 0.001,0.0005,128,0.8,False,65.5600 ± 1.6935, 63.2200 ± 2.0897
acmgcn, 0.001,0.0,64,0.5,True,61.7600 ± 2.9678, 60.0000 ± 2.6115
acmgcn, 0.001,0.0,64,0.5,False,61.3600 ± 2.8475, 59.7400 ± 3.3471
acmgcn, 0.001,0.0,64,0.8,True,66.6800 ± 1.1713, 63.7800 ± 1.4498
acmgcn, 0.001,0.0,64,0.8,False,64.5600 ± 2.7835, 62.0200 ± 2.4652
acmgcn, 0.001,0.0,128,0.5,True,61.9600 ± 2.9678, 60.0600 ± 1.7501
acmgcn, 0.001,0.0,128,0.5,False,61.9200 ± 3.4339, 60.1200 ± 1.9383
acmgcn, 0.001,0.0,128,0.8,True,66.3600 ± 1.4926, 64.2000 ± 1.5232
acmgcn, 0.001,0.0,128,0.8,False,65.6400 ± 1.6149, 63.3400 ± 1.8690
