method,lr,weight_decay,hidden_channels,dropout,variant,val_acc,test_acc
acmgcn, 0.01,0.0005,64,0.5,False,91.7333 ± 2.0331, 91.8091 ± 0.9434
acmgcn, 0.01,0.0005,64,0.5,True,91.3333 ± 2.6247, 92.3056 ± 0.8942
acmgcn, 0.01,0.0005,64,0.8,True,91.7333 ± 1.8012, 92.4452 ± 0.7140
acmgcn, 0.01,0.0,64,0.5,False,91.7333 ± 2.0331, 91.8115 ± 0.9378
acmgcn, 0.01,0.0,64,0.8,True,92.0000 ± 1.6997, 92.1467 ± 1.3150
acmgcn, 0.01,0.0005,64,0.8,False,92.0000 ± 1.6330, 92.0906 ± 1.0388
acmgcn, 0.01,0.0,64,0.5,True,91.3333 ± 2.6247, 92.3085 ± 0.8953
acmgcn, 0.001,0.0005,64,0.8,True,91.2000 ± 1.7256, 92.7063 ± 0.7536
acmgcn, 0.001,0.0005,64,0.5,True,91.0667 ± 2.6499, 92.2291 ± 0.2476
acmgcn, 0.001,0.0,64,0.8,True,91.2000 ± 1.7256, 92.7068 ± 0.7424
acmgcn, 0.001,0.0,64,0.5,False,90.4000 ± 2.6916, 91.2134 ± 1.9750
acmgcn, 0.001,0.0005,64,0.5,False,90.4000 ± 2.6916, 91.2122 ± 1.9759
acmgcn, 0.001,0.0,64,0.5,True,91.0667 ± 2.6499, 92.2267 ± 0.2460
acmgcn, 0.001,0.0,64,0.8,False,91.4667 ± 1.9664, 92.1625 ± 0.8957
acmgcn, 0.001,0.0005,64,0.8,False,91.4667 ± 1.9664, 92.1631 ± 0.8978
acmgcn, 0.01,0.0,64,0.8,False,92.4000 ± 1.5348, 91.8401 ± 1.3580
acmgcn, 0.001,0.0,128,0.8,False,91.4667 ± 1.6600, 92.2045 ± 0.8004
acmgcn, 0.001,0.0,128,0.8,True,91.3333 ± 1.8257, 92.3056 ± 1.4242
acmgcn, 0.01,0.0005,128,0.8,True,92.1333 ± 1.9664, 91.9756 ± 1.5891
acmgcn, 0.01,0.0005,128,0.5,False,92.4000 ± 1.6733, 91.0224 ± 1.9466
acmgcn, 0.01,0.0,128,0.5,False,91.8667 ± 1.0954, 91.3144 ± 1.6899
acmgcn, 0.001,0.0,128,0.5,False,91.2000 ± 1.6600, 91.5644 ± 0.8722
acmgcn, 0.01,0.0005,128,0.5,True,91.4667 ± 1.3663, 91.9067 ± 1.2216
acmgcn, 0.01,0.0005,128,0.8,False,92.4000 ± 2.4313, 91.3641 ± 1.7429
acmgcn, 0.01,0.0,128,0.8,False,92.0000 ± 2.2111, 91.3705 ± 2.1152
acmgcn, 0.001,0.0,128,0.5,True,90.2667 ± 1.4606, 91.6713 ± 0.7714
acmgcn, 0.01,0.0,128,0.8,True,92.2667 ± 1.8012, 91.3179 ± 2.3747
acmgcn, 0.001,0.0005,128,0.8,False,91.4667 ± 1.6600, 92.1981 ± 0.7944
acmgcn, 0.01,0.0,128,0.5,True,91.6000 ± 1.5348, 91.9563 ± 1.2937
acmgcn, 0.001,0.0005,128,0.8,True,91.3333 ± 1.8257, 92.3067 ± 1.4228
acmgcn, 0.001,0.0005,128,0.5,False,91.2000 ± 1.6600, 91.5638 ± 0.8718
acmgcn, 0.001,0.0005,128,0.5,True,90.2667 ± 1.4606, 91.6713 ± 0.7714
