method,lr,weight_decay,hidden_channels,dropout,variant,val_acc,test_acc
acmgcn, 0.01,0.0005,64,0.5,True,76.6000 ± 1.9235, 75.4400 ± 1.9347
acmgcn, 0.01,0.0005,64,0.5,False,77.0800 ± 2.2874, 75.9200 ± 1.3700
acmgcn, 0.01,0.0005,64,0.8,True,78.5600 ± 1.9152, 76.7000 ± 1.3248
acmgcn, 0.01,0.0005,64,0.8,False,78.2800 ± 1.9005, 76.2800 ± 1.6784
acmgcn, 0.01,0.0005,128,0.5,True,76.2000 ± 1.9391, 74.9800 ± 2.7013
acmgcn, 0.01,0.0005,128,0.5,False,76.4000 ± 2.1863, 75.5800 ± 1.6858
acmgcn, 0.01,0.0005,128,0.8,True,77.6400 ± 1.9565, 76.1800 ± 2.8367
acmgcn, 0.01,0.0005,128,0.8,False,77.4000 ± 1.8547, 76.2400 ± 2.3734
acmgcn, 0.01,0.0,64,0.5,True,76.5600 ± 1.8995, 75.4000 ± 1.8534
acmgcn, 0.01,0.0,64,0.5,False,77.1200 ± 2.2343, 75.9000 ± 1.3638
acmgcn, 0.01,0.0,64,0.8,True,78.5200 ± 1.8847, 76.5400 ± 1.2759
acmgcn, 0.01,0.0,64,0.8,False,78.4000 ± 1.9442, 76.1800 ± 1.5336
acmgcn, 0.01,0.0,128,0.5,True,76.1600 ± 2.0020, 74.8800 ± 2.6687
acmgcn, 0.01,0.0,128,0.5,False,76.3600 ± 2.2244, 75.0800 ± 1.4755
acmgcn, 0.01,0.0,128,0.8,True,77.6000 ± 1.8000, 76.5000 ± 2.3822
acmgcn, 0.01,0.0,128,0.8,False,77.4800 ± 2.1005, 75.7800 ± 2.7499
acmgcn, 0.001,0.0005,64,0.5,True,75.4800 ± 1.5531, 74.4200 ± 1.4412
acmgcn, 0.001,0.0005,64,0.5,False,76.2000 ± 2.0298, 74.7400 ± 1.3520
acmgcn, 0.001,0.0005,64,0.8,True,77.6800 ± 1.9422, 75.7200 ± 1.9110
acmgcn, 0.001,0.0005,64,0.8,False,77.5600 ± 2.0995, 75.7400 ± 2.3093
acmgcn, 0.001,0.0005,128,0.5,True,75.0000 ± 2.2226, 73.5400 ± 2.4306
acmgcn, 0.001,0.0005,128,0.5,False,75.2400 ± 2.7107, 74.8000 ± 1.8828
acmgcn, 0.001,0.0005,128,0.8,True,77.1600 ± 1.7743, 75.8000 ± 1.9404
acmgcn, 0.001,0.0005,128,0.8,False,77.2800 ± 1.8580, 76.2600 ± 1.7855
acmgcn, 0.001,0.0,64,0.5,True,75.4800 ± 1.5531, 74.4400 ± 1.4363
acmgcn, 0.001,0.0,64,0.5,False,76.2000 ± 2.0298, 74.7400 ± 1.3520
acmgcn, 0.001,0.0,64,0.8,True,77.6800 ± 1.9422, 75.7000 ± 1.9092
acmgcn, 0.001,0.0,64,0.8,False,77.5600 ± 2.0995, 75.8000 ± 2.3000
acmgcn, 0.001,0.0,128,0.5,True,75.0000 ± 2.2226, 73.5200 ± 2.4160
acmgcn, 0.001,0.0,128,0.5,False,75.2400 ± 2.7107, 74.7600 ± 1.9334
acmgcn, 0.001,0.0,128,0.8,True,77.1600 ± 1.7743, 75.7800 ± 1.9110
acmgcn, 0.001,0.0,128,0.8,False,77.2800 ± 1.8580, 76.2400 ± 1.8188
