method,lr,weight_decay,hidden_channels,dropout,variant,val_acc,test_acc
acmgcn, 0.01,0.0005,64,0.5,True,48.0803 ± 0.3100, 47.9614 ± 0.2463
acmgcn, 0.01,0.0005,64,0.8,True,46.2346 ± 0.4426, 46.1351 ± 0.4634
acmgcn, 0.01,0.0005,64,0.5,False,47.9622 ± 0.5584, 47.8844 ± 0.3464
acmgcn, 0.01,0.0005,64,0.8,False,43.9820 ± 1.1035, 43.7924 ± 1.3534
acmgcn, 0.01,0.0005,128,0.5,True,48.6113 ± 0.6281, 48.4191 ± 0.3046
acmgcn, 0.01,0.0005,128,0.8,True,46.1061 ± 0.3104, 46.0146 ± 0.4263
acmgcn, 0.01,0.0005,128,0.5,False,47.0769 ± 0.8280, 46.7860 ± 0.5917
acmgcn, 0.01,0.0,64,0.5,False,47.9055 ± 0.5683, 47.7771 ± 0.4103
acmgcn, 0.01,0.0,64,0.5,True,48.1620 ± 0.4518, 47.9529 ± 0.3328
acmgcn, 0.01,0.0,64,0.8,True,46.1840 ± 0.4311, 46.1053 ± 0.4316
acmgcn, 0.01,0.0005,128,0.8,False,44.2702 ± 1.4442, 44.0655 ± 1.2274
acmgcn, 0.01,0.0,64,0.8,False,44.0553 ± 1.1306, 43.9219 ± 1.3561
acmgcn, 0.001,0.0005,64,0.5,True,47.2810 ± 0.3358, 47.2414 ± 0.1397
acmgcn, 0.001,0.0,64,0.5,True,47.2890 ± 0.3372, 47.2438 ± 0.1548
acmgcn, 0.001,0.0005,64,0.5,False,45.5207 ± 0.5727, 45.4893 ± 0.2952
acmgcn, 0.001,0.0005,64,0.8,False,42.8440 ± 0.5861, 42.8330 ± 0.9698
acmgcn, 0.001,0.0005,64,0.8,True,43.2710 ± 3.9597, 43.0144 ± 4.2730
acmgcn, 0.001,0.0,64,0.5,False,45.5226 ± 0.5656, 45.4935 ± 0.2980
acmgcn, 0.001,0.0,64,0.8,False,42.8317 ± 0.5915, 42.8344 ± 0.9826
acmgcn, 0.001,0.0,64,0.8,True,43.2635 ± 3.9579, 43.0002 ± 4.2409
acmgcn, 0.01,0.0,128,0.8,True,46.1160 ± 0.3041, 46.0689 ± 0.3636
acmgcn, 0.001,0.0005,128,0.8,False,43.5370 ± 0.9901, 43.4651 ± 0.7994
acmgcn, 0.01,0.0,128,0.5,False,47.0821 ± 0.8217, 46.7969 ± 0.6103
acmgcn, 0.01,0.0,128,0.8,False,44.2948 ± 1.4866, 44.0778 ± 1.2893
acmgcn, 0.01,0.0,128,0.5,True,48.5508 ± 0.5752, 48.3544 ± 0.3760
acmgcn, 0.001,0.0005,128,0.5,True,48.2546 ± 0.5155, 48.0960 ± 0.2914
acmgcn, 0.001,0.0005,128,0.8,True,45.5666 ± 0.5272, 45.3698 ± 0.3151
acmgcn, 0.001,0.0,128,0.5,False,45.1423 ± 0.6102, 45.2588 ± 0.4039
acmgcn, 0.001,0.0,128,0.5,True,48.2603 ± 0.5265, 48.1111 ± 0.3109
acmgcn, 0.001,0.0005,128,0.5,False,45.1829 ± 0.6194, 45.2691 ± 0.3924
acmgcn, 0.001,0.0,128,0.8,True,45.5510 ± 0.5614, 45.3476 ± 0.3491
acmgcn, 0.001,0.0,128,0.8,False,43.5318 ± 0.9933, 43.4650 ± 0.8014
