method,lr,weight_decay,hidden_channels,dropout,variant,val_acc,test_acc
acmgcn, 0.001,0.0,64,0.5,False,82.8424 ± 0.2042, 82.6749 ± 0.6074
acmgcn, 0.01,0.0005,64,0.5,False,82.0633 ± 0.5709, 81.7043 ± 0.7154
acmgcn, 0.001,0.0,64,0.8,True,76.4258 ± 0.8841, 76.1649 ± 0.6771
acmgcn, 0.001,0.0,64,0.5,True,81.8036 ± 0.4309, 81.7146 ± 0.7822
acmgcn, 0.01,0.0,64,0.8,True,80.9914 ± 0.5545, 80.8387 ± 0.6004
acmgcn, 0.01,0.0,64,0.8,False,81.9458 ± 0.3804, 81.6754 ± 0.5055
acmgcn, 0.001,0.0005,64,0.5,False,82.8630 ± 0.2060, 82.6873 ± 0.6074
acmgcn, 0.01,0.0005,64,0.5,True,82.1230 ± 0.0830, 81.5703 ± 0.6441
acmgcn, 0.01,0.0,64,0.5,True,82.1993 ± 0.0755, 81.6157 ± 0.5065
acmgcn, 0.001,0.0,64,0.8,False,79.9361 ± 0.8948, 79.9629 ± 0.6051
acmgcn, 0.01,0.0,64,0.5,False,82.0385 ± 0.5541, 81.7826 ± 0.8644
acmgcn, 0.001,0.0005,64,0.5,True,81.7809 ± 0.4175, 81.6589 ± 0.7219
acmgcn, 0.01,0.0005,64,0.8,True,80.8657 ± 0.5430, 80.7604 ± 0.6713
acmgcn, 0.01,0.0005,64,0.8,False,81.9520 ± 0.2818, 81.6280 ± 0.4196
acmgcn, 0.001,0.0005,64,0.8,True,76.4423 ± 0.9159, 76.1875 ± 0.6521
acmgcn, 0.001,0.0005,64,0.8,False,79.9629 ± 0.8753, 79.9670 ± 0.6145
acmgcn, 0.01,0.0,128,0.5,True,82.2199 ± 0.3004, 81.8341 ± 0.8200
acmgcn, 0.01,0.0005,128,0.5,True,82.2220 ± 0.3949, 81.8485 ± 0.6017
acmgcn, 0.001,0.0,128,0.8,False,80.7379 ± 0.6989, 80.6677 ± 0.5957
acmgcn, 0.001,0.0,128,0.8,True,77.7595 ± 0.6288, 77.7434 ± 0.5587
acmgcn, 0.001,0.0,128,0.5,False,82.6755 ± 0.6594, 82.4565 ± 0.2656
acmgcn, 0.001,0.0,128,0.5,True,81.7129 ± 0.6156, 81.4735 ± 0.5680
acmgcn, 0.01,0.0005,128,0.5,False,81.2017 ± 0.4063, 80.7707 ± 0.6374
acmgcn, 0.001,0.0005,128,0.8,True,77.7677 ± 0.6206, 77.7785 ± 0.5296
acmgcn, 0.01,0.0,128,0.8,True,81.5232 ± 0.2901, 81.5085 ± 0.6412
acmgcn, 0.001,0.0005,128,0.8,False,80.7070 ± 0.6772, 80.6574 ± 0.6528
acmgcn, 0.01,0.0005,128,0.8,False,81.7520 ± 0.5934, 81.2839 ± 0.6779
acmgcn, 0.01,0.0,128,0.8,False,81.6510 ± 0.5544, 81.1396 ± 0.8058
acmgcn, 0.01,0.0,128,0.5,False,81.2470 ± 0.3731, 80.7955 ± 0.9970
acmgcn, 0.001,0.0005,128,0.5,False,82.6734 ± 0.6437, 82.4338 ± 0.2751
acmgcn, 0.01,0.0005,128,0.8,True,81.4346 ± 0.2380, 81.3436 ± 0.4358
acmgcn, 0.001,0.0005,128,0.5,True,81.7170 ± 0.6328, 81.4632 ± 0.5258
