method,lr,weight_decay,hidden_channels,dropout,variant,val_acc,test_acc
acmgcn, 0.01,0.0005,64,0.8,True,80.9957 ± 5.7842, 81.0312 ± 5.8106
acmgcn, 0.01,0.0,64,0.8,True,81.1575 ± 6.1347, 81.1970 ± 6.1577
acmgcn, 0.01,0.0005,64,0.5,True,76.5931 ± 14.9721, 76.6344 ± 15.0128
acmgcn, 0.01,0.0,64,0.5,True,76.7867 ± 14.5460, 76.8260 ± 14.6095
acmgcn, 0.001,0.0,64,0.5,True,77.8016 ± 14.5504, 77.8586 ± 14.5357
acmgcn, 0.01,0.0005,64,0.5,False,75.5163 ± 8.3109, 75.6022 ± 8.3053
acmgcn, 0.01,0.0,64,0.8,False,73.3469 ± 8.8374, 73.4481 ± 8.9593
acmgcn, 0.01,0.0005,64,0.8,False,73.6719 ± 9.4343, 73.7999 ± 9.4766
acmgcn, 0.001,0.0,64,0.8,False,71.4436 ± 8.7774, 71.4633 ± 8.8609
acmgcn, 0.001,0.0,64,0.5,False,72.0245 ± 8.9105, 72.0641 ± 8.9952
acmgcn, 0.001,0.0005,64,0.5,True,77.2282 ± 14.1986, 77.2896 ± 14.1868
acmgcn, 0.001,0.0005,64,0.8,False,72.3239 ± 11.5540, 72.3482 ± 11.6833
acmgcn, 0.01,0.0,64,0.5,False,75.6958 ± 7.3289, 75.7702 ± 7.3086
acmgcn, 0.001,0.0005,64,0.5,False,71.8959 ± 8.9260, 71.9292 ± 8.9984
acmgcn, 0.001,0.0,64,0.8,True,77.9635 ± 12.8993, 78.0389 ± 12.8831
acmgcn, 0.001,0.0005,64,0.8,True,78.0820 ± 12.9013, 78.1266 ± 12.8730
acmgcn, 0.01,0.0,128,0.5,True,74.7291 ± 13.9238, 74.7370 ± 13.9694
acmgcn, 0.01,0.0005,128,0.8,True,77.9770 ± 5.7418, 78.1528 ± 5.7563
acmgcn, 0.001,0.0005,128,0.5,True,72.0973 ± 13.0689, 72.2461 ± 12.9067
acmgcn, 0.01,0.0,128,0.8,True,77.5415 ± 7.6089, 77.6889 ± 7.7316
acmgcn, 0.001,0.0,128,0.5,True,76.8371 ± 11.5526, 76.8508 ± 11.5683
acmgcn, 0.01,0.0005,128,0.5,True,74.2935 ± 13.6996, 74.3025 ± 13.7395
acmgcn, 0.001,0.0,128,0.5,False,76.4866 ± 7.6576, 76.4914 ± 7.7554
acmgcn, 0.01,0.0,128,0.5,False,76.4254 ± 8.0533, 76.5694 ± 7.9086
acmgcn, 0.01,0.0005,128,0.5,False,75.6459 ± 8.8946, 75.7159 ± 8.7704
acmgcn, 0.001,0.0005,128,0.8,True,77.0655 ± 10.0950, 77.0828 ± 10.0517
acmgcn, 0.001,0.0,128,0.8,True,76.3082 ± 9.3802, 76.3186 ± 9.4065
acmgcn, 0.001,0.0005,128,0.5,False,72.9170 ± 9.3093, 72.8450 ± 9.2888
acmgcn, 0.01,0.0,128,0.8,False,75.8925 ± 8.2945, 75.9624 ± 8.3505
acmgcn, 0.001,0.0005,128,0.8,False,65.1351 ± 13.8446, 65.1917 ± 13.8917
acmgcn, 0.01,0.0005,128,0.8,False,72.5037 ± 8.7633, 72.5814 ± 8.7919
acmgcn, 0.001,0.0,128,0.8,False,67.7549 ± 10.9906, 67.8063 ± 11.0630
