method,lr,weight_decay,hidden_channels,dropout,variant,val_acc,test_acc
acmgcn, 0.01,0.0005,64,0.5,False,61.8783 ± 0.6015, 61.4528 ± 0.5455
acmgcn, 0.01,0.0005,64,0.5,True,61.3172 ± 0.3452, 60.9108 ± 0.5003
acmgcn, 0.01,0.0005,64,0.8,True,58.8336 ± 0.7157, 58.3664 ± 0.5581
acmgcn, 0.01,0.0005,64,0.8,False,57.4822 ± 2.6637, 57.1225 ± 2.8525
acmgcn, 0.01,0.0005,128,0.5,False,61.0093 ± 1.2327, 60.7552 ± 1.2656
acmgcn, 0.01,0.0005,128,0.5,True,60.9870 ± 0.5206, 60.7319 ± 0.5545
acmgcn, 0.01,0.0005,128,0.8,True,59.1667 ± 0.7280, 58.8484 ± 0.9029
acmgcn, 0.01,0.0,64,0.5,False,61.8707 ± 0.6187, 61.4871 ± 0.6127
acmgcn, 0.01,0.0,64,0.5,True,61.3410 ± 0.2694, 60.9703 ± 0.3017
acmgcn, 0.01,0.0,64,0.8,False,57.9885 ± 2.6800, 57.6697 ± 2.8270
acmgcn, 0.01,0.0,64,0.8,True,58.7627 ± 0.6481, 58.3312 ± 0.6114
acmgcn, 0.001,0.0005,64,0.8,True,58.1170 ± 1.1021, 57.8129 ± 1.1137
acmgcn, 0.001,0.0005,64,0.5,False,57.8200 ± 1.2749, 57.6649 ± 1.0099
acmgcn, 0.001,0.0005,64,0.5,True,60.0785 ± 0.4835, 59.8663 ± 0.5342
acmgcn, 0.001,0.0005,64,0.8,False,55.7980 ± 1.2776, 55.5283 ± 1.3502
acmgcn, 0.001,0.0,64,0.8,True,57.9994 ± 1.0278, 57.7035 ± 1.0511
acmgcn, 0.001,0.0,64,0.5,False,57.8429 ± 1.2693, 57.6716 ± 1.0123
acmgcn, 0.001,0.0,64,0.8,False,55.8080 ± 1.2692, 55.5436 ± 1.3220
acmgcn, 0.001,0.0,64,0.5,True,60.0952 ± 0.4861, 59.8201 ± 0.5085
acmgcn, 0.01,0.0005,128,0.8,False,54.9515 ± 0.7716, 54.8064 ± 0.8110
acmgcn, 0.01,0.0,128,0.8,False,54.6745 ± 0.7203, 54.5171 ± 0.8004
acmgcn, 0.001,0.0005,128,0.5,False,58.7466 ± 0.7111, 58.5572 ± 0.8969
acmgcn, 0.01,0.0,128,0.8,True,58.7651 ± 1.0689, 58.5434 ± 1.1250
acmgcn, 0.01,0.0,128,0.5,True,61.0798 ± 0.4107, 60.8418 ± 0.3143
acmgcn, 0.001,0.0005,128,0.5,True,60.0509 ± 0.1863, 59.8501 ± 0.2513
acmgcn, 0.001,0.0005,128,0.8,True,58.4063 ± 1.2492, 58.0828 ± 1.1198
acmgcn, 0.01,0.0,128,0.5,False,61.0945 ± 1.2153, 60.7714 ± 1.2547
acmgcn, 0.001,0.0005,128,0.8,False,57.4455 ± 1.4418, 57.2919 ± 1.5976
acmgcn, 0.001,0.0,128,0.5,False,58.7656 ± 0.7396, 58.5391 ± 0.9542
acmgcn, 0.001,0.0,128,0.8,False,57.4717 ± 1.4556, 57.3285 ± 1.5830
acmgcn, 0.001,0.0,128,0.5,True,60.0585 ± 0.1780, 59.8111 ± 0.3207
acmgcn, 0.001,0.0,128,0.8,True,58.3340 ± 1.3173, 58.0709 ± 1.1578
