method,lr,weight_decay,num_layers,hidden_channels,dropout,mode,val_acc,test_acc
adagnn, 0.01,0.0005,8,128,0.0,s,79.7600 ± 2.2996, 79.9000 ± 1.4440
adagnn, 0.01,0.0005,8,128,0.0,r,79.7600 ± 2.2996, 79.9000 ± 1.4440
adagnn, 0.01,0.0005,8,128,0.5,s,81.0400 ± 0.7668, 80.4800 ± 0.9121
adagnn, 0.01,0.0005,8,128,0.5,r,81.0400 ± 0.7668, 80.4800 ± 0.9121
adagnn, 0.01,0.0,8,128,0.0,s,79.7600 ± 2.2996, 79.9000 ± 1.4440
adagnn, 0.01,0.0,8,128,0.0,r,79.7600 ± 2.2996, 79.9000 ± 1.4440
adagnn, 0.01,0.0,8,128,0.5,s,81.0400 ± 0.7668, 80.6600 ± 1.0784
adagnn, 0.01,0.0,8,128,0.5,r,81.0400 ± 0.7668, 80.6600 ± 1.0784
adagnn, 0.001,0.0005,8,128,0.0,s,77.8000 ± 2.7313, 77.6000 ± 1.6477
adagnn, 0.001,0.0005,8,128,0.0,r,77.8000 ± 2.7313, 77.6000 ± 1.6477
adagnn, 0.001,0.0005,8,128,0.5,s,80.4400 ± 0.8295, 80.4200 ± 1.0450
adagnn, 0.001,0.0005,8,128,0.5,r,80.4400 ± 0.8295, 80.4200 ± 1.0450
adagnn, 0.001,0.0,8,128,0.0,s,77.8000 ± 2.7313, 77.6000 ± 1.6477
adagnn, 0.001,0.0,8,128,0.0,r,77.8000 ± 2.7313, 77.6000 ± 1.6477
adagnn, 0.001,0.0,8,128,0.5,s,80.4400 ± 0.8295, 80.4800 ± 1.0941
adagnn, 0.001,0.0,8,128,0.5,r,80.4400 ± 0.8295, 80.4800 ± 1.0941
