method,lr,weight_decay,num_layers,hidden_channels,dropout,mode,val_acc,test_acc
adagnn, 0.01,0.0005,8,128,0.0,s,89.4222 ± 0.9635, 89.8698 ± 1.4931
adagnn, 0.01,0.0005,8,128,0.0,r,89.4222 ± 0.9635, 89.8698 ± 1.4931
adagnn, 0.01,0.0005,8,128,0.5,s,88.7556 ± 1.3015, 89.8948 ± 0.8668
adagnn, 0.01,0.0005,8,128,0.5,r,88.7556 ± 1.3015, 89.8948 ± 0.8668
adagnn, 0.01,0.0,8,128,0.0,s,89.4222 ± 0.9635, 89.8686 ± 1.4963
adagnn, 0.01,0.0,8,128,0.0,r,89.4222 ± 0.9635, 89.8686 ± 1.4963
adagnn, 0.01,0.0,8,128,0.5,s,88.7556 ± 1.3015, 89.8948 ± 0.8644
adagnn, 0.01,0.0,8,128,0.5,r,88.7556 ± 1.3015, 89.8948 ± 0.8644
adagnn, 0.001,0.0005,8,128,0.0,s,89.7333 ± 0.9081, 90.8036 ± 0.8480
adagnn, 0.001,0.0005,8,128,0.0,r,89.7333 ± 0.9081, 90.8036 ± 0.8480
adagnn, 0.001,0.0005,8,128,0.5,s,89.6000 ± 0.7919, 90.5284 ± 0.5650
adagnn, 0.001,0.0005,8,128,0.5,r,89.6000 ± 0.7919, 90.5284 ± 0.5650
adagnn, 0.001,0.0,8,128,0.0,s,89.7333 ± 0.9081, 90.8036 ± 0.8480
adagnn, 0.001,0.0,8,128,0.0,r,89.7333 ± 0.9081, 90.8036 ± 0.8480
adagnn, 0.001,0.0,8,128,0.5,s,89.6000 ± 0.7919, 90.5306 ± 0.5590
