method,lr,weight_decay,num_layers,hidden_channels,dropout,mode,val_acc,test_acc
adagnn, 0.01,0.0005,8,128,0.0,s,66.0400 ± 3.1604, 63.4400 ± 1.9398
adagnn, 0.01,0.0005,8,128,0.0,r,66.0400 ± 3.1604, 63.4400 ± 1.9398
adagnn, 0.01,0.0005,8,128,0.5,s,67.1600 ± 1.2522, 62.8400 ± 1.9021
adagnn, 0.01,0.0005,8,128,0.5,r,67.1600 ± 1.2522, 62.8400 ± 1.9021
adagnn, 0.01,0.0,8,128,0.0,s,66.0400 ± 3.1604, 63.4400 ± 1.9398
adagnn, 0.01,0.0,8,128,0.0,r,66.0400 ± 3.1604, 63.4400 ± 1.9398
adagnn, 0.01,0.0,8,128,0.5,s,67.1600 ± 1.2280, 62.8800 ± 1.8633
adagnn, 0.01,0.0,8,128,0.5,r,67.1600 ± 1.2280, 62.8800 ± 1.8633
adagnn, 0.001,0.0005,8,128,0.0,s,64.1600 ± 3.2723, 60.8200 ± 1.6947
adagnn, 0.001,0.0005,8,128,0.0,r,64.1600 ± 3.2723, 60.8200 ± 1.6947
adagnn, 0.001,0.0005,8,128,0.5,s,64.7600 ± 2.7364, 61.2400 ± 2.5667
adagnn, 0.001,0.0005,8,128,0.5,r,64.7600 ± 2.7364, 61.2400 ± 2.5667
adagnn, 0.001,0.0,8,128,0.0,s,64.1600 ± 3.2723, 60.8200 ± 1.6947
adagnn, 0.001,0.0,8,128,0.0,r,64.1600 ± 3.2723, 60.8200 ± 1.6947
adagnn, 0.001,0.0,8,128,0.5,s,64.7600 ± 2.7364, 61.2600 ± 2.5511
adagnn, 0.001,0.0,8,128,0.5,r,64.7600 ± 2.7364, 61.2600 ± 2.5511
