method,lr,weight_decay,num_layers,hidden_channels,dropout,mode,val_acc,test_acc
adagnn, 0.001,0.0,8,64,0.5,s,91.7333 ± 2.4313, 92.0369 ± 1.2347
adagnn, 0.01,0.0,8,64,0.5,r,91.8667 ± 2.4676, 91.5726 ± 1.4871
adagnn, 0.01,0.0005,8,64,0.0,r,92.2667 ± 2.2410, 92.2226 ± 1.2699
adagnn, 0.001,0.0,8,64,0.5,r,91.7333 ± 2.4313, 92.0369 ± 1.2347
adagnn, 0.001,0.0,8,64,0.0,s,91.3333 ± 2.4944, 92.3897 ± 0.7919
adagnn, 0.001,0.0005,8,64,0.0,s,91.3333 ± 2.4944, 92.3897 ± 0.7919
adagnn, 0.01,0.0005,8,64,0.5,r,91.8667 ± 2.4676, 91.5790 ± 1.4725
adagnn, 0.01,0.0005,8,64,0.5,s,91.8667 ± 2.4676, 91.5790 ± 1.4725
adagnn, 0.001,0.0,8,64,0.0,r,91.3333 ± 2.4944, 92.3897 ± 0.7919
adagnn, 0.001,0.0005,8,64,0.0,r,91.3333 ± 2.4944, 92.3897 ± 0.7919
adagnn, 0.001,0.0005,8,64,0.5,r,91.7333 ± 2.4313, 92.0352 ± 1.2336
adagnn, 0.001,0.0005,8,64,0.5,s,91.7333 ± 2.4313, 92.0352 ± 1.2336
adagnn, 0.001,0.0005,8,128,0.5,s,92.1333 ± 1.7256, 91.6590 ± 1.7598
adagnn, 0.01,0.0,8,128,0.0,r,92.0000 ± 1.9437, 92.0702 ± 1.5425
adagnn, 0.01,0.0,8,128,0.0,s,92.0000 ± 1.9437, 92.0702 ± 1.5425
adagnn, 0.01,0.0,8,128,0.5,s,92.1333 ± 2.2804, 91.3092 ± 1.4749
adagnn, 0.001,0.0,8,128,0.0,r,91.8667 ± 2.2804, 92.6624 ± 0.8927
adagnn, 0.01,0.0005,8,128,0.0,r,92.0000 ± 1.9437, 92.0714 ± 1.5436
adagnn, 0.01,0.0005,8,128,0.5,s,92.1333 ± 1.9664, 91.4447 ± 1.7809
adagnn, 0.001,0.0005,8,128,0.0,s,91.8667 ± 2.2804, 92.6624 ± 0.8927
adagnn, 0.01,0.0005,8,128,0.5,r,92.1333 ± 1.9664, 91.4447 ± 1.7809
adagnn, 0.01,0.0,8,128,0.5,r,92.1333 ± 2.2804, 91.3092 ± 1.4749
adagnn, 0.001,0.0,8,128,0.0,s,91.8667 ± 2.2804, 92.6624 ± 0.8927
adagnn, 0.001,0.0,8,128,0.5,s,92.0000 ± 1.9437, 91.6871 ± 1.8157
adagnn, 0.001,0.0005,8,128,0.0,r,91.8667 ± 2.2804, 92.6624 ± 0.8927
adagnn, 0.001,0.0005,8,128,0.5,r,92.1333 ± 1.7256, 91.6590 ± 1.7598
adagnn, 0.001,0.0,8,128,0.5,r,92.0000 ± 1.9437, 91.6871 ± 1.8157
adagnn, 0.01,0.0,8,64,0.0,r,92.2667 ± 2.2410, 92.2232 ± 1.2707
adagnn, 0.01,0.0,8,64,0.0,s,92.2667 ± 2.2410, 92.2232 ± 1.2707
adagnn, 0.01,0.0,8,64,0.5,s,91.8667 ± 2.4676, 91.5726 ± 1.4871
adagnn, 0.01,0.0005,8,64,0.0,s,92.2667 ± 2.2410, 92.2226 ± 1.2699
adagnn, 0.01,0.0005,8,128,0.0,s,92.0000 ± 1.9437, 92.0714 ± 1.5436
