method,lr,weight_decay,num_layers,hidden_channels,dropout,mode,val_acc,test_acc
adagnn, 0.01,0.0005,8,128,0.0,s,75.9200 ± 2.7734, 74.5400 ± 2.0354
adagnn, 0.01,0.0005,8,128,0.0,r,75.9200 ± 2.7734, 74.5400 ± 2.0354
adagnn, 0.01,0.0005,8,128,0.5,s,77.2400 ± 1.4926, 76.8000 ± 1.4577
adagnn, 0.01,0.0005,8,128,0.5,r,77.2400 ± 1.4926, 76.8000 ± 1.4577
adagnn, 0.01,0.0,8,128,0.0,s,75.9200 ± 2.7734, 74.5400 ± 2.0354
adagnn, 0.01,0.0,8,128,0.0,r,75.9200 ± 2.7734, 74.5400 ± 2.0354
adagnn, 0.01,0.0,8,128,0.5,s,77.2800 ± 1.5466, 76.7600 ± 1.4398
adagnn, 0.01,0.0,8,128,0.5,r,77.2800 ± 1.5466, 76.7600 ± 1.4398
adagnn, 0.001,0.0005,8,128,0.0,s,75.6000 ± 2.4900, 75.1800 ± 2.9029
adagnn, 0.001,0.0005,8,128,0.0,r,75.6000 ± 2.4900, 75.1800 ± 2.9029
adagnn, 0.001,0.0005,8,128,0.5,s,77.5600 ± 1.4588, 76.7600 ± 1.3631
adagnn, 0.001,0.0005,8,128,0.5,r,77.5600 ± 1.4588, 76.7600 ± 1.3631
adagnn, 0.001,0.0,8,128,0.0,s,75.6000 ± 2.4900, 75.1800 ± 2.9029
adagnn, 0.001,0.0,8,128,0.0,r,75.6000 ± 2.4900, 75.1800 ± 2.9029
adagnn, 0.001,0.0,8,128,0.5,s,77.6000 ± 1.4765, 76.7400 ± 1.3594
adagnn, 0.001,0.0,8,128,0.5,r,77.6000 ± 1.4765, 76.7400 ± 1.3594
