method,lr,weight_decay,num_layers,hidden_channels,dropout,mode,val_acc,test_acc
adagnn, 0.01,0.0005,8,64,0.0,s,49.4258 ± 0.2738, 49.4669 ± 0.1769
adagnn, 0.01,0.0005,8,64,0.0,r,49.4258 ± 0.2738, 49.4669 ± 0.1769
adagnn, 0.01,0.0005,8,64,0.5,s,45.2689 ± 0.1544, 45.1213 ± 0.3160
adagnn, 0.01,0.0005,8,64,0.5,r,45.2689 ± 0.1544, 45.1213 ± 0.3160
adagnn, 0.01,0.0,8,64,0.0,s,49.5647 ± 0.2716, 49.4900 ± 0.1599
adagnn, 0.01,0.0,8,64,0.0,r,49.5647 ± 0.2716, 49.4900 ± 0.1599
adagnn, 0.01,0.0,8,64,0.5,s,45.2812 ± 0.1901, 45.1477 ± 0.3314
adagnn, 0.01,0.0,8,64,0.5,r,45.2812 ± 0.1901, 45.1477 ± 0.3314
adagnn, 0.01,0.0005,8,128,0.0,s,49.2259 ± 0.6860, 49.0167 ± 0.6039
adagnn, 0.01,0.0005,8,128,0.0,r,49.2259 ± 0.6860, 49.0167 ± 0.6039
adagnn, 0.01,0.0005,8,128,0.5,s,45.7475 ± 0.2274, 45.6523 ± 0.3214
adagnn, 0.01,0.0005,8,128,0.5,r,45.7475 ± 0.2274, 45.6523 ± 0.3214
adagnn, 0.001,0.0005,8,64,0.0,s,48.7578 ± 0.3777, 48.6383 ± 0.4686
adagnn, 0.001,0.0005,8,64,0.0,r,48.7578 ± 0.3777, 48.6383 ± 0.4686
adagnn, 0.001,0.0005,8,64,0.5,s,44.2603 ± 0.1448, 44.1708 ± 0.1964
adagnn, 0.001,0.0005,8,64,0.5,r,44.2603 ± 0.1448, 44.1708 ± 0.1964
adagnn, 0.01,0.0,8,128,0.0,r,49.1683 ± 0.5549, 49.0332 ± 0.5068
adagnn, 0.01,0.0,8,128,0.0,s,49.1683 ± 0.5549, 49.0332 ± 0.5068
adagnn, 0.01,0.0,8,128,0.5,s,45.7617 ± 0.2079, 45.6244 ± 0.2964
adagnn, 0.01,0.0,8,128,0.5,r,45.7617 ± 0.2079, 45.6244 ± 0.2964
adagnn, 0.001,0.0,8,64,0.0,s,48.7743 ± 0.3886, 48.6444 ± 0.4669
adagnn, 0.001,0.0,8,64,0.0,r,48.7743 ± 0.3886, 48.6444 ± 0.4669
adagnn, 0.001,0.0005,8,128,0.0,s,49.0318 ± 0.2848, 49.0120 ± 0.3427
adagnn, 0.001,0.0,8,64,0.5,r,44.2721 ± 0.1518, 44.1732 ± 0.1608
adagnn, 0.001,0.0,8,64,0.5,s,44.2721 ± 0.1518, 44.1732 ± 0.1608
adagnn, 0.001,0.0005,8,128,0.0,r,49.0318 ± 0.2848, 49.0120 ± 0.3427
adagnn, 0.001,0.0005,8,128,0.5,s,44.7866 ± 0.2834, 44.7377 ± 0.2347
adagnn, 0.001,0.0005,8,128,0.5,r,44.7866 ± 0.2834, 44.7377 ± 0.2347
adagnn, 0.001,0.0,8,128,0.0,s,49.0167 ± 0.2585, 49.0044 ± 0.3073
adagnn, 0.001,0.0,8,128,0.0,r,49.0167 ± 0.2585, 49.0044 ± 0.3073
adagnn, 0.001,0.0,8,128,0.5,r,44.7908 ± 0.2577, 44.7240 ± 0.2337
adagnn, 0.001,0.0,8,128,0.5,s,44.7908 ± 0.2577, 44.7240 ± 0.2337
