method,lr,weight_decay,num_layers,hidden_channels,dropout,mode,val_acc,test_acc
adagnn, 0.01,0.0005,8,64,0.5,s,83.1063 ± 0.3083, 82.7944 ± 0.1612
adagnn, 0.01,0.0005,8,64,0.5,r,83.1063 ± 0.3083, 82.7944 ± 0.1612
adagnn, 0.01,0.0005,8,64,0.0,r,79.3878 ± 1.3163, 78.9717 ± 1.6561
adagnn, 0.01,0.0005,8,64,0.0,s,79.3878 ± 1.3163, 78.9717 ± 1.6561
adagnn, 0.01,0.0005,8,128,0.0,s,79.5507 ± 0.6462, 79.0397 ± 0.5301
adagnn, 0.01,0.0005,8,128,0.5,s,83.0568 ± 0.4513, 82.6234 ± 0.4531
adagnn, 0.01,0.0005,8,128,0.0,r,79.5507 ± 0.6462, 79.0397 ± 0.5301
adagnn, 0.01,0.0,8,64,0.0,r,79.3672 ± 1.3109, 78.9449 ± 1.7186
adagnn, 0.01,0.0,8,64,0.5,r,83.1413 ± 0.3173, 82.7161 ± 0.2503
adagnn, 0.01,0.0,8,64,0.0,s,79.3672 ± 1.3109, 78.9449 ± 1.7186
adagnn, 0.01,0.0,8,64,0.5,s,83.1413 ± 0.3173, 82.7161 ± 0.2503
adagnn, 0.001,0.0005,8,64,0.0,s,81.9211 ± 0.4240, 81.5744 ± 0.6149
adagnn, 0.001,0.0005,8,64,0.0,r,81.9211 ± 0.4240, 81.5744 ± 0.6149
adagnn, 0.001,0.0005,8,64,0.5,s,82.9496 ± 0.3103, 82.9325 ± 0.2653
adagnn, 0.001,0.0005,8,64,0.5,r,82.9496 ± 0.3103, 82.9325 ± 0.2653
adagnn, 0.001,0.0,8,64,0.5,r,82.9331 ± 0.3402, 82.9593 ± 0.2908
adagnn, 0.001,0.0,8,64,0.0,s,81.9231 ± 0.4271, 81.6486 ± 0.6547
adagnn, 0.001,0.0,8,64,0.5,s,82.9331 ± 0.3402, 82.9593 ± 0.2908
adagnn, 0.001,0.0,8,64,0.0,r,81.9231 ± 0.4271, 81.6486 ± 0.6547
adagnn, 0.01,0.0005,8,128,0.5,r,83.0568 ± 0.4513, 82.6234 ± 0.4531
adagnn, 0.01,0.0,8,128,0.5,s,82.9929 ± 0.4686, 82.5801 ± 0.4647
adagnn, 0.01,0.0,8,128,0.0,r,79.5651 ± 0.6242, 79.0438 ± 0.5406
adagnn, 0.01,0.0,8,128,0.5,r,82.9929 ± 0.4686, 82.5801 ± 0.4647
adagnn, 0.01,0.0,8,128,0.0,s,79.5651 ± 0.6242, 79.0438 ± 0.5406
adagnn, 0.001,0.0005,8,128,0.0,r,82.6487 ± 0.2812, 82.3184 ± 0.3498
adagnn, 0.001,0.0005,8,128,0.0,s,82.6487 ± 0.2812, 82.3184 ± 0.3498
adagnn, 0.001,0.0005,8,128,0.5,s,83.6174 ± 0.2339, 83.4601 ± 0.3613
adagnn, 0.001,0.0,8,128,0.0,s,82.6507 ± 0.2810, 82.3369 ± 0.3616
adagnn, 0.001,0.0005,8,128,0.5,r,83.6174 ± 0.2339, 83.4601 ± 0.3613
adagnn, 0.001,0.0,8,128,0.0,r,82.6507 ± 0.2810, 82.3369 ± 0.3616
adagnn, 0.001,0.0,8,128,0.5,s,83.6051 ± 0.2507, 83.5507 ± 0.3101
adagnn, 0.001,0.0,8,128,0.5,r,83.6051 ± 0.2507, 83.5507 ± 0.3101
