method,lr,weight_decay,num_layers,hidden_channels,dropout,mode,val_acc,test_acc
adagnn, 0.01,0.0005,8,64,0.0,s,89.0728 ± 0.2602, 89.0954 ± 0.2032
adagnn, 0.01,0.0,8,64,0.0,s,89.3815 ± 0.3371, 89.4262 ± 0.5098
adagnn, 0.01,0.0005,8,64,0.0,r,89.0728 ± 0.2602, 89.0954 ± 0.2032
adagnn, 0.001,0.0,8,64,0.0,s,89.1112 ± 1.2919, 89.0911 ± 1.4491
adagnn, 0.001,0.0005,8,64,0.0,s,89.7264 ± 0.6384, 89.6825 ± 0.8149
adagnn, 0.001,0.0,8,64,0.0,r,89.1112 ± 1.2919, 89.0911 ± 1.4491
adagnn, 0.01,0.0,8,64,0.0,r,89.3815 ± 0.3371, 89.4262 ± 0.5098
adagnn, 0.001,0.0005,8,64,0.0,r,89.7264 ± 0.6384, 89.6825 ± 0.8149
adagnn, 0.01,0.0005,8,64,0.5,s,81.4456 ± 0.6534, 81.4760 ± 0.6101
adagnn, 0.001,0.0,8,64,0.5,r,82.7760 ± 1.5456, 82.8730 ± 1.4761
adagnn, 0.001,0.0,8,64,0.5,s,82.7760 ± 1.5456, 82.8730 ± 1.4761
adagnn, 0.01,0.0005,8,64,0.5,r,81.4456 ± 0.6534, 81.4760 ± 0.6101
adagnn, 0.01,0.0,8,64,0.5,s,81.4456 ± 0.6534, 81.4760 ± 0.6101
adagnn, 0.001,0.0005,8,64,0.5,r,82.7758 ± 1.5449, 82.8780 ± 1.4808
adagnn, 0.001,0.0005,8,64,0.5,s,82.7758 ± 1.5449, 82.8780 ± 1.4808
adagnn, 0.01,0.0,8,64,0.5,r,81.4456 ± 0.6534, 81.4760 ± 0.6101
adagnn, 0.001,0.0005,8,128,0.0,r,88.9817 ± 0.8911, 88.9862 ± 0.7983
adagnn, 0.001,0.0,8,128,0.0,s,88.6017 ± 0.5191, 88.6439 ± 0.4160
adagnn, 0.01,0.0005,8,128,0.0,r,89.3713 ± 0.3073, 89.4271 ± 0.1622
adagnn, 0.001,0.0005,8,128,0.0,s,88.9817 ± 0.8911, 88.9862 ± 0.7983
adagnn, 0.01,0.0005,8,128,0.0,s,89.3713 ± 0.3073, 89.4271 ± 0.1622
adagnn, 0.01,0.0,8,128,0.0,r,89.3636 ± 0.2829, 89.3996 ± 0.2163
adagnn, 0.001,0.0,8,128,0.0,r,88.6017 ± 0.5191, 88.6439 ± 0.4160
adagnn, 0.01,0.0,8,128,0.0,s,89.3636 ± 0.2829, 89.3996 ± 0.2163
adagnn, 0.001,0.0005,8,128,0.5,s,83.1319 ± 0.9338, 83.1546 ± 0.9413
adagnn, 0.01,0.0,8,128,0.5,s,82.0311 ± 0.5682, 82.1481 ± 0.7726
adagnn, 0.001,0.0005,8,128,0.5,r,83.1319 ± 0.9338, 83.1546 ± 0.9413
adagnn, 0.01,0.0,8,128,0.5,r,82.0311 ± 0.5682, 82.1481 ± 0.7726
adagnn, 0.01,0.0005,8,128,0.5,s,82.0873 ± 1.0329, 82.1621 ± 1.1390
adagnn, 0.01,0.0005,8,128,0.5,r,82.0873 ± 1.0329, 82.1621 ± 1.1390
adagnn, 0.001,0.0,8,128,0.5,r,83.2384 ± 1.0102, 83.2578 ± 1.0041
adagnn, 0.001,0.0,8,128,0.5,s,83.2384 ± 1.0102, 83.2578 ± 1.0041
