method,lr,weight_decay,num_layers,hidden_channels,dropout,mode,val_acc,test_acc
adagnn, 0.01,0.0005,8,64,0.0,r,65.0557 ± 0.0923, 64.6130 ± 0.3013
adagnn, 0.01,0.0005,8,64,0.5,s,63.2074 ± 0.2901, 62.9261 ± 0.1820
adagnn, 0.01,0.0005,8,64,0.0,s,65.0557 ± 0.0923, 64.6130 ± 0.3013
adagnn, 0.01,0.0005,8,64,0.5,r,63.2074 ± 0.2901, 62.9261 ± 0.1820
adagnn, 0.01,0.0,8,64,0.0,s,65.0780 ± 0.0960, 64.6454 ± 0.2712
adagnn, 0.01,0.0,8,64,0.0,r,65.0780 ± 0.0960, 64.6454 ± 0.2712
adagnn, 0.01,0.0,8,64,0.5,r,63.1893 ± 0.2841, 62.8471 ± 0.1725
adagnn, 0.01,0.0,8,64,0.5,s,63.1893 ± 0.2841, 62.8471 ± 0.1725
adagnn, 0.001,0.0005,8,64,0.0,s,64.2771 ± 0.1306, 64.0372 ± 0.2205
adagnn, 0.001,0.0005,8,64,0.0,r,64.2771 ± 0.1306, 64.0372 ± 0.2205
adagnn, 0.001,0.0005,8,64,0.5,s,61.4700 ± 0.5438, 61.2520 ± 0.2605
adagnn, 0.001,0.0005,8,64,0.5,r,61.4700 ± 0.5438, 61.2520 ± 0.2605
adagnn, 0.01,0.0005,8,128,0.0,s,65.0186 ± 0.1085, 64.5031 ± 0.1442
adagnn, 0.01,0.0005,8,128,0.0,r,65.0186 ± 0.1085, 64.5031 ± 0.1442
adagnn, 0.01,0.0005,8,128,0.5,s,63.6257 ± 0.1855, 63.2411 ± 0.0831
adagnn, 0.001,0.0,8,64,0.0,r,64.2981 ± 0.1028, 64.0434 ± 0.2311
adagnn, 0.001,0.0,8,64,0.0,s,64.2981 ± 0.1028, 64.0434 ± 0.2311
adagnn, 0.001,0.0,8,64,0.5,s,61.4738 ± 0.5445, 61.2563 ± 0.2399
adagnn, 0.001,0.0,8,64,0.5,r,61.4738 ± 0.5445, 61.2563 ± 0.2399
adagnn, 0.01,0.0005,8,128,0.5,r,63.6257 ± 0.1855, 63.2411 ± 0.0831
adagnn, 0.01,0.0,8,128,0.0,s,64.9910 ± 0.1216, 64.5635 ± 0.1534
adagnn, 0.01,0.0,8,128,0.0,r,64.9910 ± 0.1216, 64.5635 ± 0.1534
adagnn, 0.001,0.0005,8,128,0.0,r,64.5579 ± 0.1602, 64.2680 ± 0.1521
adagnn, 0.01,0.0,8,128,0.5,r,63.6323 ± 0.2088, 63.2616 ± 0.0846
adagnn, 0.001,0.0005,8,128,0.0,s,64.5579 ± 0.1602, 64.2680 ± 0.1521
adagnn, 0.01,0.0,8,128,0.5,s,63.6323 ± 0.2088, 63.2616 ± 0.0846
adagnn, 0.001,0.0005,8,128,0.5,s,62.1985 ± 0.3444, 61.9767 ± 0.2221
adagnn, 0.001,0.0005,8,128,0.5,r,62.1985 ± 0.3444, 61.9767 ± 0.2221
adagnn, 0.001,0.0,8,128,0.0,s,64.5750 ± 0.2038, 64.2756 ± 0.1630
adagnn, 0.001,0.0,8,128,0.0,r,64.5750 ± 0.2038, 64.2756 ± 0.1630
adagnn, 0.001,0.0,8,128,0.5,s,62.1914 ± 0.3508, 61.9720 ± 0.2294
adagnn, 0.001,0.0,8,128,0.5,r,62.1914 ± 0.3508, 61.9720 ± 0.2294
