method,lr,weight_decay,hidden_channels,power,dropout,dprate,val_acc,test_acc
bernnet, 0.01,0.0005,64,10,0.0,0.0,45.5200 ± 3.1003, 46.9200 ± 2.4129
bernnet, 0.01,0.0005,64,10,0.0,0.5,68.2400 ± 4.3598, 67.8800 ± 4.2973
bernnet, 0.01,0.0005,64,10,0.5,0.0,71.4800 ± 2.2298, 71.5800 ± 3.5117
bernnet, 0.01,0.0005,64,10,0.5,0.5,75.5200 ± 3.2206, 76.5200 ± 2.9794
bernnet, 0.01,0.0,64,10,0.0,0.0,45.6800 ± 3.0252, 47.0200 ± 1.5802
bernnet, 0.01,0.0,64,10,0.0,0.5,68.5600 ± 4.5965, 68.0600 ± 5.6096
bernnet, 0.01,0.0,64,10,0.5,0.0,71.2800 ± 2.1799, 71.0000 ± 3.2280
bernnet, 0.01,0.0,64,10,0.5,0.5,75.8800 ± 3.0153, 76.5000 ± 3.1992
bernnet, 0.001,0.0005,64,10,0.0,0.0,38.8400 ± 4.3114, 39.1000 ± 5.4904
bernnet, 0.001,0.0005,64,10,0.0,0.5,50.8400 ± 10.8244, 52.0800 ± 10.0850
bernnet, 0.001,0.0005,64,10,0.5,0.0,67.3200 ± 2.1845, 68.6000 ± 2.5573
bernnet, 0.001,0.0005,64,10,0.5,0.5,71.2400 ± 2.7619, 72.4800 ± 3.7792
bernnet, 0.001,0.0,64,10,0.0,0.0,38.8800 ± 4.2979, 39.1400 ± 5.4330
bernnet, 0.001,0.0,64,10,0.0,0.5,50.6800 ± 10.9203, 52.1400 ± 10.2295
bernnet, 0.001,0.0,64,10,0.5,0.0,67.2800 ± 2.0620, 68.2600 ± 2.6350
bernnet, 0.001,0.0,64,10,0.5,0.5,71.2800 ± 2.8761, 72.3600 ± 3.8449
