method,lr,weight_decay,hidden_channels,power,dropout,dprate,val_acc,test_acc
bernnet, 0.01,0.0005,64,10,0.0,0.0,82.3556 ± 1.5524, 85.5565 ± 2.1284
bernnet, 0.01,0.0005,64,10,0.0,0.5,87.2445 ± 5.2742, 87.9634 ± 5.0798
bernnet, 0.01,0.0005,64,10,0.5,0.0,91.2889 ± 0.9081, 91.1096 ± 0.9316
bernnet, 0.01,0.0005,64,10,0.5,0.5,91.3333 ± 1.0423, 91.3735 ± 0.5986
bernnet, 0.01,0.0,64,10,0.0,0.0,82.4000 ± 1.6285, 85.6566 ± 2.0556
bernnet, 0.01,0.0,64,10,0.0,0.5,86.9333 ± 5.5897, 88.5605 ± 4.5701
bernnet, 0.01,0.0,64,10,0.5,0.0,91.2889 ± 0.9863, 91.1176 ± 0.9623
bernnet, 0.01,0.0,64,10,0.5,0.5,91.2444 ± 1.0494, 91.4361 ± 0.9118
bernnet, 0.001,0.0005,64,10,0.0,0.0,81.9111 ± 1.8230, 83.6194 ± 2.4693
bernnet, 0.001,0.0005,64,10,0.0,0.5,85.5556 ± 2.6527, 87.3253 ± 2.1704
bernnet, 0.001,0.0005,64,10,0.5,0.0,90.4000 ± 1.1905, 90.7399 ± 0.8479
bernnet, 0.001,0.0005,64,10,0.5,0.5,91.3333 ± 0.9938, 91.2916 ± 0.6765
bernnet, 0.001,0.0,64,10,0.0,0.0,81.8667 ± 1.7399, 83.5955 ± 2.5047
bernnet, 0.001,0.0,64,10,0.0,0.5,85.4667 ± 2.6787, 87.3150 ± 2.1610
bernnet, 0.001,0.0,64,10,0.5,0.0,90.4444 ± 1.1440, 90.7399 ± 0.8499
bernnet, 0.001,0.0,64,10,0.5,0.5,91.3778 ± 0.9610, 91.2802 ± 0.6710
