method,lr,weight_decay,hidden_channels,power,dropout,dprate,val_acc,test_acc
bernnet, 0.01,0.0005,64,10,0.0,0.0,44.9600 ± 4.7862, 41.3000 ± 6.5307
bernnet, 0.01,0.0005,64,10,0.0,0.5,41.0800 ± 11.4862, 37.6000 ± 9.3683
bernnet, 0.01,0.0005,64,10,0.5,0.0,56.0000 ± 5.8720, 52.7200 ± 4.9017
bernnet, 0.01,0.0005,64,10,0.5,0.5,53.2000 ± 13.5934, 49.6000 ± 13.7976
bernnet, 0.01,0.0,64,10,0.0,0.0,44.7600 ± 5.0108, 41.1200 ± 6.8042
bernnet, 0.01,0.0,64,10,0.0,0.5,40.3200 ± 11.5331, 37.7400 ± 9.2600
bernnet, 0.01,0.0,64,10,0.5,0.0,56.1600 ± 5.4652, 53.5200 ± 4.7045
bernnet, 0.01,0.0,64,10,0.5,0.5,52.5600 ± 13.4829, 49.5400 ± 12.1735
bernnet, 0.001,0.0005,64,10,0.0,0.0,35.9200 ± 6.3853, 33.8000 ± 7.2474
bernnet, 0.001,0.0005,64,10,0.0,0.5,38.7600 ± 12.2323, 36.3000 ± 10.7499
bernnet, 0.001,0.0005,64,10,0.5,0.0,48.4400 ± 10.7232, 45.9600 ± 10.9173
bernnet, 0.001,0.0005,64,10,0.5,0.5,38.8800 ± 14.3517, 36.5200 ± 14.4200
bernnet, 0.001,0.0,64,10,0.0,0.0,35.7600 ± 6.4240, 33.5600 ± 7.0960
bernnet, 0.001,0.0,64,10,0.0,0.5,38.6800 ± 12.2447, 36.1000 ± 10.5383
bernnet, 0.001,0.0,64,10,0.5,0.0,48.3600 ± 10.6098, 45.8400 ± 11.1188
bernnet, 0.001,0.0,64,10,0.5,0.5,38.6400 ± 13.9939, 36.1000 ± 14.0170
