method,lr,weight_decay,hidden_channels,power,dropout,dprate,val_acc,test_acc
bernnet, 0.01,0.0005,64,10,0.0,0.0,67.5600 ± 2.5706, 67.3600 ± 2.2678
bernnet, 0.01,0.0005,64,10,0.0,0.5,73.3200 ± 1.5007, 72.8800 ± 2.0154
bernnet, 0.01,0.0005,64,10,0.5,0.0,76.8000 ± 1.1045, 75.2600 ± 1.7729
bernnet, 0.01,0.0005,64,10,0.5,0.5,76.9600 ± 1.8676, 74.9600 ± 1.6087
bernnet, 0.01,0.0,64,10,0.0,0.0,67.8400 ± 2.4389, 67.1200 ± 2.0438
bernnet, 0.01,0.0,64,10,0.0,0.5,73.3600 ± 1.9047, 72.4000 ± 2.1806
bernnet, 0.01,0.0,64,10,0.5,0.0,76.6800 ± 1.2458, 75.1200 ± 1.9370
bernnet, 0.01,0.0,64,10,0.5,0.5,77.0400 ± 1.7286, 75.3200 ± 1.5547
bernnet, 0.001,0.0005,64,10,0.0,0.0,66.1600 ± 3.1190, 65.6600 ± 2.5304
bernnet, 0.001,0.0005,64,10,0.0,0.5,70.0400 ± 2.0020, 68.8800 ± 2.8048
bernnet, 0.001,0.0005,64,10,0.5,0.0,75.6400 ± 3.0770, 75.1000 ± 1.9455
bernnet, 0.001,0.0005,64,10,0.5,0.5,76.4000 ± 1.8762, 75.1400 ± 1.8582
bernnet, 0.001,0.0,64,10,0.0,0.0,66.0800 ± 3.1515, 65.8800 ± 2.6253
bernnet, 0.001,0.0,64,10,0.0,0.5,70.0000 ± 2.0881, 69.1200 ± 2.7869
bernnet, 0.001,0.0,64,10,0.5,0.0,75.5600 ± 3.1540, 74.8400 ± 2.5716
bernnet, 0.001,0.0,64,10,0.5,0.5,76.5200 ± 1.8033, 75.3200 ± 1.8047
