method,lr,weight_decay,hidden_channels,power,dropout,dprate,val_acc,test_acc
bernnet, 0.01,0.0005,64,10,0.0,0.0,36.4266 ± 0.2352, 36.2728 ± 0.1394
bernnet, 0.01,0.0005,64,10,0.0,0.5,34.1557 ± 0.2039, 33.8687 ± 0.2147
bernnet, 0.01,0.0005,64,10,0.5,0.0,36.4101 ± 0.2116, 36.2284 ± 0.1703
bernnet, 0.01,0.0005,64,10,0.5,0.5,35.9065 ± 0.2770, 35.7366 ± 0.0849
bernnet, 0.01,0.0005,128,10,0.0,0.0,36.5631 ± 0.2060, 36.4995 ± 0.1876
bernnet, 0.01,0.0005,128,10,0.0,0.5,34.4108 ± 0.1624, 34.2263 ± 0.2627
bernnet, 0.01,0.0005,128,10,0.5,0.0,36.4630 ± 0.2260, 36.3644 ± 0.1292
bernnet, 0.01,0.0005,128,10,0.5,0.5,35.4402 ± 0.8910, 35.2547 ± 0.6101
bernnet, 0.01,0.0,64,10,0.0,0.0,36.4398 ± 0.2209, 36.4301 ± 0.2611
bernnet, 0.01,0.0,64,10,0.0,0.5,34.1665 ± 0.1972, 33.8673 ± 0.2161
bernnet, 0.01,0.0,64,10,0.5,0.0,36.3983 ± 0.2675, 36.2165 ± 0.1424
bernnet, 0.01,0.0,64,10,0.5,0.5,35.8710 ± 0.2673, 35.7475 ± 0.1306
bernnet, 0.001,0.0005,64,10,0.0,0.5,34.3423 ± 0.2514, 34.1923 ± 0.2556
bernnet, 0.001,0.0005,64,10,0.0,0.0,36.3812 ± 0.2963, 36.3819 ± 0.1763
bernnet, 0.001,0.0005,64,10,0.5,0.0,36.2716 ± 0.2541, 36.1424 ± 0.2976
bernnet, 0.001,0.0005,64,10,0.5,0.5,34.3697 ± 0.1644, 34.2452 ± 0.4008
bernnet, 0.01,0.0,128,10,0.0,0.0,36.5419 ± 0.1800, 36.4825 ± 0.2069
bernnet, 0.001,0.0,64,10,0.0,0.0,36.3836 ± 0.2658, 36.4395 ± 0.1570
bernnet, 0.001,0.0,64,10,0.5,0.5,34.3607 ± 0.1630, 34.2353 ± 0.4080
bernnet, 0.01,0.0,128,10,0.5,0.0,36.4913 ± 0.2016, 36.3375 ± 0.2022
bernnet, 0.001,0.0,64,10,0.0,0.5,34.3399 ± 0.2486, 34.1626 ± 0.2323
bernnet, 0.01,0.0,128,10,0.0,0.5,34.3923 ± 0.2295, 34.1899 ± 0.2346
bernnet, 0.01,0.0,128,10,0.5,0.5,35.4737 ± 0.8076, 35.3001 ± 0.5519
bernnet, 0.001,0.0,64,10,0.5,0.0,36.2702 ± 0.2666, 36.1282 ± 0.3372
bernnet, 0.001,0.0005,128,10,0.5,0.0,36.4001 ± 0.2016, 36.3550 ± 0.1532
bernnet, 0.001,0.0005,128,10,0.0,0.0,36.4890 ± 0.2190, 36.4230 ± 0.2114
bernnet, 0.001,0.0,128,10,0.5,0.0,36.4143 ± 0.2061, 36.3687 ± 0.1542
bernnet, 0.001,0.0005,128,10,0.0,0.5,34.5242 ± 0.2060, 34.3062 ± 0.2285
bernnet, 0.001,0.0005,128,10,0.5,0.5,34.4939 ± 0.2335, 34.2726 ± 0.1892
bernnet, 0.001,0.0,128,10,0.0,0.0,36.4918 ± 0.2151, 36.4079 ± 0.2256
bernnet, 0.001,0.0,128,10,0.0,0.5,34.5237 ± 0.2121, 34.4011 ± 0.1845
bernnet, 0.001,0.0,128,10,0.5,0.5,34.4816 ± 0.2398, 34.3151 ± 0.2819
