method,lr,weight_decay,hidden_channels,power,dropout,dprate,val_acc,test_acc
bernnet, 0.01,0.0005,64,10,0.0,0.0,77.2936 ± 1.1026, 76.8882 ± 1.0927
bernnet, 0.01,0.0005,64,10,0.5,0.0,78.3222 ± 0.2182, 77.6960 ± 0.4733
bernnet, 0.01,0.0005,64,10,0.5,0.5,83.0300 ± 0.2559, 82.3328 ± 0.3943
bernnet, 0.01,0.0005,64,10,0.0,0.5,82.7352 ± 0.1727, 82.3452 ± 0.3487
bernnet, 0.01,0.0,64,10,0.0,0.0,77.2586 ± 1.0989, 76.8800 ± 1.0700
bernnet, 0.01,0.0005,128,10,0.0,0.0,75.7498 ± 0.2773, 75.2066 ± 0.4344
bernnet, 0.01,0.0,64,10,0.5,0.0,78.3222 ± 0.1433, 77.6445 ± 0.3675
bernnet, 0.01,0.0,64,10,0.0,0.5,82.8280 ± 0.1614, 82.3143 ± 0.2466
bernnet, 0.01,0.0005,128,10,0.0,0.5,83.0321 ± 0.2261, 82.5430 ± 0.2821
bernnet, 0.01,0.0005,128,10,0.5,0.0,78.6046 ± 0.5128, 77.6940 ± 0.6837
bernnet, 0.01,0.0005,128,10,0.5,0.5,83.3763 ± 0.2874, 82.7141 ± 0.3611
bernnet, 0.01,0.0,64,10,0.5,0.5,83.0032 ± 0.2394, 82.4750 ± 0.4624
bernnet, 0.01,0.0,128,10,0.0,0.0,75.8095 ± 0.2660, 75.2581 ± 0.4243
bernnet, 0.01,0.0,128,10,0.0,0.5,83.0568 ± 0.2203, 82.5265 ± 0.2846
bernnet, 0.01,0.0,128,10,0.5,0.0,78.6087 ± 0.5410, 77.7228 ± 0.7344
bernnet, 0.01,0.0,128,10,0.5,0.5,83.2918 ± 0.3286, 82.8109 ± 0.5095
bernnet, 0.001,0.0005,64,10,0.0,0.0,74.9644 ± 0.3866, 74.6605 ± 0.6125
bernnet, 0.001,0.0005,64,10,0.5,0.0,79.9031 ± 0.6827, 79.2643 ± 0.5895
bernnet, 0.001,0.0005,64,10,0.0,0.5,81.5809 ± 0.3836, 81.2468 ± 0.3435
bernnet, 0.001,0.0005,64,10,0.5,0.5,81.8716 ± 0.4308, 81.3787 ± 0.4382
bernnet, 0.001,0.0005,128,10,0.0,0.0,74.6862 ± 0.3765, 74.1309 ± 0.2390
bernnet, 0.001,0.0,64,10,0.0,0.0,74.9809 ± 0.4025, 74.6213 ± 0.5372
bernnet, 0.001,0.0,64,10,0.0,0.5,81.5748 ± 0.3802, 81.1788 ± 0.3192
bernnet, 0.001,0.0005,128,10,0.0,0.5,82.0406 ± 0.2530, 81.5538 ± 0.5087
bernnet, 0.001,0.0005,128,10,0.5,0.0,79.3487 ± 0.6032, 78.7759 ± 0.7603
bernnet, 0.001,0.0,64,10,0.5,0.5,81.8304 ± 0.3872, 81.3601 ± 0.4937
bernnet, 0.001,0.0,64,10,0.5,0.0,79.9258 ± 0.6905, 79.1963 ± 0.6051
bernnet, 0.001,0.0005,128,10,0.5,0.5,82.3271 ± 0.2870, 81.6631 ± 0.4901
bernnet, 0.001,0.0,128,10,0.0,0.5,82.0571 ± 0.2912, 81.5126 ± 0.5620
bernnet, 0.001,0.0,128,10,0.0,0.0,74.6903 ± 0.3733, 74.3349 ± 0.4613
bernnet, 0.001,0.0,128,10,0.5,0.0,79.3342 ± 0.6159, 78.7141 ± 0.7369
bernnet, 0.001,0.0,128,10,0.5,0.5,82.3086 ± 0.3018, 81.7352 ± 0.4079
