method,lr,weight_decay,hidden_channels,power,dropout,dprate,val_acc,test_acc
bernnet, 0.01,0.0005,64,10,0.5,0.5,86.8161 ± 0.6728, 86.8296 ± 0.6916
bernnet, 0.01,0.0005,64,10,0.5,0.0,87.2193 ± 1.4815, 87.3275 ± 1.3062
bernnet, 0.01,0.0005,64,10,0.0,0.0,88.7940 ± 0.2323, 88.8309 ± 0.2667
bernnet, 0.01,0.0005,64,10,0.0,0.5,87.3694 ± 0.1903, 87.4335 ± 0.1633
bernnet, 0.01,0.0,64,10,0.0,0.0,88.5383 ± 0.4796, 88.5520 ± 0.4405
bernnet, 0.001,0.0,64,10,0.0,0.5,86.4816 ± 0.2887, 86.5726 ± 0.3254
bernnet, 0.001,0.0,64,10,0.5,0.5,85.7487 ± 0.4439, 85.8262 ± 0.3496
bernnet, 0.01,0.0,64,10,0.5,0.0,87.8605 ± 1.7498, 87.8990 ± 1.6159
bernnet, 0.001,0.0,64,10,0.5,0.0,86.4605 ± 2.0167, 86.4898 ± 1.8471
bernnet, 0.01,0.0,64,10,0.0,0.5,87.3515 ± 0.1548, 87.4153 ± 0.1524
bernnet, 0.01,0.0,64,10,0.5,0.5,86.4599 ± 0.2135, 86.4786 ± 0.3216
bernnet, 0.01,0.0005,128,10,0.5,0.0,87.1056 ± 0.9519, 87.2200 ± 1.0491
bernnet, 0.01,0.0005,128,10,0.0,0.0,87.9717 ± 0.6634, 88.0184 ± 0.7242
bernnet, 0.01,0.0,128,10,0.0,0.0,88.7974 ± 0.6766, 88.8341 ± 0.6846
bernnet, 0.001,0.0005,64,10,0.5,0.5,85.7240 ± 0.4083, 85.8017 ± 0.3218
bernnet, 0.001,0.0,64,10,0.0,0.0,88.5015 ± 0.3932, 88.5517 ± 0.5124
bernnet, 0.001,0.0005,64,10,0.5,0.0,86.5558 ± 1.9829, 86.5508 ± 1.8091
bernnet, 0.001,0.0005,64,10,0.0,0.5,86.5089 ± 0.3334, 86.6013 ± 0.3304
bernnet, 0.001,0.0005,64,10,0.0,0.0,88.3350 ± 0.3831, 88.4050 ± 0.4763
bernnet, 0.01,0.0005,128,10,0.0,0.5,87.5718 ± 0.2692, 87.6339 ± 0.0876
bernnet, 0.01,0.0005,128,10,0.5,0.5,86.7441 ± 1.0875, 86.7131 ± 0.9535
bernnet, 0.001,0.0005,128,10,0.5,0.0,87.6411 ± 1.9890, 87.6954 ± 1.9936
bernnet, 0.001,0.0005,128,10,0.0,0.0,88.2901 ± 0.4274, 88.3360 ± 0.3285
bernnet, 0.01,0.0,128,10,0.5,0.0,87.3307 ± 1.3674, 87.3472 ± 1.2157
bernnet, 0.001,0.0005,128,10,0.0,0.5,86.6321 ± 0.0986, 86.7041 ± 0.1449
bernnet, 0.001,0.0005,128,10,0.5,0.5,85.9896 ± 0.6219, 86.0211 ± 0.7347
bernnet, 0.001,0.0,128,10,0.0,0.0,88.2305 ± 0.3269, 88.2601 ± 0.3564
bernnet, 0.001,0.0,128,10,0.5,0.0,87.6026 ± 1.9846, 87.6516 ± 1.9703
bernnet, 0.001,0.0,128,10,0.5,0.5,85.9465 ± 0.6047, 85.9815 ± 0.7251
bernnet, 0.001,0.0,128,10,0.0,0.5,86.6646 ± 0.0897, 86.7483 ± 0.2163
bernnet, 0.01,0.0,128,10,0.5,0.5,86.9353 ± 1.5988, 86.9010 ± 1.4657
bernnet, 0.01,0.0,128,10,0.0,0.5,87.5527 ± 0.2365, 87.6179 ± 0.0615
