method,lr,weight_decay,hidden_channels,power,dropout,dprate,val_acc,test_acc
bernnet, 0.01,0.0,128,10,0.5,0.0,62.8933 ± 0.1286, 62.3779 ± 0.2189
bernnet, 0.01,0.0,64,10,0.5,0.0,62.7458 ± 0.1308, 62.1780 ± 0.2367
bernnet, 0.001,0.0,64,10,0.5,0.5,60.6044 ± 0.2291, 60.4602 ± 0.0459
bernnet, 0.01,0.0,64,10,0.5,0.5,61.0431 ± 0.1324, 60.6895 ± 0.1728
bernnet, 0.001,0.0,64,10,0.5,0.0,61.7560 ± 0.2432, 61.3895 ± 0.2190
bernnet, 0.001,0.0,64,10,0.0,0.0,61.6955 ± 0.2769, 61.4133 ± 0.0675
bernnet, 0.001,0.0005,64,10,0.5,0.0,61.7555 ± 0.2402, 61.3967 ± 0.2217
bernnet, 0.01,0.0,64,10,0.0,0.5,61.2230 ± 0.1493, 60.9722 ± 0.1655
bernnet, 0.01,0.0005,64,10,0.5,0.0,62.7563 ± 0.1634, 62.2285 ± 0.2368
bernnet, 0.01,0.0005,128,10,0.5,0.0,62.8885 ± 0.1528, 62.3341 ± 0.1767
bernnet, 0.001,0.0,128,10,0.0,0.0,61.9363 ± 0.2777, 61.7455 ± 0.1639
bernnet, 0.001,0.0,128,10,0.5,0.0,61.8235 ± 0.3074, 61.4599 ± 0.4228
bernnet, 0.001,0.0,128,10,0.0,0.5,60.9184 ± 0.2546, 60.6553 ± 0.1381
bernnet, 0.001,0.0,64,10,0.0,0.5,61.0155 ± 0.2253, 60.7224 ± 0.0982
bernnet, 0.01,0.0005,64,10,0.0,0.0,62.4964 ± 0.1809, 62.1423 ± 0.2129
bernnet, 0.01,0.0005,64,10,0.5,0.5,61.0631 ± 0.1284, 60.6453 ± 0.2454
bernnet, 0.01,0.0,128,10,0.0,0.0,62.5393 ± 0.2062, 62.1361 ± 0.1278
bernnet, 0.001,0.0,128,10,0.5,0.5,60.4878 ± 0.2877, 60.3145 ± 0.3711
bernnet, 0.01,0.0005,128,10,0.0,0.0,62.5202 ± 0.2177, 62.0981 ± 0.1587
bernnet, 0.001,0.0005,128,10,0.5,0.5,60.4878 ± 0.2856, 60.3093 ± 0.3605
bernnet, 0.01,0.0005,64,10,0.0,0.5,61.2354 ± 0.1509, 60.9836 ± 0.2128
bernnet, 0.01,0.0,128,10,0.0,0.5,61.2468 ± 0.1674, 60.9322 ± 0.2440
bernnet, 0.001,0.0005,64,10,0.0,0.5,61.0165 ± 0.2243, 60.7238 ± 0.0938
bernnet, 0.01,0.0005,128,10,0.5,0.5,61.1121 ± 0.1153, 60.8389 ± 0.1965
bernnet, 0.001,0.0005,64,10,0.5,0.5,60.6029 ± 0.2218, 60.4754 ± 0.0782
bernnet, 0.001,0.0005,64,10,0.0,0.0,61.6941 ± 0.2786, 61.4252 ± 0.0940
bernnet, 0.01,0.0005,128,10,0.0,0.5,61.2444 ± 0.1621, 60.9436 ± 0.1951
bernnet, 0.01,0.0,128,10,0.5,0.5,61.1050 ± 0.1187, 60.8133 ± 0.2155
bernnet, 0.01,0.0,64,10,0.0,0.0,62.4831 ± 0.2027, 62.1433 ± 0.2194
bernnet, 0.001,0.0005,128,10,0.5,0.0,61.8050 ± 0.3060, 61.4442 ± 0.4084
bernnet, 0.001,0.0005,128,10,0.0,0.0,61.9301 ± 0.2627, 61.7607 ± 0.1737
bernnet, 0.001,0.0005,128,10,0.0,0.5,60.9218 ± 0.2563, 60.6477 ± 0.1351
