method,lr,weight_decay,hidden_channels,power,normalize_feature,val_acc,test_acc
dagnn, 0.01,0.001,64,2,True,65.8400 ± 2.7763, 63.2800 ± 2.4813
dagnn, 0.01,0.001,64,2,False,65.8400 ± 2.7763, 63.2800 ± 2.4813
dagnn, 0.01,0.001,64,5,True,67.5200 ± 2.0717, 64.9800 ± 3.1697
dagnn, 0.01,0.001,64,5,False,67.5200 ± 2.0717, 64.9800 ± 3.1697
dagnn, 0.01,0.001,64,10,True,68.0400 ± 2.7107, 64.2600 ± 2.8902
dagnn, 0.01,0.001,64,10,False,68.0400 ± 2.7107, 64.2600 ± 2.8902
dagnn, 0.01,0.001,64,20,True,66.1200 ± 1.8794, 62.7800 ± 1.4446
dagnn, 0.01,0.001,64,20,False,66.1200 ± 1.8794, 62.7800 ± 1.4446
dagnn, 0.01,0.001,128,2,True,65.8400 ± 1.6149, 63.1200 ± 3.1148
dagnn, 0.01,0.001,128,2,False,65.8000 ± 1.6911, 63.9800 ± 1.4755
