method,lr,weight_decay,hidden_channels,power,normalize_feature,val_acc,test_acc
dagnn, 0.01,0.001,64,2,True,37.3908 ± 0.4971, 37.3409 ± 0.2660
dagnn, 0.01,0.001,64,2,False,37.4678 ± 0.4347, 37.3971 ± 0.4519
dagnn, 0.01,0.001,64,5,True,38.4429 ± 0.2456, 38.4945 ± 0.2875
dagnn, 0.01,0.001,64,5,False,38.4027 ± 0.1223, 38.4160 ± 0.2756
dagnn, 0.01,0.001,64,10,True,37.8269 ± 0.1203, 37.9214 ± 0.3059
dagnn, 0.01,0.001,64,10,False,37.9658 ± 0.3017, 38.0924 ± 0.2526
dagnn, 0.01,0.001,64,20,True,36.3760 ± 1.4631, 36.3956 ± 1.4512
dagnn, 0.01,0.001,64,20,False,37.0960 ± 0.8280, 37.1661 ± 1.0764
dagnn, 0.01,0.001,128,2,True,37.8802 ± 0.2785, 37.7457 ± 0.2991
dagnn, 0.01,0.001,128,2,False,37.7626 ± 0.3208, 37.5903 ± 0.2722
dagnn, 0.01,0.001,128,5,True,38.4779 ± 0.6304, 38.4255 ± 0.3682
dagnn, 0.01,0.001,128,5,False,38.2355 ± 0.7060, 38.2833 ± 0.5037
dagnn, 0.01,0.001,128,10,True,35.8526 ± 4.0500, 35.7744 ± 4.0353
dagnn, 0.01,0.001,128,10,False,35.7387 ± 3.9888, 35.5982 ± 3.9408
dagnn, 0.01,0.001,128,20,True,33.8864 ± 3.6089, 33.7771 ± 3.5636
dagnn, 0.01,0.001,128,20,False,33.9124 ± 3.5349, 33.8253 ± 3.5164
dagnn, 0.01,0.0005,64,2,True,37.4886 ± 0.4227, 37.4509 ± 0.2110
dagnn, 0.01,0.0005,64,2,False,37.4957 ± 0.3567, 37.4202 ± 0.2740
dagnn, 0.01,0.0005,64,5,True,38.4042 ± 0.2850, 38.3627 ± 0.3158
dagnn, 0.01,0.0005,64,5,False,38.4802 ± 0.1524, 38.3816 ± 0.2349
dagnn, 0.01,0.0005,64,10,True,37.8339 ± 0.1275, 37.9243 ± 0.3430
dagnn, 0.01,0.0005,64,10,False,37.8850 ± 0.1474, 38.0537 ± 0.3272
dagnn, 0.01,0.0005,64,20,True,37.0648 ± 0.8284, 37.1439 ± 1.0428
dagnn, 0.01,0.0005,64,20,False,37.0648 ± 0.8864, 37.0697 ± 1.1632
