method,lr,weight_decay,hidden_channels,power,normalize_feature,val_acc,test_acc
dagnn, 0.01,0.001,64,2,True,75.2365 ± 0.5054, 74.5100 ± 0.3251
dagnn, 0.01,0.001,64,2,False,75.2345 ± 0.5074, 74.5100 ± 0.3251
dagnn, 0.01,0.001,64,5,True,75.2283 ± 0.3570, 74.8480 ± 0.5298
dagnn, 0.01,0.001,64,5,False,75.2283 ± 0.3570, 74.8480 ± 0.5298
dagnn, 0.01,0.001,64,10,True,73.4515 ± 2.0033, 73.1808 ± 1.8332
dagnn, 0.01,0.001,64,10,False,73.4227 ± 1.9975, 73.2612 ± 1.8871
dagnn, 0.01,0.001,64,20,True,74.9109 ± 0.2761, 74.3596 ± 0.4081
dagnn, 0.01,0.001,64,20,False,74.8284 ± 0.2996, 74.3431 ± 0.4333
dagnn, 0.01,0.001,128,2,True,75.0160 ± 0.2865, 74.3967 ± 0.3408
dagnn, 0.01,0.001,128,2,False,75.0160 ± 0.2865, 74.3967 ± 0.3408
dagnn, 0.01,0.001,128,5,True,74.8119 ± 0.3351, 74.7491 ± 0.4771
dagnn, 0.01,0.001,128,5,False,74.8181 ± 0.3233, 74.6605 ± 0.6395
dagnn, 0.01,0.001,128,10,True,73.7215 ± 1.5192, 73.5950 ± 1.2197
dagnn, 0.01,0.001,128,10,False,74.0843 ± 1.0652, 73.9062 ± 0.8549
dagnn, 0.01,0.001,128,20,True,66.8597 ± 6.4996, 66.9840 ± 5.8916
dagnn, 0.01,0.001,128,20,False,66.8680 ± 6.9948, 67.1983 ± 6.4173
dagnn, 0.01,0.0005,64,2,True,75.2200 ± 0.5198, 74.6626 ± 0.3450
dagnn, 0.01,0.0005,64,2,False,75.2200 ± 0.5198, 74.6626 ± 0.3450
dagnn, 0.01,0.0005,64,5,True,75.2180 ± 0.3091, 74.8377 ± 0.5326
dagnn, 0.01,0.0005,64,5,False,75.2200 ± 0.3135, 74.8336 ± 0.5307
dagnn, 0.01,0.0005,64,10,True,73.3031 ± 2.0809, 73.1417 ± 1.9447
dagnn, 0.01,0.0005,64,10,False,73.3608 ± 2.0636, 73.2880 ± 1.9314
