method,lr,weight_decay,hidden_channels,power,normalize_feature,val_acc,test_acc
dagnn, 0.01,0.001,64,2,True,46.6801 ± 26.3856, 46.5885 ± 26.3887
dagnn, 0.01,0.001,64,2,False,46.6981 ± 26.3621, 46.6065 ± 26.3654
dagnn, 0.01,0.001,64,5,True,44.9002 ± 23.4014, 44.9232 ± 23.2938
dagnn, 0.01,0.001,64,5,False,45.4348 ± 22.6913, 45.4509 ± 22.5908
dagnn, 0.01,0.001,64,10,True,45.3040 ± 21.5193, 45.3177 ± 21.4391
dagnn, 0.01,0.001,64,10,False,45.3040 ± 21.5193, 45.3177 ± 21.4391
dagnn, 0.01,0.001,64,20,True,42.3150 ± 20.4338, 42.3555 ± 20.3351
dagnn, 0.01,0.001,64,20,False,42.4377 ± 20.2831, 42.5020 ± 20.1533
dagnn, 0.01,0.001,128,2,True,48.8672 ± 25.2372, 48.8109 ± 25.1241
dagnn, 0.01,0.001,128,2,False,48.9063 ± 25.1801, 48.8416 ± 25.0794
dagnn, 0.01,0.001,128,5,True,51.6583 ± 28.2104, 51.7210 ± 28.0881
dagnn, 0.01,0.001,128,5,False,51.7434 ± 28.0881, 51.8076 ± 27.9632
dagnn, 0.01,0.001,128,10,True,51.3741 ± 27.5134, 51.4492 ± 27.3996
dagnn, 0.01,0.001,128,10,False,51.3994 ± 27.4765, 51.4705 ± 27.3683
dagnn, 0.01,0.001,128,20,True,54.7209 ± 22.6094, 54.8053 ± 22.4746
dagnn, 0.01,0.001,128,20,False,54.7208 ± 22.6095, 54.8053 ± 22.4746
dagnn, 0.01,0.0005,64,2,True,47.1554 ± 25.7811, 47.0735 ± 25.7728
dagnn, 0.01,0.0005,64,2,False,47.9629 ± 24.8238, 47.8955 ± 24.8017
dagnn, 0.01,0.0005,64,5,True,46.2110 ± 21.7359, 46.1924 ± 21.6735
dagnn, 0.01,0.0005,64,5,False,44.8348 ± 23.4912, 44.8284 ± 23.4242
dagnn, 0.01,0.0005,64,10,True,45.3040 ± 21.5191, 45.3177 ± 21.4391
dagnn, 0.01,0.0005,64,10,False,45.3040 ± 21.5191, 45.3177 ± 21.4391
dagnn, 0.01,0.0005,64,20,True,42.3151 ± 20.4338, 42.3556 ± 20.3351
dagnn, 0.01,0.0005,64,20,False,42.3151 ± 20.4338, 42.3556 ± 20.3351
