method,lr,weight_decay,hidden_channels,power,normalize_feature,val_acc,test_acc
dagnn, 0.01,0.001,64,2,True,60.0723 ± 0.2814, 59.7963 ± 0.0411
dagnn, 0.01,0.001,64,2,False,60.0785 ± 0.2859, 59.7992 ± 0.0429
dagnn, 0.01,0.001,64,5,True,60.4378 ± 0.2266, 60.0752 ± 0.1163
dagnn, 0.01,0.001,64,5,False,60.4288 ± 0.2271, 60.0690 ± 0.1174
dagnn, 0.01,0.001,64,10,True,60.6129 ± 0.1874, 60.2646 ± 0.1076
dagnn, 0.01,0.001,64,10,False,60.6144 ± 0.1853, 60.2679 ± 0.1086
dagnn, 0.01,0.001,64,20,True,60.7005 ± 0.1899, 60.3517 ± 0.0886
dagnn, 0.01,0.001,64,20,False,60.7005 ± 0.1921, 60.3588 ± 0.0852
dagnn, 0.01,0.001,128,2,True,60.0623 ± 0.2121, 59.7654 ± 0.0941
dagnn, 0.01,0.001,128,2,False,60.0609 ± 0.2107, 59.7640 ± 0.0911
dagnn, 0.01,0.001,128,5,True,60.3845 ± 0.2208, 60.0871 ± 0.1559
dagnn, 0.01,0.001,128,5,False,60.3831 ± 0.2177, 60.0947 ± 0.1630
dagnn, 0.01,0.001,128,10,True,60.6034 ± 0.1841, 60.2822 ± 0.1420
dagnn, 0.01,0.001,128,10,False,60.6020 ± 0.1822, 60.2884 ± 0.1240
dagnn, 0.01,0.001,128,20,True,60.6124 ± 0.1645, 60.3688 ± 0.1449
dagnn, 0.01,0.001,128,20,False,60.6086 ± 0.1621, 60.3617 ± 0.1459
dagnn, 0.01,0.0005,64,2,True,60.0761 ± 0.2821, 59.7978 ± 0.0437
dagnn, 0.01,0.0005,64,2,False,60.0866 ± 0.2877, 59.8130 ± 0.0609
dagnn, 0.01,0.0005,64,5,True,60.4821 ± 0.2464, 60.1123 ± 0.1402
dagnn, 0.01,0.0005,64,5,False,60.4278 ± 0.2284, 60.0523 ± 0.1275
dagnn, 0.01,0.0005,64,10,True,60.6320 ± 0.1849, 60.2532 ± 0.1363
dagnn, 0.01,0.0005,64,10,False,60.6124 ± 0.1948, 60.2693 ± 0.1234
dagnn, 0.01,0.0005,64,20,True,60.7033 ± 0.1953, 60.3388 ± 0.0828
dagnn, 0.01,0.0005,64,20,False,60.7110 ± 0.1920, 60.3531 ± 0.0676
dagnn, 0.01,0.0005,128,2,True,60.0581 ± 0.2095, 59.7763 ± 0.1145
dagnn, 0.01,0.0005,128,2,False,60.0623 ± 0.2103, 59.7630 ± 0.0901
dagnn, 0.01,0.0005,128,5,True,60.3817 ± 0.2162, 60.0909 ± 0.1581
dagnn, 0.01,0.0005,128,5,False,60.3874 ± 0.2189, 60.0933 ± 0.1642
dagnn, 0.01,0.0005,128,10,True,60.6115 ± 0.1881, 60.2869 ± 0.1254
dagnn, 0.01,0.0005,128,10,False,60.6039 ± 0.1948, 60.2888 ± 0.1261
dagnn, 0.01,0.0005,128,20,True,60.6120 ± 0.1680, 60.3460 ± 0.1628
dagnn, 0.01,0.0005,128,20,False,60.6110 ± 0.1714, 60.3531 ± 0.1743
dagnn, 0.001,0.001,64,2,True,60.0452 ± 0.2489, 59.7663 ± 0.0372
dagnn, 0.001,0.001,64,2,False,60.0452 ± 0.2483, 59.7659 ± 0.0371
dagnn, 0.001,0.001,64,5,True,60.3836 ± 0.2014, 60.0114 ± 0.1211
dagnn, 0.001,0.001,64,5,False,60.3850 ± 0.2004, 60.0124 ± 0.1213
dagnn, 0.001,0.001,64,10,True,60.5744 ± 0.1655, 60.2365 ± 0.1490
dagnn, 0.001,0.001,64,10,False,60.5753 ± 0.1647, 60.2374 ± 0.1495
dagnn, 0.001,0.001,64,20,True,60.4664 ± 0.1377, 60.1708 ± 0.1437
dagnn, 0.001,0.001,64,20,False,60.4649 ± 0.1393, 60.1699 ± 0.1434
dagnn, 0.001,0.001,128,2,True,60.0557 ± 0.2264, 59.7526 ± 0.1506
dagnn, 0.001,0.001,128,2,False,60.0542 ± 0.2249, 59.7487 ± 0.1476
dagnn, 0.001,0.001,128,5,True,60.4288 ± 0.2025, 60.1194 ± 0.1379
dagnn, 0.001,0.001,128,5,False,60.4283 ± 0.2007, 60.1399 ± 0.1556
dagnn, 0.001,0.001,128,10,True,60.6005 ± 0.2004, 60.2846 ± 0.1466
dagnn, 0.001,0.001,128,10,False,60.6001 ± 0.2007, 60.2836 ± 0.1475
dagnn, 0.001,0.001,128,20,True,60.4611 ± 0.2025, 60.1285 ± 0.0962
dagnn, 0.001,0.001,128,20,False,60.4616 ± 0.2029, 60.1152 ± 0.0878
dagnn, 0.001,0.0005,64,2,True,60.0433 ± 0.2499, 59.7678 ± 0.0364
dagnn, 0.001,0.0005,64,2,False,60.0424 ± 0.2505, 59.7678 ± 0.0364
dagnn, 0.001,0.0005,64,5,True,60.3845 ± 0.2024, 60.0119 ± 0.1222
dagnn, 0.001,0.0005,64,5,False,60.3845 ± 0.2024, 60.0133 ± 0.1210
dagnn, 0.001,0.0005,64,10,True,60.5758 ± 0.1653, 60.2370 ± 0.1314
dagnn, 0.001,0.0005,64,10,False,60.5758 ± 0.1653, 60.2408 ± 0.1441
dagnn, 0.001,0.0005,64,20,True,60.4659 ± 0.1355, 60.1737 ± 0.1461
dagnn, 0.001,0.0005,64,20,False,60.4649 ± 0.1368, 60.1742 ± 0.1456
dagnn, 0.001,0.0005,128,2,True,60.0562 ± 0.2253, 59.7497 ± 0.1455
dagnn, 0.001,0.0005,128,2,False,60.0576 ± 0.2266, 59.7492 ± 0.1458
dagnn, 0.001,0.0005,128,5,True,60.4288 ± 0.2001, 60.1156 ± 0.1332
dagnn, 0.001,0.0005,128,5,False,60.4283 ± 0.1996, 60.1351 ± 0.1453
dagnn, 0.001,0.0005,128,10,True,60.5982 ± 0.2005, 60.2888 ± 0.1513
dagnn, 0.001,0.0005,128,10,False,60.5987 ± 0.2002, 60.2884 ± 0.1506
dagnn, 0.001,0.0005,128,20,True,60.4611 ± 0.2034, 60.1223 ± 0.0903
dagnn, 0.001,0.0005,128,20,False,60.4602 ± 0.2045, 60.1223 ± 0.0903
