method,lr,weight_decay,hidden_channels,power,normalize_feature,val_acc,test_acc
dagnn, 0.01,0.001,64,2,True,91.4222 ± 1.2920, 90.9538 ± 1.0093
dagnn, 0.01,0.001,64,2,False,91.4222 ± 1.2920, 90.9549 ± 1.0101
dagnn, 0.01,0.001,64,5,True,90.6667 ± 1.1111, 90.8958 ± 0.6582
dagnn, 0.01,0.001,64,5,False,90.8000 ± 1.0012, 90.6899 ± 1.0669
dagnn, 0.01,0.001,64,10,True,89.9111 ± 0.6402, 89.7617 ± 0.7380
dagnn, 0.01,0.001,64,10,False,89.7778 ± 0.6479, 89.4478 ± 1.7391
dagnn, 0.01,0.001,64,20,True,89.1111 ± 1.2273, 89.3192 ± 1.3092
dagnn, 0.01,0.001,64,20,False,88.9778 ± 1.1504, 89.5467 ± 0.9608
dagnn, 0.01,0.001,128,2,True,91.1556 ± 1.4264, 90.8457 ± 0.9054
dagnn, 0.01,0.001,128,2,False,91.1111 ± 1.3608, 90.3043 ± 1.5025
dagnn, 0.01,0.001,128,5,True,90.2222 ± 1.2862, 90.7786 ± 0.8623
dagnn, 0.01,0.001,128,5,False,90.2667 ± 1.1266, 90.6080 ± 0.7779
dagnn, 0.01,0.001,128,10,True,89.9111 ± 0.9888, 90.7968 ± 0.3897
dagnn, 0.01,0.001,128,10,False,89.9556 ± 0.9610, 90.8662 ± 0.3396
dagnn, 0.01,0.001,128,20,True,88.9778 ± 0.9763, 89.5490 ± 0.9994
dagnn, 0.01,0.001,128,20,False,88.9778 ± 0.9763, 89.5433 ± 1.0002
dagnn, 0.01,0.0005,64,2,True,91.6000 ± 1.4177, 91.1813 ± 0.8631
dagnn, 0.01,0.0005,64,2,False,91.5556 ± 1.3517, 91.2006 ± 0.8803
dagnn, 0.01,0.0005,64,5,True,90.5333 ± 1.1396, 90.9071 ± 0.7667
dagnn, 0.01,0.0005,64,5,False,90.5333 ± 1.1396, 90.9037 ± 0.7770
dagnn, 0.01,0.0005,64,10,True,89.6444 ± 0.8403, 89.6775 ± 1.2808
dagnn, 0.01,0.0005,64,10,False,89.6444 ± 0.6777, 89.5979 ± 1.4784
dagnn, 0.01,0.0005,64,20,True,88.9778 ± 1.2333, 89.6286 ± 0.7342
dagnn, 0.01,0.0005,64,20,False,89.1556 ± 1.0232, 89.6332 ± 0.6781
dagnn, 0.01,0.0005,128,2,True,91.2000 ± 1.4019, 90.5773 ± 1.1125
dagnn, 0.01,0.0005,128,2,False,91.3333 ± 1.4229, 90.9049 ± 1.3467
dagnn, 0.01,0.0005,128,5,True,90.3556 ± 1.4538, 90.0768 ± 1.7867
dagnn, 0.01,0.0005,128,5,False,90.3111 ± 1.3931, 90.7467 ± 0.9273
dagnn, 0.01,0.0005,128,10,True,89.7333 ± 1.0818, 90.4624 ± 0.4487
dagnn, 0.01,0.0005,128,10,False,89.9556 ± 1.0588, 90.6785 ± 0.4196
dagnn, 0.01,0.0005,128,20,True,88.9778 ± 0.8403, 89.5183 ± 0.9556
dagnn, 0.01,0.0005,128,20,False,88.9778 ± 0.8403, 89.5513 ± 0.9656
dagnn, 0.001,0.001,64,2,True,91.8667 ± 1.6071, 91.8307 ± 0.7267
dagnn, 0.001,0.001,64,2,False,91.8667 ± 1.6071, 91.8307 ± 0.7267
dagnn, 0.001,0.001,64,5,True,90.9778 ± 1.3015, 91.2097 ± 0.7264
dagnn, 0.001,0.001,64,5,False,90.9778 ± 1.3015, 91.2097 ± 0.7264
dagnn, 0.001,0.001,64,10,True,90.1333 ± 1.2232, 90.3850 ± 0.9691
dagnn, 0.001,0.001,64,10,False,90.1333 ± 1.2232, 90.3850 ± 0.9691
dagnn, 0.001,0.001,64,20,True,89.1111 ± 1.4487, 89.7082 ± 0.8610
dagnn, 0.001,0.001,64,20,False,89.1111 ± 1.4487, 89.7082 ± 0.8610
dagnn, 0.001,0.001,128,2,True,91.5111 ± 1.6659, 91.5066 ± 1.2683
dagnn, 0.001,0.001,128,2,False,91.5111 ± 1.6659, 91.5066 ± 1.2683
dagnn, 0.001,0.001,128,5,True,91.1556 ± 0.9081, 90.8389 ± 1.2640
dagnn, 0.001,0.001,128,5,False,91.1556 ± 0.9081, 90.8389 ± 1.2640
dagnn, 0.001,0.001,128,10,True,89.9111 ± 1.0954, 90.5261 ± 0.5965
dagnn, 0.001,0.001,128,10,False,89.9111 ± 1.0954, 90.5261 ± 0.5965
dagnn, 0.001,0.001,128,20,True,88.9333 ± 1.1044, 89.5695 ± 1.2559
dagnn, 0.001,0.001,128,20,False,88.9333 ± 1.1044, 89.5695 ± 1.2559
dagnn, 0.001,0.0005,64,2,True,91.8667 ± 1.6071, 91.8296 ± 0.7285
dagnn, 0.001,0.0005,64,2,False,91.8667 ± 1.6071, 91.8296 ± 0.7285
dagnn, 0.001,0.0005,64,5,True,90.9778 ± 1.3015, 91.2097 ± 0.7264
dagnn, 0.001,0.0005,64,5,False,90.9778 ± 1.3015, 91.2097 ± 0.7264
dagnn, 0.001,0.0005,64,10,True,90.1333 ± 1.2232, 90.3828 ± 0.9738
dagnn, 0.001,0.0005,64,10,False,90.1333 ± 1.2232, 90.3828 ± 0.9738
dagnn, 0.001,0.0005,64,20,True,89.1111 ± 1.4487, 89.7094 ± 0.8622
dagnn, 0.001,0.0005,64,20,False,89.1111 ± 1.4487, 89.7094 ± 0.8622
dagnn, 0.001,0.0005,128,2,True,91.5111 ± 1.6659, 91.5054 ± 1.2679
dagnn, 0.001,0.0005,128,2,False,91.5111 ± 1.6659, 91.5054 ± 1.2679
dagnn, 0.001,0.0005,128,5,True,91.1556 ± 0.9081, 90.8400 ± 1.2655
dagnn, 0.001,0.0005,128,5,False,91.1556 ± 0.9081, 90.8400 ± 1.2655
dagnn, 0.001,0.0005,128,10,True,89.9111 ± 1.0954, 90.5272 ± 0.5970
dagnn, 0.001,0.0005,128,10,False,89.9111 ± 1.0954, 90.5272 ± 0.5970
dagnn, 0.001,0.0005,128,20,True,88.9333 ± 1.1044, 89.5706 ± 1.2541
dagnn, 0.001,0.0005,128,20,False,88.9333 ± 1.1044, 89.5706 ± 1.2541
