method,lr,weight_decay,hidden_channels,power,normalize_feature,val_acc,test_acc
dagnn, 0.01,0.001,64,2,True,76.4800 ± 2.9987, 76.8800 ± 2.3424
dagnn, 0.01,0.001,64,2,False,76.4800 ± 2.9987, 76.8800 ± 2.3424
dagnn, 0.01,0.001,64,5,True,80.8400 ± 1.7111, 81.3600 ± 1.2341
dagnn, 0.01,0.001,64,5,False,80.8400 ± 1.7111, 81.3600 ± 1.2341
dagnn, 0.01,0.001,64,10,True,81.2000 ± 1.1314, 81.2600 ± 1.8133
dagnn, 0.01,0.001,64,10,False,81.2000 ± 1.1314, 81.2600 ± 1.8133
dagnn, 0.01,0.001,64,20,True,81.4000 ± 1.4000, 81.6400 ± 1.9693
dagnn, 0.01,0.001,64,20,False,81.3200 ± 1.3387, 81.4000 ± 2.1471
dagnn, 0.01,0.001,128,2,True,77.4800 ± 1.8740, 76.6200 ± 1.5205
dagnn, 0.01,0.001,128,2,False,77.6000 ± 1.7378, 76.1600 ± 1.2779
dagnn, 0.01,0.001,128,5,True,81.6800 ± 1.2538, 82.1000 ± 0.6403
dagnn, 0.01,0.001,128,5,False,81.6800 ± 1.2538, 82.1000 ± 0.6403
dagnn, 0.01,0.001,128,10,True,82.0400 ± 1.0715, 82.3400 ± 1.4223
dagnn, 0.01,0.001,128,10,False,82.0400 ± 1.0715, 82.3400 ± 1.4223
dagnn, 0.01,0.001,128,20,True,81.7600 ± 0.5550, 80.6200 ± 1.7021
dagnn, 0.01,0.001,128,20,False,81.7200 ± 0.5404, 80.8200 ± 1.5123
dagnn, 0.01,0.0005,64,2,True,76.4800 ± 2.9987, 76.8800 ± 2.3424
dagnn, 0.01,0.0005,64,2,False,76.4800 ± 2.9987, 76.8800 ± 2.3424
dagnn, 0.01,0.0005,64,5,True,80.8400 ± 1.7111, 81.3600 ± 1.2341
dagnn, 0.01,0.0005,64,5,False,80.8400 ± 1.7111, 81.3600 ± 1.2341
dagnn, 0.01,0.0005,64,10,True,81.3600 ± 1.3446, 81.2400 ± 1.8078
dagnn, 0.01,0.0005,64,10,False,81.3600 ± 1.3446, 81.2600 ± 1.8133
dagnn, 0.01,0.0005,64,20,True,81.3200 ± 1.3387, 81.4000 ± 2.1471
dagnn, 0.01,0.0005,64,20,False,81.3200 ± 1.3387, 81.4000 ± 2.1471
dagnn, 0.01,0.0005,128,2,True,77.4400 ± 1.9152, 76.7600 ± 1.4673
dagnn, 0.01,0.0005,128,2,False,77.4400 ± 1.9152, 76.7600 ± 1.4673
dagnn, 0.01,0.0005,128,5,True,81.8400 ± 1.0139, 82.0000 ± 0.6782
dagnn, 0.01,0.0005,128,5,False,81.6800 ± 1.2538, 82.1000 ± 0.6403
dagnn, 0.01,0.0005,128,10,True,82.0400 ± 1.0715, 82.3400 ± 1.4223
