method,lr,weight_decay,hidden_channels,power,normalize_feature,val_acc,test_acc
dagnn, 0.01,0.001,64,2,True,93.4667 ± 1.7889, 92.6841 ± 0.6519
dagnn, 0.01,0.001,64,2,False,93.4667 ± 1.7889, 92.6841 ± 0.6519
dagnn, 0.01,0.001,64,5,True,93.4667 ± 2.8829, 92.8540 ± 1.3547
dagnn, 0.01,0.001,64,5,False,93.4667 ± 2.8829, 92.8540 ± 1.3547
dagnn, 0.01,0.001,64,10,True,92.4000 ± 2.4313, 92.2553 ± 2.0874
dagnn, 0.01,0.001,64,10,False,92.4000 ± 2.4313, 92.2553 ± 2.0874
dagnn, 0.01,0.001,64,20,True,91.8667 ± 1.4453, 92.3231 ± 1.4609
dagnn, 0.01,0.001,64,20,False,91.8667 ± 1.4453, 92.3231 ± 1.4609
dagnn, 0.01,0.001,128,2,True,92.8000 ± 1.4453, 92.8546 ± 0.6451
dagnn, 0.01,0.001,128,2,False,92.8000 ± 1.4453, 92.8546 ± 0.6451
dagnn, 0.01,0.001,128,5,True,92.9333 ± 1.5348, 93.0742 ± 0.7241
dagnn, 0.01,0.001,128,5,False,92.9333 ± 1.5348, 93.0742 ± 0.7241
dagnn, 0.01,0.001,128,10,True,92.5333 ± 1.2824, 92.4732 ± 0.7735
dagnn, 0.01,0.001,128,10,False,92.5333 ± 1.2824, 92.4732 ± 0.7735
dagnn, 0.01,0.001,128,20,True,92.6667 ± 1.4142, 92.3138 ± 1.2139
dagnn, 0.01,0.001,128,20,False,92.6667 ± 1.4142, 92.3138 ± 1.2139
dagnn, 0.01,0.0005,64,2,True,93.4667 ± 1.7889, 92.6841 ± 0.6509
dagnn, 0.01,0.0005,64,2,False,93.4667 ± 1.7889, 92.6841 ± 0.6509
dagnn, 0.01,0.0005,64,5,True,93.6000 ± 2.6077, 92.5719 ± 1.6238
dagnn, 0.01,0.0005,64,5,False,93.6000 ± 2.6077, 92.5719 ± 1.6238
dagnn, 0.01,0.0005,64,10,True,92.4000 ± 2.4313, 92.2524 ± 2.0866
dagnn, 0.01,0.0005,64,10,False,92.4000 ± 2.4313, 92.2518 ± 2.0865
dagnn, 0.01,0.0005,64,20,True,91.8667 ± 1.4453, 92.3231 ± 1.4609
dagnn, 0.01,0.0005,64,20,False,91.8667 ± 1.4453, 92.3231 ± 1.4609
dagnn, 0.01,0.0005,128,2,True,92.8000 ± 1.4453, 92.8558 ± 0.6453
dagnn, 0.01,0.0005,128,2,False,93.0667 ± 1.2996, 93.0339 ± 0.5120
dagnn, 0.01,0.0005,128,5,True,92.9333 ± 1.5348, 93.0742 ± 0.7241
dagnn, 0.01,0.0005,128,5,False,92.9333 ± 1.5348, 93.0742 ± 0.7241
dagnn, 0.01,0.0005,128,10,True,92.6667 ± 1.4142, 92.4568 ± 0.7636
dagnn, 0.01,0.0005,128,10,False,92.6667 ± 1.4142, 92.4703 ± 0.7716
dagnn, 0.01,0.0005,128,20,True,92.6667 ± 1.4142, 92.3143 ± 1.2143
dagnn, 0.01,0.0005,128,20,False,92.6667 ± 1.4142, 92.3143 ± 1.2143
dagnn, 0.001,0.001,64,2,True,92.4000 ± 2.1396, 92.5340 ± 1.7122
dagnn, 0.001,0.001,64,2,False,92.4000 ± 2.1396, 92.5340 ± 1.7122
