method,lr,weight_decay,hidden_channels,power,normalize_feature,val_acc,test_acc
dagnn, 0.01,0.001,64,2,True,76.8800 ± 1.9058, 76.3400 ± 1.2837
dagnn, 0.01,0.001,64,2,False,76.8800 ± 1.9058, 76.3400 ± 1.2837
dagnn, 0.01,0.001,64,5,True,78.4000 ± 1.8111, 78.1600 ± 1.1081
dagnn, 0.01,0.001,64,5,False,78.4000 ± 1.8111, 78.1600 ± 1.1081
dagnn, 0.01,0.001,64,10,True,78.8400 ± 2.3469, 77.6600 ± 2.1939
dagnn, 0.01,0.001,64,10,False,78.8000 ± 2.4290, 77.6200 ± 2.2797
dagnn, 0.01,0.001,64,20,True,78.8000 ± 2.0298, 78.0000 ± 1.2042
dagnn, 0.01,0.001,64,20,False,78.8000 ± 2.0298, 78.0000 ± 1.2042
dagnn, 0.01,0.001,128,2,True,76.6800 ± 2.0130, 75.3800 ± 2.7225
dagnn, 0.01,0.001,128,2,False,76.6800 ± 2.0130, 75.4000 ± 2.6814
dagnn, 0.01,0.001,128,5,True,78.5600 ± 1.7686, 77.7600 ± 1.8050
dagnn, 0.01,0.001,128,5,False,78.4800 ± 2.0030, 77.2200 ± 2.9235
dagnn, 0.01,0.001,128,10,True,79.2000 ± 2.0928, 78.1000 ± 1.3928
dagnn, 0.01,0.001,128,10,False,79.3200 ± 2.0523, 78.2800 ± 1.5834
dagnn, 0.01,0.001,128,20,True,79.0400 ± 2.1373, 77.8400 ± 2.2345
dagnn, 0.01,0.001,128,20,False,79.1200 ± 2.0861, 77.8600 ± 2.2356
dagnn, 0.01,0.0005,64,2,True,76.8800 ± 1.9058, 76.2800 ± 1.2637
dagnn, 0.01,0.0005,64,2,False,76.8800 ± 1.9058, 76.2800 ± 1.2637
dagnn, 0.01,0.0005,64,5,True,78.4000 ± 1.8111, 78.1600 ± 1.1081
dagnn, 0.01,0.0005,64,5,False,78.4000 ± 1.8111, 78.1600 ± 1.1081
dagnn, 0.01,0.0005,64,10,True,78.9200 ± 2.1845, 77.4200 ± 2.7124
dagnn, 0.01,0.0005,64,10,False,78.9200 ± 2.1845, 77.4400 ± 2.6689
dagnn, 0.01,0.0005,64,20,True,78.8000 ± 2.0298, 77.9800 ± 1.1883
dagnn, 0.01,0.0005,64,20,False,78.8000 ± 2.0298, 77.9800 ± 1.1883
dagnn, 0.01,0.0005,128,2,True,76.6400 ± 2.1881, 75.7800 ± 1.9563
dagnn, 0.01,0.0005,128,2,False,76.8000 ± 1.8601, 76.1600 ± 1.3107
dagnn, 0.01,0.0005,128,5,True,78.1600 ± 2.3554, 77.7800 ± 1.9097
dagnn, 0.01,0.0005,128,5,False,78.1600 ± 2.3554, 77.7800 ± 1.9097
dagnn, 0.01,0.0005,128,10,True,79.2000 ± 2.0928, 78.1000 ± 1.3928
dagnn, 0.01,0.0005,128,10,False,79.2000 ± 2.0928, 78.1000 ± 1.3928
dagnn, 0.01,0.0005,128,20,True,79.0800 ± 2.1100, 77.8800 ± 2.2376
dagnn, 0.01,0.0005,128,20,False,79.0800 ± 2.1100, 77.8800 ± 2.2376
