method,lr,weight_decay,hidden_channels,power,normalize_feature,val_acc,test_acc
dagnn, 0.01,0.001,64,2,True,46.6801 ± 26.3856, 46.5885 ± 26.3887
dagnn, 0.01,0.001,64,2,False,46.6981 ± 26.3621, 46.6065 ± 26.3654
dagnn, 0.01,0.001,64,5,True,44.9002 ± 23.4014, 44.9232 ± 23.2938
dagnn, 0.01,0.001,64,5,False,45.4348 ± 22.6913, 45.4509 ± 22.5908
dagnn, 0.01,0.001,64,10,True,45.3040 ± 21.5193, 45.3177 ± 21.4391
dagnn, 0.01,0.001,64,10,False,45.3040 ± 21.5193, 45.3177 ± 21.4391
dagnn, 0.01,0.001,64,20,True,42.3150 ± 20.4338, 42.3555 ± 20.3351
dagnn, 0.01,0.001,64,20,False,42.4377 ± 20.2831, 42.5020 ± 20.1533
dagnn, 0.01,0.001,128,2,True,48.8672 ± 25.2372, 48.8109 ± 25.1241
dagnn, 0.01,0.001,128,2,False,48.9063 ± 25.1801, 48.8416 ± 25.0794
dagnn, 0.01,0.001,128,5,True,51.6583 ± 28.2104, 51.7210 ± 28.0881
dagnn, 0.01,0.001,128,5,False,51.7434 ± 28.0881, 51.8076 ± 27.9632
dagnn, 0.01,0.001,128,10,True,51.3741 ± 27.5134, 51.4492 ± 27.3996
dagnn, 0.01,0.001,128,10,False,51.3994 ± 27.4765, 51.4705 ± 27.3683
dagnn, 0.01,0.001,128,20,True,54.7209 ± 22.6094, 54.8053 ± 22.4746
dagnn, 0.01,0.001,128,20,False,54.7208 ± 22.6095, 54.8053 ± 22.4746
dagnn, 0.01,0.0005,64,2,True,47.1554 ± 25.7811, 47.0735 ± 25.7728
dagnn, 0.01,0.0005,64,2,False,47.9629 ± 24.8238, 47.8955 ± 24.8017
dagnn, 0.01,0.0005,64,5,True,46.2110 ± 21.7359, 46.1924 ± 21.6735
dagnn, 0.01,0.0005,64,5,False,44.8348 ± 23.4912, 44.8284 ± 23.4242
dagnn, 0.01,0.0005,64,10,True,45.3040 ± 21.5191, 45.3177 ± 21.4391
dagnn, 0.01,0.0005,64,10,False,45.3040 ± 21.5191, 45.3177 ± 21.4391
dagnn, 0.01,0.0005,64,20,True,42.3151 ± 20.4338, 42.3556 ± 20.3351
dagnn, 0.01,0.0005,64,20,False,42.3151 ± 20.4338, 42.3556 ± 20.3351
dagnn, 0.01,0.0005,128,2,True,48.8556 ± 25.2544, 48.8021 ± 25.1375
dagnn, 0.01,0.0005,128,2,False,48.8768 ± 25.2233, 48.8247 ± 25.1043
dagnn, 0.01,0.0005,128,5,True,51.5485 ± 28.3691, 51.5621 ± 28.3192
dagnn, 0.01,0.0005,128,5,False,51.6616 ± 28.2054, 51.7219 ± 28.0866
dagnn, 0.01,0.0005,128,10,True,51.3783 ± 27.5067, 51.4482 ± 27.4007
dagnn, 0.01,0.0005,128,10,False,51.3527 ± 27.5440, 51.4308 ± 27.4262
dagnn, 0.01,0.0005,128,20,True,54.7210 ± 22.6097, 54.8057 ± 22.4745
dagnn, 0.01,0.0005,128,20,False,54.7210 ± 22.6097, 54.8056 ± 22.4745
dagnn, 0.001,0.001,64,2,True,61.0565 ± 22.9686, 61.0372 ± 23.0804
dagnn, 0.001,0.001,64,2,False,61.0559 ± 22.9692, 61.0366 ± 23.0810
dagnn, 0.001,0.001,64,5,True,60.7143 ± 21.8563, 60.7640 ± 21.8264
dagnn, 0.001,0.001,64,5,False,60.7144 ± 21.8563, 60.7641 ± 21.8264
dagnn, 0.001,0.001,64,10,True,57.5680 ± 19.4724, 57.6450 ± 19.3858
dagnn, 0.001,0.001,64,10,False,57.5679 ± 19.4723, 57.6449 ± 19.3858
dagnn, 0.001,0.001,64,20,True,54.3477 ± 18.7264, 54.4284 ± 18.5974
dagnn, 0.001,0.001,64,20,False,54.3477 ± 18.7264, 54.4285 ± 18.5975
dagnn, 0.001,0.001,128,2,True,71.0820 ± 8.9393, 71.1064 ± 9.1149
dagnn, 0.001,0.001,128,2,False,70.6186 ± 9.2403, 70.6547 ± 9.4032
dagnn, 0.001,0.001,128,5,True,66.8937 ± 12.9548, 66.9493 ± 12.9758
dagnn, 0.001,0.001,128,5,False,66.7958 ± 12.8842, 66.8488 ± 12.9054
dagnn, 0.001,0.001,128,10,True,64.2010 ± 14.3177, 64.2833 ± 14.2966
dagnn, 0.001,0.001,128,10,False,64.1142 ± 14.2534, 64.1978 ± 14.2350
dagnn, 0.001,0.001,128,20,True,65.0665 ± 16.3932, 65.2151 ± 16.2909
dagnn, 0.001,0.001,128,20,False,65.1366 ± 16.4464, 65.2848 ± 16.3428
dagnn, 0.001,0.0005,64,2,True,61.0269 ± 23.0028, 61.0070 ± 23.1155
dagnn, 0.001,0.0005,64,2,False,61.0266 ± 23.0031, 61.0067 ± 23.1157
dagnn, 0.001,0.0005,64,5,True,60.7149 ± 21.8564, 60.7646 ± 21.8264
dagnn, 0.001,0.0005,64,5,False,60.7149 ± 21.8564, 60.7645 ± 21.8264
dagnn, 0.001,0.0005,64,10,True,57.5667 ± 19.4718, 57.6437 ± 19.3852
dagnn, 0.001,0.0005,64,10,False,57.5665 ± 19.4717, 57.6436 ± 19.3852
dagnn, 0.001,0.0005,64,20,True,54.3481 ± 18.7268, 54.4289 ± 18.5977
dagnn, 0.001,0.0005,64,20,False,54.3477 ± 18.7265, 54.4285 ± 18.5974
dagnn, 0.001,0.0005,128,2,True,70.6155 ± 9.4012, 70.6586 ± 9.5564
dagnn, 0.001,0.0005,128,2,False,70.8445 ± 9.1172, 70.8795 ± 9.2825
dagnn, 0.001,0.0005,128,5,True,67.1388 ± 12.3764, 67.1871 ± 12.4044
dagnn, 0.001,0.0005,128,5,False,67.3131 ± 12.0728, 67.3598 ± 12.1031
dagnn, 0.001,0.0005,128,10,True,64.0257 ± 14.1904, 64.1100 ± 14.1740
dagnn, 0.001,0.0005,128,10,False,64.1976 ± 14.3150, 64.2756 ± 14.2909
dagnn, 0.001,0.0005,128,20,True,65.0834 ± 16.4059, 65.2314 ± 16.3032
dagnn, 0.001,0.0005,128,20,False,65.0403 ± 16.3737, 65.1864 ± 16.2702
