method,lr,weight_decay,hidden_channels,power,val_acc,test_acc
gcn_strc, 0.01,0.001,8,2,82.0889 ± 1.3842, 77.6682 ± 1.9481
gcn_strc, 0.01,0.001,8,5,81.5111 ± 1.8149, 76.7161 ± 1.3070
gcn_strc, 0.01,0.001,8,10,81.3778 ± 1.9271, 75.8904 ± 4.3209
gcn_strc, 0.01,0.001,16,2,86.6222 ± 1.9077, 83.7650 ± 1.7430
gcn_strc, 0.01,0.001,16,5,86.5778 ± 2.1864, 82.6821 ± 1.9451
gcn_strc, 0.01,0.001,16,10,86.6667 ± 2.2933, 83.2895 ± 2.6922
gcn_strc, 0.01,0.001,32,2,89.0222 ± 1.1822, 86.4722 ± 1.6064
gcn_strc, 0.01,0.001,32,5,89.1556 ± 1.7098, 86.0388 ± 1.6904
gcn_strc, 0.01,0.001,32,10,88.8889 ± 1.7708, 85.2869 ± 3.0911
gcn_strc, 0.01,0.001,128,2,90.7556 ± 1.1178, 89.9198 ± 0.7359
gcn_strc, 0.01,0.001,128,5,90.8444 ± 1.2610, 90.3020 ± 1.4285
gcn_strc, 0.01,0.001,128,10,90.9778 ± 1.1822, 90.2952 ± 1.1102
gcn_strc, 0.01,0.0005,8,2,81.8222 ± 1.2512, 76.4033 ± 2.4534
gcn_strc, 0.01,0.0005,8,5,80.6667 ± 1.4055, 73.9282 ± 4.0394
gcn_strc, 0.01,0.0005,8,10,80.5778 ± 2.4119, 74.8223 ± 5.3113
gcn_strc, 0.01,0.0005,16,2,86.8444 ± 1.2996, 83.7104 ± 1.5696
gcn_strc, 0.01,0.0005,16,5,86.9778 ± 2.1175, 82.6275 ± 2.2200
gcn_strc, 0.01,0.0005,16,10,86.6222 ± 2.3800, 82.6116 ± 2.5698
gcn_strc, 0.01,0.0005,32,2,88.8444 ± 1.6285, 86.9192 ± 1.1996
gcn_strc, 0.01,0.0005,32,5,89.4222 ± 1.5761, 86.7690 ± 1.9559
gcn_strc, 0.01,0.0005,32,10,89.1111 ± 1.6704, 86.1082 ± 0.4552
gcn_strc, 0.01,0.0005,128,2,90.8444 ± 1.3370, 89.0428 ± 1.4516
gcn_strc, 0.01,0.0005,128,5,90.7556 ± 1.2131, 90.4123 ± 1.2537
gcn_strc, 0.01,0.0005,128,10,90.7111 ± 1.2008, 90.1701 ± 1.6745
gcn_strc, 0.001,0.001,8,2,61.4222 ± 2.2088, 50.1928 ± 4.2741
gcn_strc, 0.001,0.001,8,5,66.0000 ± 1.5154, 53.0558 ± 3.9683
gcn_strc, 0.001,0.001,8,10,68.5333 ± 1.2824, 57.6455 ± 3.5455
gcn_strc, 0.001,0.001,16,2,70.2667 ± 2.8171, 57.6887 ± 7.5758
gcn_strc, 0.001,0.001,16,5,76.0000 ± 1.8725, 62.4137 ± 3.3955
gcn_strc, 0.001,0.001,16,10,77.5556 ± 1.8257, 65.0537 ± 2.6064
gcn_strc, 0.001,0.001,32,2,77.5111 ± 2.2520, 65.9796 ± 2.6407
gcn_strc, 0.001,0.001,32,5,82.0000 ± 3.0021, 73.5950 ± 2.0302
gcn_strc, 0.001,0.001,32,10,83.2444 ± 2.7514, 75.2807 ± 2.3504
gcn_strc, 0.001,0.001,128,2,88.4444 ± 1.5476, 86.2151 ± 2.0555
gcn_strc, 0.001,0.001,128,5,88.8889 ± 1.3333, 86.3209 ± 2.7381
gcn_strc, 0.001,0.001,128,10,89.0222 ± 1.2232, 87.7677 ± 1.5498
gcn_strc, 0.001,0.0005,8,2,61.1556 ± 1.7596, 48.6072 ± 2.3032
