method,lr,weight_decay,hidden_channels,power,val_acc,test_acc
gcn_strc, 0.01,0.001,8,2,72.8800 ± 1.0826, 70.3800 ± 1.4114
gcn_strc, 0.01,0.001,8,5,72.6000 ± 0.9695, 71.4800 ± 0.8289
gcn_strc, 0.01,0.001,8,10,71.1200 ± 0.6870, 68.9800 ± 1.8939
gcn_strc, 0.01,0.001,16,2,74.1200 ± 1.5205, 71.2800 ± 1.9512
gcn_strc, 0.01,0.001,16,5,73.0000 ± 1.3491, 70.6400 ± 2.3266
gcn_strc, 0.01,0.001,16,10,73.1600 ± 1.8889, 70.5400 ± 3.4681
gcn_strc, 0.01,0.001,32,2,75.0400 ± 1.6334, 73.0200 ± 1.9512
gcn_strc, 0.01,0.001,32,5,75.2400 ± 1.4170, 72.7800 ± 2.2731
gcn_strc, 0.01,0.001,32,10,75.6400 ± 2.9913, 74.0800 ± 1.9486
gcn_strc, 0.01,0.001,128,2,75.5600 ± 1.9870, 74.7600 ± 2.0219
gcn_strc, 0.01,0.001,128,5,76.5200 ± 2.0765, 75.4400 ± 1.8663
gcn_strc, 0.01,0.001,128,10,77.0000 ± 1.9339, 75.6200 ± 2.0092
gcn_strc, 0.01,0.0005,8,2,73.2000 ± 1.0000, 70.9400 ± 1.6288
gcn_strc, 0.01,0.0005,8,5,71.2400 ± 0.5727, 69.2200 ± 1.5222
gcn_strc, 0.01,0.0005,8,10,71.1600 ± 1.0991, 69.5200 ± 1.5336
gcn_strc, 0.01,0.0005,16,2,73.8000 ± 1.7378, 71.6200 ± 2.1707
gcn_strc, 0.01,0.0005,16,5,72.6400 ± 1.8515, 70.6400 ± 2.4275
gcn_strc, 0.01,0.0005,16,10,74.1200 ± 1.7181, 71.7800 ± 2.2174
gcn_strc, 0.01,0.0005,32,2,74.8400 ± 2.3039, 73.2000 ± 2.7650
gcn_strc, 0.01,0.0005,32,5,74.4400 ± 2.4058, 72.9600 ± 2.9653
gcn_strc, 0.01,0.0005,32,10,75.5600 ± 2.6623, 74.2400 ± 2.0599
gcn_strc, 0.01,0.0005,128,2,75.7600 ± 1.9667, 74.6800 ± 1.8887
gcn_strc, 0.01,0.0005,128,5,76.4800 ± 1.8900, 75.3200 ± 1.7341
gcn_strc, 0.01,0.0005,128,10,76.7600 ± 1.8461, 75.5800 ± 1.6285
gcn_strc, 0.001,0.001,8,2,70.1600 ± 3.0509, 69.1000 ± 3.6104
gcn_strc, 0.001,0.001,8,5,70.8400 ± 2.9203, 70.5000 ± 3.4590
gcn_strc, 0.001,0.001,8,10,71.1600 ± 3.0997, 69.4600 ± 5.4114
gcn_strc, 0.001,0.001,16,2,70.5200 ± 2.7225, 69.5200 ± 2.3763
gcn_strc, 0.001,0.001,16,5,71.4400 ± 2.4916, 70.4400 ± 3.3246
gcn_strc, 0.001,0.001,16,10,72.1200 ± 1.7527, 71.2200 ± 3.2384
gcn_strc, 0.001,0.001,32,2,72.3600 ± 1.3069, 71.8400 ± 1.3903
gcn_strc, 0.001,0.001,32,5,72.6800 ± 0.9230, 72.4000 ± 1.3472
gcn_strc, 0.001,0.001,32,10,72.9200 ± 0.9445, 72.9000 ± 1.1113
gcn_strc, 0.001,0.001,128,2,75.1600 ± 3.0640, 74.1800 ± 2.5859
gcn_strc, 0.001,0.001,128,5,75.0400 ± 3.0279, 74.0400 ± 2.7052
gcn_strc, 0.001,0.001,128,10,75.0400 ± 3.2292, 74.3200 ± 2.5946
gcn_strc, 0.001,0.0005,8,2,70.0400 ± 3.1981, 69.0800 ± 4.0363
gcn_strc, 0.001,0.0005,8,5,70.7200 ± 2.9244, 70.8400 ± 3.4399
gcn_strc, 0.001,0.0005,8,10,71.2400 ± 2.9509, 71.3400 ± 3.2883
gcn_strc, 0.001,0.0005,16,2,70.1600 ± 3.0345, 68.8400 ± 3.1517
gcn_strc, 0.001,0.0005,16,5,71.3200 ± 2.3900, 70.0200 ± 2.9660
gcn_strc, 0.001,0.0005,16,10,72.1600 ± 2.0317, 71.0000 ± 3.3897
gcn_strc, 0.001,0.0005,32,2,72.4000 ± 1.0488, 71.7400 ± 1.1718
gcn_strc, 0.001,0.0005,32,5,72.8000 ± 0.9381, 72.4800 ± 1.0686
gcn_strc, 0.001,0.0005,32,10,72.9200 ± 1.1189, 72.5400 ± 1.2095
gcn_strc, 0.001,0.0005,128,2,75.0400 ± 3.2815, 73.7000 ± 2.8311
gcn_strc, 0.001,0.0005,128,5,75.1200 ± 3.0087, 74.3200 ± 2.6376
gcn_strc, 0.001,0.0005,128,10,75.0800 ± 3.0939, 74.4600 ± 2.6510
