method,lr,weight_decay,hidden_channels,power,val_acc,test_acc
gcn_strc, 0.01,0.001,8,2,65.9589 ± 0.2484, 65.2997 ± 0.2434
gcn_strc, 0.001,0.0005,8,2,65.5530 ± 0.2657, 64.9994 ± 0.2669
gcn_strc, 0.01,0.0005,8,2,65.8613 ± 0.1664, 65.2440 ± 0.1952
gcn_strc, 0.001,0.001,8,2,65.6072 ± 0.2032, 64.9870 ± 0.3204
gcn_strc, 0.01,0.0005,16,2,65.7643 ± 0.1982, 65.1902 ± 0.1183
gcn_strc, 0.001,0.0005,16,2,65.6324 ± 0.1346, 64.9623 ± 0.0907
gcn_strc, 0.01,0.001,16,2,66.0060 ± 0.1792, 65.4305 ± 0.1157
gcn_strc, 0.001,0.001,8,5,65.3322 ± 0.1793, 64.8505 ± 0.2048
gcn_strc, 0.01,0.0005,8,5,65.8014 ± 0.1586, 65.2749 ± 0.2340
gcn_strc, 0.001,0.001,16,2,65.5596 ± 0.2471, 64.9375 ± 0.1256
gcn_strc, 0.001,0.0005,8,5,65.3441 ± 0.1584, 64.9395 ± 0.2493
gcn_strc, 0.01,0.001,8,5,65.9575 ± 0.2302, 65.3768 ± 0.1008
gcn_strc, 0.01,0.001,16,5,65.8675 ± 0.1626, 65.2873 ± 0.1711
gcn_strc, 0.01,0.0005,16,5,65.9075 ± 0.2071, 65.3972 ± 0.2922
gcn_strc, 0.001,0.0005,16,5,65.5901 ± 0.2329, 65.0303 ± 0.1538
gcn_strc, 0.001,0.001,16,5,65.4154 ± 0.1969, 64.9066 ± 0.1176
gcn_strc, 0.001,0.0005,32,2,65.7138 ± 0.1625, 65.0503 ± 0.1875
gcn_strc, 0.001,0.001,32,2,65.7181 ± 0.1466, 65.1650 ± 0.1554
gcn_strc, 0.01,0.001,32,2,65.9860 ± 0.1402, 65.4115 ± 0.1704
gcn_strc, 0.01,0.0005,32,2,65.7976 ± 0.2465, 65.1869 ± 0.1156
gcn_strc, 0.001,0.001,8,10,65.1470 ± 0.1826, 64.6753 ± 0.1840
gcn_strc, 0.001,0.001,32,5,65.4664 ± 0.2023, 64.9889 ± 0.1716
gcn_strc, 0.01,0.0005,8,10,65.8942 ± 0.3372, 65.2911 ± 0.2821
gcn_strc, 0.001,0.0005,8,10,65.2613 ± 0.1069, 64.8095 ± 0.3660
gcn_strc, 0.01,0.001,8,10,65.9346 ± 0.1657, 65.2483 ± 0.2167
gcn_strc, 0.01,0.0005,32,5,65.8228 ± 0.1809, 65.2949 ± 0.2840
gcn_strc, 0.01,0.001,32,5,65.9670 ± 0.1107, 65.3939 ± 0.2243
gcn_strc, 0.01,0.0005,16,10,65.8347 ± 0.3012, 65.3672 ± 0.1905
gcn_strc, 0.001,0.0005,32,5,65.5739 ± 0.1889, 65.0479 ± 0.1366
gcn_strc, 0.001,0.0005,16,10,65.3698 ± 0.1911, 64.8305 ± 0.1161
gcn_strc, 0.001,0.001,16,10,65.1770 ± 0.1486, 64.6734 ± 0.3149
gcn_strc, 0.01,0.001,16,10,65.9727 ± 0.2121, 65.3601 ± 0.2330
gcn_strc, 0.01,0.001,32,10,65.9774 ± 0.2251, 65.4244 ± 0.1172
gcn_strc, 0.001,0.001,32,10,65.2698 ± 0.1515, 64.8966 ± 0.2210
gcn_strc, 0.01,0.0005,32,10,65.8095 ± 0.2733, 65.2383 ± 0.2408
gcn_strc, 0.001,0.0005,32,10,65.4292 ± 0.2085, 64.9951 ± 0.2780
