method,lr,weight_decay,hidden_channels,power,val_acc,test_acc
gcn_strc, 0.01,0.001,8,2,51.1200 ± 3.6431, 47.4600 ± 3.0859
gcn_strc, 0.01,0.001,8,5,49.2400 ± 3.2539, 45.8400 ± 1.7213
gcn_strc, 0.01,0.001,8,10,48.0800 ± 2.2432, 46.1000 ± 3.0216
gcn_strc, 0.01,0.001,16,2,55.9600 ± 4.1603, 52.7600 ± 3.0851
gcn_strc, 0.01,0.001,16,5,55.0000 ± 1.1576, 51.4000 ± 2.3399
gcn_strc, 0.01,0.001,16,10,54.4400 ± 2.4100, 52.0800 ± 4.0886
gcn_strc, 0.01,0.001,32,2,59.3200 ± 3.2545, 56.5000 ± 1.6279
gcn_strc, 0.01,0.001,32,5,58.4000 ± 2.6230, 56.2800 ± 2.6033
gcn_strc, 0.01,0.001,32,10,59.3200 ± 2.8376, 57.0600 ± 3.3523
gcn_strc, 0.01,0.001,128,2,65.8000 ± 1.7833, 63.5000 ± 1.7248
gcn_strc, 0.01,0.001,128,5,65.8400 ± 1.9204, 63.8000 ± 1.9313
gcn_strc, 0.01,0.001,128,10,65.8400 ± 2.2909, 63.5600 ± 2.0206
gcn_strc, 0.01,0.0005,8,2,47.8800 ± 2.5282, 45.4600 ± 1.0213
gcn_strc, 0.01,0.0005,8,5,46.8400 ± 2.3975, 45.5000 ± 1.3323
gcn_strc, 0.01,0.0005,8,10,47.6400 ± 2.5822, 46.8000 ± 2.0603
gcn_strc, 0.01,0.0005,16,2,55.2400 ± 3.3088, 51.0800 ± 1.7768
gcn_strc, 0.01,0.0005,16,5,54.0400 ± 1.2915, 49.4600 ± 2.0391
gcn_strc, 0.01,0.0005,16,10,54.2400 ± 3.1382, 51.9800 ± 4.1015
gcn_strc, 0.01,0.0005,32,2,57.4400 ± 2.8615, 55.0400 ± 2.7437
gcn_strc, 0.01,0.0005,32,5,57.8800 ± 3.0351, 54.5000 ± 3.8412
gcn_strc, 0.01,0.0005,32,10,58.5600 ± 3.3568, 56.2600 ± 3.1628
gcn_strc, 0.01,0.0005,128,2,65.6000 ± 1.9183, 63.3200 ± 0.8408
gcn_strc, 0.01,0.0005,128,5,65.6400 ± 2.1326, 63.4200 ± 2.0364
gcn_strc, 0.01,0.0005,128,10,65.5600 ± 2.4470, 63.5800 ± 2.0450
gcn_strc, 0.001,0.001,8,2,40.8000 ± 4.0817, 38.9200 ± 3.0335
gcn_strc, 0.001,0.001,8,5,41.7600 ± 2.1559, 39.4600 ± 0.7956
gcn_strc, 0.001,0.001,8,10,44.1600 ± 3.3299, 42.0000 ± 2.0372
gcn_strc, 0.001,0.001,16,2,46.5600 ± 3.8972, 44.0200 ± 4.4919
gcn_strc, 0.001,0.001,16,5,46.8000 ± 2.5259, 45.2800 ± 1.2814
gcn_strc, 0.001,0.001,16,10,49.1600 ± 2.0995, 46.8600 ± 1.5550
gcn_strc, 0.001,0.001,32,2,47.6000 ± 2.9967, 45.9600 ± 3.6157
gcn_strc, 0.001,0.001,32,5,50.9200 ± 3.3425, 48.2200 ± 3.1792
gcn_strc, 0.001,0.001,32,10,52.4400 ± 3.2106, 49.9600 ± 3.4616
gcn_strc, 0.001,0.001,128,2,59.1200 ± 2.0030, 57.5600 ± 2.4069
gcn_strc, 0.001,0.001,128,5,59.9200 ± 1.7584, 58.8000 ± 2.5865
gcn_strc, 0.001,0.001,128,10,60.7200 ± 1.4255, 59.5400 ± 2.7898
gcn_strc, 0.001,0.0005,8,2,39.9600 ± 2.8962, 38.2000 ± 2.0952
gcn_strc, 0.001,0.0005,8,5,42.1600 ± 2.3298, 40.3000 ± 1.2490
gcn_strc, 0.001,0.0005,8,10,44.7600 ± 3.2447, 42.1600 ± 2.0095
gcn_strc, 0.001,0.0005,16,2,45.3200 ± 2.4273, 43.1800 ± 2.3679
gcn_strc, 0.001,0.0005,16,5,46.8800 ± 2.6668, 45.4200 ± 1.0663
gcn_strc, 0.001,0.0005,16,10,49.2000 ± 1.8708, 46.9800 ± 1.4856
gcn_strc, 0.001,0.0005,32,2,47.4400 ± 3.5083, 45.4800 ± 3.8558
gcn_strc, 0.001,0.0005,32,5,50.9600 ± 3.4997, 48.4200 ± 3.0809
gcn_strc, 0.001,0.0005,32,10,52.2400 ± 3.1318, 50.2400 ± 3.2393
gcn_strc, 0.001,0.0005,128,2,58.5600 ± 2.2379, 56.3200 ± 3.6534
gcn_strc, 0.001,0.0005,128,5,59.4400 ± 1.9256, 58.4400 ± 2.4694
gcn_strc, 0.001,0.0005,128,10,60.4800 ± 1.4940, 59.1400 ± 2.7373
