method,lr,weight_decay,hidden_channels,power,val_acc,test_acc
gcn_strc, 0.01,0.001,8,2,70.4000 ± 3.8000, 69.9400 ± 5.3271
gcn_strc, 0.01,0.001,8,5,69.7600 ± 1.6935, 68.9800 ± 2.8560
gcn_strc, 0.01,0.001,8,10,69.8400 ± 1.4927, 68.5600 ± 1.6652
gcn_strc, 0.01,0.001,16,2,72.9600 ± 1.7286, 72.7000 ± 2.5729
gcn_strc, 0.01,0.001,16,5,72.2000 ± 1.6733, 71.7800 ± 1.9280
gcn_strc, 0.01,0.001,16,10,72.8000 ± 2.0396, 72.6600 ± 2.3544
gcn_strc, 0.01,0.001,32,2,73.5600 ± 2.3723, 73.4800 ± 2.4335
gcn_strc, 0.01,0.001,32,5,74.7200 ± 1.0060, 74.5400 ± 1.4943
gcn_strc, 0.01,0.001,32,10,75.4400 ± 1.1866, 75.2200 ± 1.9018
gcn_strc, 0.01,0.001,128,2,77.6800 ± 2.0909, 78.0600 ± 1.9113
gcn_strc, 0.01,0.001,128,5,78.2000 ± 1.8055, 78.0800 ± 2.1719
gcn_strc, 0.01,0.001,128,10,78.5200 ± 2.0813, 78.5200 ± 1.9942
gcn_strc, 0.01,0.0005,8,2,69.6400 ± 3.8611, 69.6000 ± 5.6873
gcn_strc, 0.01,0.0005,8,5,69.0800 ± 1.9829, 68.4600 ± 2.3362
gcn_strc, 0.01,0.0005,8,10,69.5200 ± 1.1628, 69.0200 ± 1.6177
gcn_strc, 0.01,0.0005,16,2,72.0800 ± 3.0153, 71.2000 ± 3.6090
gcn_strc, 0.01,0.0005,16,5,71.3600 ± 1.7573, 71.4200 ± 2.1194
gcn_strc, 0.01,0.0005,16,10,72.0000 ± 2.8000, 72.2600 ± 2.7043
gcn_strc, 0.01,0.0005,32,2,73.0800 ± 2.0861, 73.0200 ± 2.4201
gcn_strc, 0.01,0.0005,32,5,74.3200 ± 0.7563, 73.9000 ± 1.4089
gcn_strc, 0.01,0.0005,32,10,75.3200 ± 1.6162, 74.8000 ± 2.4218
gcn_strc, 0.01,0.0005,128,2,77.1600 ± 1.8078, 77.7000 ± 2.0940
gcn_strc, 0.01,0.0005,128,5,78.2000 ± 1.5297, 77.2200 ± 1.5514
gcn_strc, 0.01,0.0005,128,10,78.0400 ± 1.7111, 78.0800 ± 1.5139
gcn_strc, 0.001,0.001,8,2,58.9200 ± 1.7470, 59.9600 ± 3.0303
gcn_strc, 0.001,0.001,8,5,63.0000 ± 1.6733, 62.7200 ± 0.5675
gcn_strc, 0.001,0.001,8,10,65.0000 ± 2.4454, 65.1200 ± 0.5310
gcn_strc, 0.001,0.001,16,2,61.8800 ± 3.2760, 63.0000 ± 3.5833
gcn_strc, 0.001,0.001,16,5,64.8400 ± 3.3716, 66.5800 ± 2.0204
gcn_strc, 0.001,0.001,16,10,66.8800 ± 3.0548, 67.7400 ± 1.5726
gcn_strc, 0.001,0.001,32,2,68.8400 ± 2.3212, 68.2000 ± 3.0299
gcn_strc, 0.001,0.001,32,5,71.7200 ± 3.1705, 70.7000 ± 2.9715
gcn_strc, 0.001,0.001,32,10,72.6400 ± 3.2845, 71.7200 ± 3.0128
gcn_strc, 0.001,0.001,128,2,74.5200 ± 2.0717, 74.3600 ± 2.1078
gcn_strc, 0.001,0.001,128,5,75.1200 ± 1.7584, 75.5200 ± 1.4007
gcn_strc, 0.001,0.001,128,10,75.7600 ± 2.1513, 75.8400 ± 1.3939
gcn_strc, 0.001,0.0005,8,2,58.6800 ± 1.6223, 58.7400 ± 1.7387
gcn_strc, 0.001,0.0005,8,5,63.0800 ± 1.4940, 63.1000 ± 0.5431
gcn_strc, 0.001,0.0005,8,10,64.8800 ± 1.8199, 64.7800 ± 0.9884
gcn_strc, 0.001,0.0005,16,2,61.2000 ± 3.3556, 63.1000 ± 3.1945
gcn_strc, 0.001,0.0005,16,5,65.2400 ± 3.5508, 66.0200 ± 2.3488
gcn_strc, 0.001,0.0005,16,10,66.9600 ± 3.0803, 67.9400 ± 1.6682
gcn_strc, 0.001,0.0005,32,2,68.8000 ± 2.3495, 68.2200 ± 3.0720
gcn_strc, 0.001,0.0005,32,5,71.5600 ± 3.1382, 70.7600 ± 2.6913
gcn_strc, 0.001,0.0005,32,10,72.6000 ± 3.0430, 72.0600 ± 2.6006
gcn_strc, 0.001,0.0005,128,2,74.2000 ± 2.2935, 74.3000 ± 2.0482
gcn_strc, 0.001,0.0005,128,5,75.0400 ± 1.8407, 75.5000 ± 1.4474
gcn_strc, 0.001,0.0005,128,10,75.6000 ± 2.1307, 75.7200 ± 1.3755
