method,lr,weight_decay,hidden_channels,power,val_acc,test_acc
gcn_strc, 0.01,0.001,8,2,91.0667 ± 1.7385, 86.9258 ± 2.0178
gcn_strc, 0.01,0.001,8,5,90.4000 ± 2.1396, 86.7517 ± 2.0665
gcn_strc, 0.001,0.001,8,2,77.6000 ± 3.0405, 76.3286 ± 4.6722
gcn_strc, 0.001,0.0005,8,2,78.8000 ± 2.5991, 75.7533 ± 4.6377
gcn_strc, 0.01,0.0005,8,2,90.8000 ± 1.6600, 87.1711 ± 2.9029
gcn_strc, 0.001,0.001,8,5,76.5333 ± 3.3797, 70.7508 ± 7.1042
gcn_strc, 0.01,0.001,16,2,92.6667 ± 1.0541, 88.9665 ± 1.9852
gcn_strc, 0.001,0.0005,8,5,75.4667 ± 4.2791, 68.7825 ± 7.4482
gcn_strc, 0.01,0.001,8,10,90.4000 ± 1.8619, 87.6319 ± 1.9548
gcn_strc, 0.01,0.001,16,5,91.2000 ± 1.4453, 86.4731 ± 2.7169
gcn_strc, 0.01,0.0005,8,5,90.5333 ± 2.1807, 85.9399 ± 2.7029
gcn_strc, 0.01,0.0005,16,2,93.0667 ± 1.2996, 89.3391 ± 2.5607
gcn_strc, 0.01,0.0005,8,10,89.8667 ± 2.5991, 83.5055 ± 5.0191
gcn_strc, 0.001,0.001,8,10,76.8000 ± 3.4448, 65.4966 ± 8.3426
gcn_strc, 0.001,0.001,16,2,80.5333 ± 2.8441, 74.6547 ± 2.5022
gcn_strc, 0.01,0.001,32,2,92.0000 ± 1.6997, 89.7713 ± 2.3321
gcn_strc, 0.001,0.0005,8,10,76.9333 ± 3.1833, 66.5479 ± 8.4849
gcn_strc, 0.01,0.0005,16,5,91.8667 ± 1.7256, 88.7043 ± 2.5306
gcn_strc, 0.001,0.001,16,5,82.1333 ± 1.9664, 72.6023 ± 5.9367
gcn_strc, 0.01,0.001,16,10,91.7333 ± 1.8012, 89.3134 ± 2.8221
gcn_strc, 0.01,0.001,32,5,92.2667 ± 2.5647, 89.6504 ± 1.7770
gcn_strc, 0.01,0.0005,32,2,92.2667 ± 1.6733, 89.7778 ± 1.4829
gcn_strc, 0.001,0.001,32,5,85.0667 ± 2.8519, 70.7543 ± 3.5261
gcn_strc, 0.001,0.001,32,2,84.4000 ± 1.6733, 77.4068 ± 8.6818
gcn_strc, 0.01,0.0005,16,10,91.0667 ± 1.8619, 88.5693 ± 2.7296
gcn_strc, 0.001,0.001,16,10,83.6000 ± 3.1482, 72.2437 ± 4.7336
gcn_strc, 0.01,0.001,32,10,91.8667 ± 1.5916, 88.8795 ± 1.5921
gcn_strc, 0.001,0.001,32,10,85.8667 ± 2.0221, 75.7977 ± 4.5112
gcn_strc, 0.01,0.0005,32,5,92.0000 ± 1.9437, 88.8923 ± 1.6611
gcn_strc, 0.01,0.0005,32,10,92.4000 ± 2.1396, 90.5073 ± 1.6120
gcn_strc, 0.001,0.001,128,2,89.8667 ± 2.4676, 87.6687 ± 2.2850
gcn_strc, 0.01,0.001,128,2,93.3333 ± 2.1082, 91.5153 ± 1.4333
gcn_strc, 0.001,0.001,128,5,90.4000 ± 1.1155, 87.2745 ± 3.3808
gcn_strc, 0.01,0.001,128,5,92.8000 ± 2.4676, 91.7560 ± 1.6011
gcn_strc, 0.01,0.0005,128,2,93.0667 ± 1.7385, 91.2309 ± 1.2516
gcn_strc, 0.01,0.0005,128,10,93.3333 ± 2.0000, 91.6637 ± 1.2285
gcn_strc, 0.001,0.001,128,10,90.5333 ± 1.2824, 87.9386 ± 2.2997
gcn_strc, 0.01,0.001,128,10,93.3333 ± 2.0548, 88.9554 ± 3.6927
gcn_strc, 0.001,0.0005,16,2,81.7333 ± 1.8012, 77.3852 ± 1.5480
gcn_strc, 0.001,0.0005,16,5,82.9333 ± 1.8012, 75.7305 ± 6.7367
gcn_strc, 0.001,0.0005,32,2,83.6000 ± 3.0037, 75.9215 ± 8.0720
gcn_strc, 0.001,0.0005,16,10,83.4667 ± 3.0331, 76.9553 ± 5.7819
gcn_strc, 0.001,0.0005,32,5,86.6667 ± 2.2608, 76.4413 ± 6.9817
gcn_strc, 0.001,0.0005,32,10,85.6000 ± 2.4313, 73.5070 ± 4.4477
gcn_strc, 0.001,0.0005,128,2,89.7333 ± 2.2901, 86.8055 ± 2.2746
gcn_strc, 0.001,0.0005,128,5,89.8667 ± 1.7889, 88.0898 ± 2.0473
gcn_strc, 0.001,0.0005,128,10,90.0000 ± 1.9437, 88.3036 ± 2.1265
