method,lr,weight_decay,hidden_channels,power,val_acc,test_acc
gcn_strc, 0.01,0.001,8,2,52.8352 ± 0.3075, 52.7435 ± 0.3959
gcn_strc, 0.01,0.0005,8,2,52.7998 ± 0.4914, 52.6773 ± 0.4545
gcn_strc, 0.001,0.0005,8,2,51.6835 ± 0.2390, 51.5138 ± 0.3323
gcn_strc, 0.001,0.001,8,2,51.9022 ± 0.2697, 51.8275 ± 0.4642
gcn_strc, 0.01,0.001,16,2,52.8886 ± 0.2454, 52.7746 ± 0.3529
gcn_strc, 0.01,0.0005,16,2,52.9179 ± 0.1526, 52.8828 ± 0.4264
gcn_strc, 0.001,0.001,16,2,52.1701 ± 0.2808, 52.0934 ± 0.4776
gcn_strc, 0.001,0.0005,8,5,54.3635 ± 0.2240, 54.2244 ± 0.3142
gcn_strc, 0.001,0.001,8,5,54.5445 ± 0.2152, 54.3973 ± 0.3615
gcn_strc, 0.01,0.001,8,5,53.8991 ± 0.2825, 53.7856 ± 0.5154
gcn_strc, 0.01,0.0005,8,5,53.6913 ± 0.1621, 53.5957 ± 0.3073
gcn_strc, 0.01,0.001,16,5,53.7319 ± 0.3343, 53.5971 ± 0.4382
gcn_strc, 0.01,0.001,32,2,52.8489 ± 0.1360, 52.6920 ± 0.3893
gcn_strc, 0.01,0.0005,32,2,53.0743 ± 0.2048, 52.9433 ± 0.3996
gcn_strc, 0.001,0.001,32,2,52.4639 ± 0.2091, 52.3840 ± 0.3468
gcn_strc, 0.001,0.001,16,5,54.4722 ± 0.1688, 54.2499 ± 0.3885
gcn_strc, 0.01,0.0005,16,5,53.8113 ± 0.2866, 53.6930 ± 0.2829
gcn_strc, 0.001,0.001,32,5,54.5676 ± 0.1027, 54.4606 ± 0.3947
gcn_strc, 0.01,0.0005,32,5,53.7187 ± 0.1869, 53.6533 ± 0.4535
gcn_strc, 0.01,0.001,8,10,53.5127 ± 0.2735, 53.4360 ± 0.2971
gcn_strc, 0.01,0.001,32,5,53.7702 ± 0.2174, 53.6453 ± 0.6521
gcn_strc, 0.001,0.001,8,10,53.8245 ± 0.1663, 53.7355 ± 0.4057
gcn_strc, 0.001,0.0005,8,10,54.2539 ± 0.1765, 54.0770 ± 0.3311
gcn_strc, 0.01,0.0005,8,10,54.0432 ± 0.2904, 53.9287 ± 0.2820
gcn_strc, 0.01,0.001,16,10,53.3984 ± 0.2559, 53.2777 ± 0.3595
gcn_strc, 0.01,0.0005,16,10,54.1481 ± 0.2170, 53.9523 ± 0.4042
gcn_strc, 0.001,0.001,16,10,53.7054 ± 0.3740, 53.6458 ± 0.5601
gcn_strc, 0.01,0.001,32,10,53.4404 ± 0.2197, 53.3533 ± 0.5282
gcn_strc, 0.001,0.001,32,10,53.7522 ± 0.2156, 53.6788 ± 0.6660
gcn_strc, 0.01,0.0005,32,10,54.1722 ± 0.1376, 54.0856 ± 0.4585
gcn_strc, 0.01,0.0005,128,2,53.0828 ± 0.1312, 53.0118 ± 0.4559
gcn_strc, 0.001,0.001,128,2,53.0252 ± 0.2499, 52.7335 ± 0.2822
gcn_strc, 0.01,0.001,128,2,53.2018 ± 0.4477, 53.2144 ± 0.4051
gcn_strc, 0.01,0.001,128,5,53.7130 ± 0.4663, 53.6150 ± 0.2775
gcn_strc, 0.001,0.001,128,5,54.6267 ± 0.2814, 54.4880 ± 0.3958
gcn_strc, 0.01,0.0005,128,5,53.7593 ± 0.4073, 53.5574 ± 0.2049
gcn_strc, 0.01,0.0005,128,10,54.2719 ± 0.2806, 53.9873 ± 0.3554
gcn_strc, 0.001,0.001,128,10,53.7839 ± 0.3766, 53.7478 ± 0.6556
gcn_strc, 0.01,0.001,128,10,53.4121 ± 0.4462, 53.2867 ± 0.3133
gcn_strc, 0.001,0.0005,16,2,51.9830 ± 0.2126, 51.9843 ± 0.3999
gcn_strc, 0.001,0.0005,16,5,54.3744 ± 0.2196, 54.1833 ± 0.4141
gcn_strc, 0.001,0.0005,32,2,52.2589 ± 0.3465, 52.2758 ± 0.3156
gcn_strc, 0.001,0.0005,32,5,54.4660 ± 0.1609, 54.2429 ± 0.4685
gcn_strc, 0.001,0.0005,16,10,54.2322 ± 0.3291, 54.0487 ± 0.3844
gcn_strc, 0.001,0.0005,32,10,54.3914 ± 0.1167, 54.2703 ± 0.3919
gcn_strc, 0.001,0.0005,128,2,52.8182 ± 0.2265, 52.6140 ± 0.3737
gcn_strc, 0.001,0.0005,128,5,54.7301 ± 0.3750, 54.5202 ± 0.3576
gcn_strc, 0.001,0.0005,128,10,54.6607 ± 0.2912, 54.5939 ± 0.3461
