method,lr,weight_decay,hidden_channels,num_layers,dropout,alpha,beta,gamma,delta,orders,val_acc,test_acc
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,1,76.4000 ± 2.8432, 75.7982 ± 2.8728
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,1,63.6889 ± 5.3601, 73.3788 ± 5.3117
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,1,72.7556 ± 5.9142, 76.5239 ± 2.5269
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,1,78.3111 ± 3.0494, 76.6138 ± 1.9136
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,1,85.4222 ± 2.2912, 88.4707 ± 1.0827
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,1,63.3778 ± 8.2573, 72.2311 ± 8.1491
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,1,81.7778 ± 2.6620, 81.5845 ± 1.0077
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,1,76.2222 ± 2.2933, 74.6346 ± 2.7424
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,1,85.0667 ± 3.0119, 86.6485 ± 3.5901
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,1,75.6444 ± 3.0976, 75.8323 ± 3.3925
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,1,89.5556 ± 1.3426, 89.0508 ± 1.6818
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,1,86.9333 ± 3.4691, 88.5719 ± 1.5044
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,1,78.4889 ± 1.1155, 77.0449 ± 3.7092
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,2,64.4444 ± 4.7193, 71.0118 ± 7.7479
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,2,80.9778 ± 2.3339, 83.1781 ± 1.1388
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,2,72.7555 ± 5.5257, 79.7373 ± 3.0348
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,2,84.4000 ± 2.1222, 83.5785 ± 0.5607
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,2,87.0222 ± 3.1685, 89.6411 ± 0.8950
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,2,60.8889 ± 6.1162, 70.6364 ± 7.0011
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,2,83.4667 ± 2.0221, 83.2224 ± 1.4673
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,2,86.7111 ± 2.5112, 85.8397 ± 0.3205
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,2,83.4667 ± 2.4323, 85.1698 ± 1.3758
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,2,74.7556 ± 9.1754, 85.0924 ± 4.5668
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,2,88.6222 ± 1.4177, 89.7628 ± 1.6245
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,2,83.9111 ± 2.1407, 83.7798 ± 2.1531
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,2,90.3111 ± 0.9763, 90.0984 ± 1.5721
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,3,61.8667 ± 3.1056, 72.4484 ± 5.6777
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,3,56.2667 ± 3.6663, 69.2578 ± 6.2936
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,3,85.2889 ± 3.2826, 85.0594 ± 2.6328
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,3,79.5111 ± 10.1147, 85.0299 ± 6.4144
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,3,66.5333 ± 4.2123, 76.9664 ± 4.2418
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,3,81.5111 ± 3.7364, 84.6215 ± 1.6331
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,3,80.8444 ± 8.4275, 83.7786 ± 1.7470
