method,lr,weight_decay,hidden_channels,num_layers,dropout,alpha,beta,gamma,delta,orders,val_acc,test_acc
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,1,52.1200 ± 3.1862, 51.9000 ± 4.1623
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,2,59.5600 ± 2.9846, 59.1600 ± 3.6370
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,3,64.5600 ± 4.0507, 63.8400 ± 4.1813
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,1,53.2400 ± 3.7186, 53.1800 ± 3.6383
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,2,60.2400 ± 2.3082, 59.8800 ± 1.9550
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,3,65.6400 ± 3.5168, 64.6400 ± 4.7078
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,1,62.2400 ± 3.2967, 61.8200 ± 4.6773
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,2,66.8000 ± 2.3195, 65.6800 ± 3.6314
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,3,68.2000 ± 2.7964, 67.5400 ± 3.6460
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,1,61.6400 ± 3.6617, 62.4600 ± 4.0104
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,2,66.7200 ± 2.6480, 65.1600 ± 3.8037
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,3,70.4800 ± 2.5163, 68.7800 ± 3.1060
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,1,55.6000 ± 2.5377, 55.4800 ± 3.1188
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,2,61.8400 ± 2.6169, 61.6400 ± 2.7208
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,3,65.0400 ± 1.9463, 64.5200 ± 3.3372
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,1,54.3200 ± 3.5626, 55.1000 ± 4.0540
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,2,62.0000 ± 1.5684, 61.0200 ± 2.9482
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,3,64.6000 ± 3.4928, 64.1200 ± 3.9258
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,1,62.1200 ± 2.3816, 62.3400 ± 2.5813
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,2,68.8400 ± 1.8676, 67.6400 ± 2.0020
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,3,71.6800 ± 2.5985, 69.7000 ± 2.6935
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,1,62.5200 ± 3.5060, 62.1600 ± 4.4925
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,2,68.4400 ± 1.4792, 67.0200 ± 3.3275
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,3,70.6000 ± 1.8111, 68.5600 ± 2.8431
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,1,51.7200 ± 3.8356, 51.4600 ± 4.3003
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,2,60.7600 ± 3.2168, 58.6400 ± 2.7519
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,3,66.2000 ± 4.1376, 64.0800 ± 4.0015
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,1,53.1600 ± 3.5816, 52.6200 ± 4.1710
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,2,59.8400 ± 1.9360, 59.7600 ± 2.4399
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,3,66.2000 ± 3.8704, 64.8200 ± 5.5886
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,1,61.7200 ± 2.9550, 61.2600 ± 4.8758
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,2,67.2400 ± 2.4470, 66.1200 ± 3.5365
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,3,68.6800 ± 2.6556, 67.9400 ± 3.5865
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,1,61.8800 ± 4.1246, 61.5600 ± 5.4930
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,2,66.1600 ± 2.1790, 66.4600 ± 3.1453
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,3,70.6800 ± 2.1615, 68.9200 ± 3.8088
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,1,54.0400 ± 3.8507, 54.5200 ± 4.3614
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,2,62.0400 ± 2.0804, 61.8600 ± 2.8667
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,3,64.6000 ± 1.8815, 63.7600 ± 3.5844
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,1,54.6400 ± 2.6359, 54.8800 ± 3.6894
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,2,61.9200 ± 1.5975, 60.7400 ± 3.5402
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,3,64.6800 ± 4.2346, 63.3000 ± 4.0589
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,1,61.9200 ± 2.5361, 62.4000 ± 3.0307
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,2,68.9200 ± 1.5271, 67.5200 ± 1.7712
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,3,70.8800 ± 2.0813, 69.0000 ± 2.7559
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,1,62.5600 ± 3.7078, 62.1600 ± 4.5774
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,2,68.7200 ± 1.1713, 67.4000 ± 2.7803
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,3,70.9200 ± 2.4601, 69.0400 ± 3.7407
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,1,53.4800 ± 2.9584, 51.2800 ± 3.7252
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,2,60.3200 ± 1.8472, 58.7600 ± 2.8378
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,3,64.0400 ± 4.6441, 61.6400 ± 5.8458
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,1,53.3600 ± 2.8298, 51.3200 ± 2.5163
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,2,59.3200 ± 2.7481, 58.3000 ± 2.9707
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,3,63.9600 ± 3.2230, 61.1400 ± 5.7309
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,1,64.9200 ± 1.4255, 63.1000 ± 1.9118
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,2,66.4000 ± 2.4617, 64.6200 ± 1.2538
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,3,66.9600 ± 2.8824, 64.2000 ± 2.7505
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,1,63.5200 ± 2.0813, 61.9000 ± 1.7103
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,2,66.1200 ± 2.4560, 64.8600 ± 2.3028
