method,lr,weight_decay,hidden_channels,num_layers,dropout,alpha,beta,gamma,delta,orders,val_acc,test_acc
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,1,47.0800 ± 1.7181, 44.7800 ± 1.9677
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,2,49.4000 ± 3.1209, 48.5800 ± 1.2498
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,3,55.9600 ± 2.2334, 52.2000 ± 3.3593
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,1,47.4000 ± 1.6553, 44.0200 ± 2.6167
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,2,49.7200 ± 1.7697, 46.6000 ± 3.4850
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,3,57.4800 ± 2.5791, 53.4200 ± 2.8102
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,1,54.0000 ± 1.8000, 50.2000 ± 2.7902
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,2,55.4400 ± 3.0113, 53.1200 ± 2.5470
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,3,57.7200 ± 1.1189, 55.2600 ± 2.2898
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,1,54.1600 ± 2.0219, 50.7400 ± 3.3126
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,2,57.0800 ± 0.9654, 52.6400 ± 3.1628
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,3,59.2000 ± 0.6164, 55.4000 ± 1.7607
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,1,49.4000 ± 4.1304, 46.4400 ± 3.9910
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,2,49.5600 ± 2.1279, 47.7000 ± 2.0112
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,3,56.2000 ± 1.3115, 51.8600 ± 1.9667
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,1,49.7600 ± 3.0213, 49.4000 ± 3.2856
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,2,50.4800 ± 2.9210, 48.8600 ± 2.9871
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,3,56.0800 ± 0.7430, 52.2600 ± 1.7300
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,1,55.4400 ± 2.4996, 51.3000 ± 5.1054
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,2,57.4800 ± 1.7470, 54.9000 ± 2.1319
