method,lr,weight_decay,hidden_channels,num_layers,dropout,alpha,beta,gamma,delta,orders,val_acc,test_acc
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,1,64.0800 ± 2.9482, 63.0200 ± 1.5418
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,2,66.1200 ± 2.5558, 64.9000 ± 1.5859
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,3,68.7600 ± 1.7053, 68.3600 ± 1.5582
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,1,63.9200 ± 2.8128, 62.2600 ± 0.8678
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,2,67.3600 ± 1.6697, 66.4000 ± 0.5916
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,3,68.9200 ± 1.2696, 68.8400 ± 2.2434
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,1,64.0000 ± 2.6230, 66.0000 ± 1.6703
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,2,66.4400 ± 1.8942, 67.3200 ± 1.5401
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,3,69.2400 ± 1.6395, 70.4200 ± 1.2617
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,1,64.5600 ± 2.4552, 66.2000 ± 2.5961
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,2,67.0800 ± 2.2432, 68.6200 ± 0.7887
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,3,68.5600 ± 2.4058, 70.3200 ± 1.9110
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,1,63.5600 ± 2.9645, 62.4800 ± 1.9422
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,2,65.4800 ± 3.2422, 64.9400 ± 1.8555
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,3,68.2400 ± 2.3341, 67.8000 ± 2.6420
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,1,63.5600 ± 3.1061, 62.5600 ± 2.7006
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,2,65.1600 ± 2.2865, 64.0400 ± 1.5110
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,3,67.8400 ± 1.9718, 66.7200 ± 0.7463
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,1,65.8800 ± 4.0561, 66.6200 ± 1.6392
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,2,67.8400 ± 2.6283, 67.9600 ± 0.9915
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,3,69.6800 ± 1.0640, 70.3800 ± 2.8305
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,1,65.4400 ± 4.0581, 66.2600 ± 2.7610
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,2,68.5600 ± 2.0268, 69.3600 ± 1.3631
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,3,70.6000 ± 2.3622, 70.3400 ± 3.4559
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,1,62.7600 ± 2.6473, 61.9800 ± 1.9576
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,2,66.8400 ± 1.7686, 65.1000 ± 1.3266
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,3,68.5600 ± 1.7111, 67.4000 ± 2.5348
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,1,62.9200 ± 1.7470, 61.9000 ± 1.5668
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,2,67.4400 ± 2.6922, 66.1200 ± 0.9576
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,3,69.3200 ± 1.4394, 68.2000 ± 1.5313
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,1,64.3600 ± 2.5589, 65.1800 ± 2.7526
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,2,66.7200 ± 1.7810, 68.2000 ± 1.0174
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,3,67.8400 ± 2.0611, 69.4200 ± 1.8673
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,1,64.1200 ± 2.8376, 65.7600 ± 1.8133
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,2,67.7200 ± 2.3435, 68.5000 ± 1.2390
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,3,67.8800 ± 1.4805, 68.8400 ± 1.7009
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,1,63.3600 ± 2.7107, 62.0600 ± 2.6931
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,2,65.8000 ± 2.7018, 64.6600 ± 2.0342
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,3,68.6400 ± 2.4633, 68.4600 ± 2.9134
