method,lr,weight_decay,hidden_channels,num_layers,dropout,alpha,beta,gamma,delta,orders,val_acc,test_acc
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,1,62.8000 ± 2.9212, 57.6118 ± 10.5182
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,1,85.6000 ± 3.9328, 84.1492 ± 4.3231
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,1,58.9333 ± 2.6499, 56.2795 ± 10.0788
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,1,69.3333 ± 3.2660, 71.6695 ± 6.1342
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,1,87.4667 ± 2.7244, 86.5824 ± 2.5973
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,1,87.0667 ± 3.1833, 85.4312 ± 4.1099
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,1,86.2667 ± 4.1258, 84.5452 ± 3.2801
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,1,70.8000 ± 0.2981, 70.3811 ± 6.3450
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,1,70.0000 ± 2.8674, 71.9949 ± 6.1191
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,1,86.4000 ± 2.9288, 80.5058 ± 5.3762
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,1,60.5333 ± 2.7649, 54.9712 ± 11.3405
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,1,59.8667 ± 3.1763, 61.5787 ± 11.2998
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,1,86.6667 ± 3.6209, 84.7683 ± 3.3980
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,2,90.0000 ± 2.1082, 89.1604 ± 2.6162
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,2,81.6000 ± 1.6733, 79.7985 ± 6.7080
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,2,83.2000 ± 1.5202, 78.1217 ± 6.1817
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,2,89.4667 ± 1.6600, 88.3024 ± 2.4380
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,2,90.1333 ± 2.2311, 88.2253 ± 2.8671
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,2,84.0000 ± 1.6997, 79.6624 ± 4.4162
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,2,83.3333 ± 1.7638, 77.3373 ± 6.7314
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,2,83.7333 ± 1.4606, 80.2330 ± 6.7223
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,2,81.6000 ± 1.3824, 78.6497 ± 6.9186
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,2,83.8667 ± 1.7256, 77.4909 ± 8.2776
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,2,90.8000 ± 1.6600, 88.1751 ± 2.3770
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,2,89.2000 ± 2.2804, 87.1068 ± 2.8729
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,2,89.6000 ± 1.6733, 87.9829 ± 2.6855
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,3,82.1333 ± 10.8259, 84.0294 ± 6.2009
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,3,88.9333 ± 2.9288, 86.8744 ± 0.9234
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,3,78.1333 ± 6.0992, 73.3394 ± 10.0767
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,3,90.4000 ± 1.9207, 87.8042 ± 1.5428
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,3,81.6000 ± 2.2901, 73.8271 ± 4.0785
