method,lr,weight_decay,hidden_channels,num_layers,dropout,alpha,beta,gamma,delta,orders,val_acc,test_acc
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,1,38.4920 ± 12.8226, 38.4472 ± 12.8824
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,1,44.3921 ± 12.7703, 44.4339 ± 12.8620
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,1,42.4764 ± 12.0845, 42.4192 ± 12.3128
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,1,28.8971 ± 0.0966, 28.7498 ± 0.2428
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,1,48.6278 ± 6.7206, 48.5651 ± 6.5528
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,1,39.1015 ± 9.0726, 39.1166 ± 8.9327
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,1,36.3066 ± 9.1556, 36.3049 ± 9.4645
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,1,43.2692 ± 11.5517, 43.2463 ± 11.7105
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,1,48.4842 ± 6.9735, 48.3072 ± 6.9342
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,1,41.9261 ± 12.1217, 41.7795 ± 12.4530
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,1,32.9652 ± 6.8611, 32.8710 ± 6.9618
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,1,47.2573 ± 9.2813, 47.2495 ± 9.1514
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,1,50.1335 ± 7.9840, 50.1401 ± 8.2162
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,2,36.7148 ± 8.4606, 36.6663 ± 8.4073
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,2,39.9745 ± 6.9312, 39.9230 ± 7.1360
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,2,31.9967 ± 4.5407, 31.9026 ± 4.4413
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,2,49.0053 ± 5.6331, 49.1891 ± 5.7565
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,2,44.6278 ± 8.7830, 44.6484 ± 8.7461
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,2,38.5166 ± 5.5291, 38.3121 ± 5.5399
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,2,42.5903 ± 9.9922, 42.6809 ± 9.8140
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,2,52.3321 ± 2.8302, 52.4921 ± 2.9939
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,2,40.0265 ± 10.9732, 39.8706 ± 10.9970
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,2,42.9833 ± 10.6056, 42.8731 ± 10.5946
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,2,31.6788 ± 6.3676, 31.4855 ± 6.2476
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,2,48.5069 ± 8.0497, 48.5249 ± 7.9703
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,2,50.1920 ± 5.1144, 50.2090 ± 5.3229
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,3,46.5879 ± 7.3671, 46.5579 ± 7.3244
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,3,31.7728 ± 4.7024, 31.6957 ± 4.9022
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,3,40.2726 ± 8.7554, 40.2707 ± 8.9725
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,3,34.8374 ± 7.5675, 34.7346 ± 7.6128
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,3,51.8304 ± 2.6288, 51.8039 ± 2.8405
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,3,47.2966 ± 8.8476, 47.2239 ± 8.7552
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,3,43.7850 ± 9.9084, 43.8217 ± 9.9140
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,3,36.6855 ± 10.0320, 36.6294 ± 10.1515
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,3,45.9029 ± 8.2451, 45.8573 ± 8.5222
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,3,40.5315 ± 7.7391, 40.3893 ± 8.1665
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,3,51.7208 ± 3.7642, 51.6522 ± 3.9643
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,3,47.4492 ± 10.7778, 47.4960 ± 10.6925
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,1,45.6591 ± 11.1065, 45.6083 ± 11.1875
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,1,45.6804 ± 10.4112, 45.7510 ± 10.4899
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,1,53.2741 ± 0.5346, 53.2692 ± 0.4064
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,1,49.6228 ± 5.4254, 49.4726 ± 5.7438
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,1,53.1631 ± 1.6685, 53.1379 ± 1.5224
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,1,42.4079 ± 9.3226, 42.6865 ± 9.1557
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,1,51.4851 ± 4.5783, 51.4004 ± 4.8132
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,2,53.5453 ± 0.6883, 53.5565 ± 0.8146
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,1,54.3933 ± 0.2100, 54.4517 ± 0.2906
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,1,53.2283 ± 0.6238, 53.4162 ± 0.4935
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,2,40.5716 ± 9.0345, 40.6255 ± 8.9456
