method,lr,weight_decay,hidden_channels,num_layers,dropout,alpha,beta,gamma,delta,orders,val_acc,test_acc
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,1,85.1159 ± 0.8026, 84.6120 ± 0.6974
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,1,82.5662 ± 1.0831, 82.0051 ± 1.2736
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,1,82.9723 ± 0.4373, 82.5657 ± 0.5641
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,1,84.7758 ± 0.7012, 84.3792 ± 0.9780
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,1,84.8212 ± 0.5847, 84.4967 ± 0.8033
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,1,82.9578 ± 0.7755, 82.6522 ± 0.6002
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,1,85.5880 ± 0.5211, 85.0345 ± 0.8069
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,1,83.2547 ± 0.4316, 82.8645 ± 0.3343
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,1,82.5477 ± 0.6734, 82.3369 ± 0.4386
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,1,82.8527 ± 0.4993, 82.5492 ± 0.5190
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,1,85.1737 ± 0.6401, 84.7934 ± 0.8088
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,1,85.6663 ± 0.3544, 85.2014 ± 0.4373
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,1,82.2838 ± 1.7913, 81.9536 ± 1.5699
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,2,85.0170 ± 0.6179, 84.6492 ± 0.6771
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,2,83.0073 ± 0.6906, 82.5059 ± 0.2704
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,2,82.6919 ± 0.3547, 82.5204 ± 0.4081
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,2,82.5559 ± 0.6060, 82.3720 ± 0.3025
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,2,81.0203 ± 3.3054, 80.7439 ± 2.7863
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,2,85.4808 ± 0.4321, 85.1314 ± 0.3601
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,2,85.5138 ± 0.4621, 85.0469 ± 0.3627
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,2,82.4693 ± 0.8829, 82.1267 ± 0.5876
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,2,85.4931 ± 0.3723, 85.2056 ± 0.3240
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,2,82.5642 ± 0.6915, 82.0752 ± 0.8891
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,2,83.1083 ± 0.6209, 82.5657 ± 0.4797
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,2,84.4481 ± 1.1368, 83.8269 ± 0.9018
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,2,84.4399 ± 2.4157, 83.9897 ± 2.3544
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,3,58.1325 ± 4.9833, 57.6651 ± 4.6362
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,3,53.2000 ± 1.4125, 53.6445 ± 1.2959
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,3,54.2574 ± 1.3950, 53.8671 ± 1.6363
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,3,53.1382 ± 0.8056, 53.0654 ± 0.3338
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,3,55.3602 ± 6.0025, 55.6084 ± 5.8578
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,3,52.5446 ± 0.6885, 52.8676 ± 0.4957
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.5,0.5,3,58.9364 ± 7.6972, 58.9201 ± 8.2365
glognn, 0.01,0.0005,128,2,0.5,0.1,0.1,0.7,0.5,3,55.4818 ± 5.4531, 55.7919 ± 5.5178
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,3,53.2413 ± 0.6274, 53.1870 ± 0.6734
glognn, 0.01,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,3,53.2928 ± 0.7278, 53.2324 ± 0.9944
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,3,53.2062 ± 0.9026, 53.3663 ± 1.2153
glognn, 0.01,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,3,54.0204 ± 1.7248, 54.2648 ± 2.2011
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,1,85.3386 ± 0.4818, 84.8243 ± 0.7730
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,1,85.6354 ± 0.3982, 85.1520 ± 0.4559
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,1,83.1640 ± 0.4999, 82.8913 ± 0.3789
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,1,83.2670 ± 0.3995, 82.9943 ± 0.3746
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,1,83.3619 ± 0.3758, 83.0170 ± 0.3840
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,1,83.3474 ± 0.4058, 82.9016 ± 0.3827
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,2,80.5091 ± 4.5488, 80.3545 ± 4.3009
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,1,85.6127 ± 0.2638, 85.0222 ± 0.5766
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,1,85.6766 ± 0.2238, 85.2901 ± 0.4024
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,2,83.0156 ± 5.3670, 82.7594 ± 4.9563
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,1,83.4093 ± 0.4626, 82.9882 ± 0.3600
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,2,82.8218 ± 0.9889, 82.4173 ± 0.8614
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,2,84.9881 ± 0.5163, 84.5853 ± 0.6513
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.1,3,52.9259 ± 0.3738, 52.9933 ± 0.6315
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,2,83.2485 ± 0.6620, 82.7161 ± 0.3857
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,1,85.8064 ± 0.1403, 85.4013 ± 0.4365
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.1,3,54.3213 ± 3.4180, 54.5100 ± 3.1907
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,2,85.6972 ± 0.4332, 85.3663 ± 0.4716
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,2,85.4952 ± 0.4448, 85.0489 ± 0.6218
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,1,83.2361 ± 0.4192, 83.0108 ± 0.3706
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.5,0.5,3,55.0366 ± 2.9388, 54.7203 ± 2.9905
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,1,85.8209 ± 0.1856, 85.3560 ± 0.4309
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.7,0.1,1,83.3598 ± 0.3699, 83.0891 ± 0.3783
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.1,3,53.4989 ± 0.7096, 53.3560 ± 0.5519
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,2,83.3021 ± 0.2850, 82.8501 ± 0.2650
glognn, 0.01,0.0005,128,2,0.5,0.1,1.0,0.7,0.5,3,55.4571 ± 4.2011, 55.4395 ± 4.4875
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.1,2,83.4154 ± 0.2319, 82.9222 ± 0.2649
glognn, 0.001,0.0005,128,2,0.5,0.1,0.1,0.5,0.1,2,83.1784 ± 0.6364, 82.6069 ± 0.3948
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.5,0.5,3,53.7050 ± 1.1864, 53.6280 ± 1.0949
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.1,3,53.3031 ± 0.4368, 52.9171 ± 0.7148
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.5,2,86.0600 ± 0.1999, 85.5992 ± 0.2764
glognn, 0.001,0.0005,128,2,0.5,0.0,0.1,0.7,0.5,3,53.2742 ± 1.1039, 53.4797 ± 0.8039
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.5,0.1,3,53.5463 ± 1.6046, 53.7682 ± 0.8433
glognn, 0.001,0.0005,128,2,0.5,0.0,1.0,0.7,0.5,2,85.7240 ± 0.3555, 85.2962 ± 0.3090
