method,lr,weight_decay,hidden_channels,num_layers,dropout,val_acc,test_acc
h2gcn_strc, 0.01,0.001,8,1,0.0,73.8000 ± 1.5684, 74.2400 ± 0.8905
h2gcn_strc, 0.01,0.001,8,1,0.5,74.0800 ± 1.5975, 73.7400 ± 2.1244
h2gcn_strc, 0.01,0.001,8,2,0.0,74.0400 ± 3.5168, 72.0200 ± 3.4499
h2gcn_strc, 0.01,0.001,8,2,0.5,74.7600 ± 1.8022, 73.8000 ± 2.3696
h2gcn_strc, 0.01,0.001,16,1,0.0,70.8400 ± 6.6112, 70.4600 ± 4.8289
h2gcn_strc, 0.01,0.001,16,1,0.5,72.4000 ± 7.5392, 70.5000 ± 6.2622
h2gcn_strc, 0.01,0.001,16,2,0.0,74.3200 ± 2.0909, 72.4000 ± 3.0944
h2gcn_strc, 0.01,0.001,16,2,0.5,75.7200 ± 2.3774, 73.9800 ± 3.0922
h2gcn_strc, 0.01,0.001,32,1,0.0,72.0000 ± 5.8941, 71.6400 ± 3.9336
h2gcn_strc, 0.01,0.001,32,1,0.5,74.3600 ± 2.3212, 72.7000 ± 1.6628
h2gcn_strc, 0.01,0.001,32,2,0.0,75.0800 ± 1.7978, 74.2400 ± 1.1149
h2gcn_strc, 0.01,0.001,32,2,0.5,74.8000 ± 1.1832, 73.7600 ± 1.4363
h2gcn_strc, 0.01,0.001,64,1,0.0,73.9600 ± 2.2154, 72.3200 ± 2.2621
h2gcn_strc, 0.01,0.001,64,1,0.5,74.4800 ± 1.2696, 72.8200 ± 2.3700
