method,lr,weight_decay,hidden_channels,num_layers,dropout,val_acc,test_acc
h2gcn_strc, 0.01,0.001,32,1,0.0,50.1165 ± 0.1898, 49.8122 ± 0.1800
h2gcn_strc, 0.01,0.001,32,1,0.5,49.9563 ± 0.2376, 49.7097 ± 0.3571
h2gcn_strc, 0.01,0.001,32,2,0.0,50.7193 ± 0.1719, 50.5062 ± 0.2705
h2gcn_strc, 0.01,0.001,32,2,0.5,50.3087 ± 0.2505, 50.0810 ± 0.0966
h2gcn_strc, 0.01,0.001,64,1,0.0,49.9842 ± 0.1802, 49.7456 ± 0.0854
h2gcn_strc, 0.01,0.001,64,1,0.5,49.8949 ± 0.2104, 49.4863 ± 0.1251
h2gcn_strc, 0.01,0.001,64,2,0.0,50.7722 ± 0.1549, 50.4986 ± 0.1544
h2gcn_strc, 0.01,0.001,64,2,0.5,50.5133 ± 0.2019, 50.2459 ± 0.1926
h2gcn_strc, 0.01,0.0005,32,1,0.0,49.9634 ± 0.2061, 49.6970 ± 0.1585
h2gcn_strc, 0.01,0.0005,32,1,0.5,49.7168 ± 0.2297, 49.4839 ± 0.2684
h2gcn_strc, 0.01,0.0005,32,2,0.0,50.7434 ± 0.1495, 50.5685 ± 0.2412
h2gcn_strc, 0.01,0.0005,32,2,0.5,50.3678 ± 0.1935, 50.1316 ± 0.1839
h2gcn_strc, 0.01,0.0005,64,1,0.0,49.9832 ± 0.1735, 49.7234 ± 0.2315
h2gcn_strc, 0.01,0.0005,64,1,0.5,49.7040 ± 0.2495, 49.4688 ± 0.1544
h2gcn_strc, 0.01,0.0005,64,2,0.0,50.9054 ± 0.1452, 50.7098 ± 0.1517
h2gcn_strc, 0.01,0.0005,64,2,0.5,50.5572 ± 0.1539, 50.3734 ± 0.1078
h2gcn_strc, 0.001,0.001,32,1,0.0,49.9771 ± 0.3200, 49.8032 ± 0.2594
h2gcn_strc, 0.001,0.001,32,1,0.5,49.8174 ± 0.3110, 49.6814 ± 0.1898
h2gcn_strc, 0.001,0.001,32,2,0.0,49.7413 ± 0.1899, 49.4253 ± 0.2917
h2gcn_strc, 0.001,0.001,32,2,0.5,49.6237 ± 0.2519, 49.2846 ± 0.2623
h2gcn_strc, 0.001,0.001,64,1,0.0,49.8821 ± 0.1679, 49.7149 ± 0.2012
h2gcn_strc, 0.001,0.001,64,1,0.5,49.8538 ± 0.1935, 49.6677 ± 0.2294
