method,lr,weight_decay,hidden_channels,num_layers,dropout,val_acc,test_acc
h2gcn_strc, 0.01,0.001,8,1,0.0,90.3111 ± 1.4791, 90.8514 ± 0.8480
h2gcn_strc, 0.01,0.001,8,1,0.5,87.4667 ± 1.7680, 87.9986 ± 0.7588
h2gcn_strc, 0.01,0.001,8,2,0.0,79.1556 ± 2.2189, 76.7616 ± 5.0871
h2gcn_strc, 0.01,0.001,8,2,0.5,84.3556 ± 1.3931, 82.7185 ± 2.5617
h2gcn_strc, 0.001,0.0005,32,1,0.5,91.4667 ± 1.3753, 92.0332 ± 0.4394
h2gcn_strc, 0.001,0.0005,32,2,0.0,80.5333 ± 2.1751, 77.4703 ± 2.7790
h2gcn_strc, 0.001,0.0005,32,2,0.5,82.8444 ± 1.2313, 79.3721 ± 1.6325
h2gcn_strc, 0.001,0.0005,64,1,0.0,88.5333 ± 6.6567, 89.1861 ± 7.1980
h2gcn_strc, 0.001,0.0005,64,1,0.5,84.0444 ± 9.9162, 84.5248 ± 10.7774
h2gcn_strc, 0.001,0.0005,64,2,0.0,84.2222 ± 1.2472, 83.6638 ± 1.2250
h2gcn_strc, 0.001,0.0005,64,2,0.5,84.6667 ± 1.6555, 83.5546 ± 1.5359
