method,lr,weight_decay,hidden_channels,num_layers,dropout,val_acc,test_acc
h2gcn_strc, 0.01,0.001,8,1,0.0,65.1600 ± 1.7459, 64.1800 ± 2.7734
h2gcn_strc, 0.01,0.001,8,1,0.5,61.1600 ± 3.1509, 59.7600 ± 3.1887
h2gcn_strc, 0.01,0.001,8,2,0.0,52.8000 ± 4.6303, 50.2000 ± 6.5829
h2gcn_strc, 0.01,0.001,8,2,0.5,63.8400 ± 1.8515, 60.0200 ± 2.2731
h2gcn_strc, 0.01,0.001,16,1,0.0,65.5200 ± 2.6329, 64.7600 ± 2.6950
h2gcn_strc, 0.01,0.001,16,1,0.5,64.1200 ± 2.1429, 61.6600 ± 2.3734
h2gcn_strc, 0.01,0.001,16,2,0.0,58.5200 ± 2.0909, 54.7800 ± 4.0567
h2gcn_strc, 0.01,0.001,16,2,0.5,63.6400 ± 1.1781, 59.4000 ± 2.9487
h2gcn_strc, 0.01,0.001,32,1,0.0,66.4400 ± 1.9870, 64.2400 ± 2.4613
h2gcn_strc, 0.01,0.001,32,1,0.5,65.7200 ± 2.0229, 62.5600 ± 2.4110
h2gcn_strc, 0.01,0.001,32,2,0.0,60.2800 ± 2.3350, 57.5800 ± 2.8900
h2gcn_strc, 0.01,0.001,32,2,0.5,64.8000 ± 1.2570, 60.8000 ± 1.6867
h2gcn_strc, 0.01,0.001,64,1,0.0,67.1600 ± 2.1185, 64.5600 ± 1.9450
h2gcn_strc, 0.01,0.001,64,1,0.5,66.4400 ± 1.9463, 64.6600 ± 2.5422
h2gcn_strc, 0.01,0.001,64,2,0.0,63.2800 ± 2.6967, 60.7800 ± 2.8057
h2gcn_strc, 0.01,0.001,64,2,0.5,66.0400 ± 1.0526, 62.7400 ± 2.2568
h2gcn_strc, 0.01,0.0005,8,1,0.0,65.4000 ± 1.3928, 63.8400 ± 2.9779
h2gcn_strc, 0.01,0.0005,8,1,0.5,60.9600 ± 2.8824, 59.2800 ± 3.0638
h2gcn_strc, 0.01,0.0005,8,2,0.0,52.4400 ± 3.5282, 49.0400 ± 4.3420
h2gcn_strc, 0.01,0.0005,8,2,0.5,63.1200 ± 2.4844, 59.7800 ± 2.4954
h2gcn_strc, 0.01,0.0005,16,1,0.0,65.6000 ± 2.4454, 64.9400 ± 2.7709
h2gcn_strc, 0.01,0.0005,16,1,0.5,63.8400 ± 2.2379, 60.9200 ± 4.0084
h2gcn_strc, 0.01,0.0005,16,2,0.0,57.3600 ± 2.3975, 53.7600 ± 3.1405
h2gcn_strc, 0.01,0.0005,16,2,0.5,64.6400 ± 1.0334, 61.2400 ± 3.9380
h2gcn_strc, 0.01,0.0005,32,1,0.0,66.2000 ± 2.2136, 64.8600 ± 2.0574
h2gcn_strc, 0.01,0.0005,32,1,0.5,65.4800 ± 2.2917, 62.2200 ± 2.3102
h2gcn_strc, 0.01,0.0005,32,2,0.0,60.0400 ± 2.5432, 57.5000 ± 2.8205
h2gcn_strc, 0.01,0.0005,32,2,0.5,64.5600 ± 1.5710, 61.2400 ± 1.5566
h2gcn_strc, 0.01,0.0005,64,1,0.0,67.1600 ± 1.8515, 65.1800 ± 2.1359
h2gcn_strc, 0.01,0.0005,64,1,0.5,66.6000 ± 1.6613, 63.8800 ± 2.9304
h2gcn_strc, 0.01,0.0005,64,2,0.0,63.1200 ± 2.7878, 61.1200 ± 3.0252
