method,lr,weight_decay,hidden_channels,num_layers,dropout,val_acc,test_acc
h2gcn_strc, 0.01,0.001,8,1,0.0,72.9200 ± 2.7481, 73.8000 ± 1.7607
h2gcn_strc, 0.01,0.001,8,1,0.5,67.4000 ± 2.8566, 67.1200 ± 2.6253
h2gcn_strc, 0.01,0.001,8,2,0.0,70.6800 ± 2.3816, 70.0400 ± 2.4481
h2gcn_strc, 0.01,0.001,8,2,0.5,74.0400 ± 2.7691, 72.9600 ± 2.7373
h2gcn_strc, 0.01,0.001,16,1,0.0,73.2400 ± 3.4392, 73.8000 ± 2.4052
h2gcn_strc, 0.01,0.001,16,1,0.5,71.4400 ± 4.2389, 72.0200 ± 3.5905
h2gcn_strc, 0.01,0.001,16,2,0.0,74.3600 ± 2.3554, 72.8000 ± 2.2793
h2gcn_strc, 0.01,0.001,16,2,0.5,76.0400 ± 2.7181, 74.5200 ± 3.7077
h2gcn_strc, 0.01,0.001,32,1,0.0,74.1200 ± 2.7734, 75.0600 ± 2.1744
h2gcn_strc, 0.01,0.001,32,1,0.5,72.2000 ± 3.6633, 73.3000 ± 2.3195
h2gcn_strc, 0.01,0.001,32,2,0.0,74.8800 ± 1.6649, 72.9800 ± 2.8857
h2gcn_strc, 0.01,0.001,32,2,0.5,77.8800 ± 1.1967, 76.6200 ± 2.7977
h2gcn_strc, 0.01,0.001,64,1,0.0,74.1600 ± 3.2845, 75.2200 ± 1.9409
h2gcn_strc, 0.01,0.001,64,1,0.5,72.7600 ± 3.8455, 73.5000 ± 1.8748
h2gcn_strc, 0.01,0.001,64,2,0.0,76.4400 ± 2.1232, 74.4400 ± 4.2506
h2gcn_strc, 0.01,0.001,64,2,0.5,78.1600 ± 0.7668, 77.5400 ± 2.4552
h2gcn_strc, 0.01,0.0005,8,1,0.0,72.8800 ± 2.8900, 73.7600 ± 1.7155
h2gcn_strc, 0.01,0.0005,8,1,0.5,67.3200 ± 2.1194, 66.4800 ± 3.8758
h2gcn_strc, 0.01,0.0005,8,2,0.0,71.5200 ± 2.5479, 69.9000 ± 2.9757
h2gcn_strc, 0.01,0.0005,8,2,0.5,74.7600 ± 2.3766, 72.8600 ± 1.5837
h2gcn_strc, 0.01,0.0005,16,1,0.0,73.0800 ± 3.1164, 74.0000 ± 1.7103
h2gcn_strc, 0.01,0.0005,16,1,0.5,71.4000 ± 4.8270, 72.1000 ± 2.9326
h2gcn_strc, 0.01,0.0005,16,2,0.0,74.2400 ± 2.4183, 72.3600 ± 2.8050
h2gcn_strc, 0.01,0.0005,16,2,0.5,76.4400 ± 2.5116, 74.1400 ± 3.5893
h2gcn_strc, 0.01,0.0005,32,1,0.0,73.8800 ± 2.9482, 74.7200 ± 2.2577
h2gcn_strc, 0.01,0.0005,32,1,0.5,71.9200 ± 3.6072, 72.5200 ± 2.2287
h2gcn_strc, 0.01,0.0005,32,2,0.0,75.3200 ± 2.0278, 73.4200 ± 3.6561
h2gcn_strc, 0.01,0.0005,32,2,0.5,78.0800 ± 0.7694, 76.9800 ± 2.2174
h2gcn_strc, 0.01,0.0005,64,1,0.0,73.9200 ± 3.1515, 74.6600 ± 1.5143
h2gcn_strc, 0.01,0.0005,64,1,0.5,72.4800 ± 3.6949, 73.6800 ± 2.5675
h2gcn_strc, 0.01,0.0005,64,2,0.0,76.3200 ± 2.8305, 74.2400 ± 4.8413
h2gcn_strc, 0.01,0.0005,64,2,0.5,77.4400 ± 2.1420, 76.5000 ± 2.3717
h2gcn_strc, 0.001,0.001,8,1,0.0,69.7200 ± 2.6855, 71.0400 ± 3.1533
h2gcn_strc, 0.001,0.001,8,1,0.5,65.1600 ± 3.9329, 66.3400 ± 3.0786
h2gcn_strc, 0.001,0.001,8,2,0.0,66.9200 ± 3.2912, 66.7400 ± 2.6140
h2gcn_strc, 0.001,0.001,8,2,0.5,68.8000 ± 1.8547, 68.3600 ± 2.9356
h2gcn_strc, 0.001,0.001,16,1,0.0,73.0800 ± 3.1356, 73.4200 ± 2.3285
h2gcn_strc, 0.001,0.001,16,1,0.5,70.4400 ± 3.9456, 71.1600 ± 2.4162
h2gcn_strc, 0.001,0.001,16,2,0.0,71.1200 ± 1.8900, 68.0800 ± 2.2298
h2gcn_strc, 0.001,0.001,16,2,0.5,72.2000 ± 2.6115, 70.8200 ± 2.5646
h2gcn_strc, 0.001,0.001,32,1,0.0,73.4000 ± 2.7459, 74.4200 ± 2.2343
h2gcn_strc, 0.001,0.001,32,1,0.5,72.1200 ± 3.4018, 72.9600 ± 1.5582
h2gcn_strc, 0.001,0.001,32,2,0.0,72.0000 ± 1.7088, 70.1200 ± 4.0770
h2gcn_strc, 0.001,0.001,32,2,0.5,74.3200 ± 1.4670, 73.3400 ± 2.8483
h2gcn_strc, 0.001,0.001,64,1,0.0,73.8400 ± 2.8334, 74.6600 ± 1.2582
h2gcn_strc, 0.001,0.001,64,1,0.5,72.7600 ± 3.4566, 74.1200 ± 1.4533
h2gcn_strc, 0.001,0.001,64,2,0.0,73.3200 ± 1.9110, 72.4400 ± 3.3336
h2gcn_strc, 0.001,0.001,64,2,0.5,75.4000 ± 1.4353, 73.6600 ± 2.3575
h2gcn_strc, 0.001,0.0005,8,1,0.0,67.8800 ± 3.4543, 69.4000 ± 3.1607
h2gcn_strc, 0.001,0.0005,8,1,0.5,63.9200 ± 3.5117, 65.2000 ± 3.6173
h2gcn_strc, 0.001,0.0005,8,2,0.0,68.0000 ± 2.7092, 67.5800 ± 2.7743
h2gcn_strc, 0.001,0.0005,8,2,0.5,69.0400 ± 1.8352, 68.1800 ± 1.9791
h2gcn_strc, 0.001,0.0005,16,1,0.0,72.0800 ± 3.6403, 72.8400 ± 3.4588
h2gcn_strc, 0.001,0.0005,16,1,0.5,69.8400 ± 3.9023, 71.4600 ± 2.2744
h2gcn_strc, 0.001,0.0005,16,2,0.0,71.0800 ± 2.5908, 69.3200 ± 1.8939
h2gcn_strc, 0.001,0.0005,16,2,0.5,71.9600 ± 2.3891, 70.3000 ± 3.1000
h2gcn_strc, 0.001,0.0005,32,1,0.0,73.1200 ± 2.6442, 73.9400 ± 1.9769
h2gcn_strc, 0.001,0.0005,32,1,0.5,71.6800 ± 2.7590, 72.2600 ± 1.9578
h2gcn_strc, 0.001,0.0005,32,2,0.0,71.8000 ± 1.2083, 70.4600 ± 3.3694
h2gcn_strc, 0.001,0.0005,32,2,0.5,73.8800 ± 1.8089, 73.1600 ± 2.9762
h2gcn_strc, 0.001,0.0005,64,1,0.0,73.3200 ± 2.8411, 74.3800 ± 1.5353
h2gcn_strc, 0.001,0.0005,64,1,0.5,72.1200 ± 3.6949, 73.7600 ± 1.9230
h2gcn_strc, 0.001,0.0005,64,2,0.0,73.4000 ± 1.6852, 72.0200 ± 3.1300
h2gcn_strc, 0.001,0.0005,64,2,0.5,74.7200 ± 2.1005, 72.5400 ± 2.9348
h2gcn_strc, 0.01,0.001,32,1,0.0,60.6800 ± 1.5073, 59.8200 ± 2.8744
h2gcn_strc, 0.01,0.001,32,1,0.0,74.1200 ± 2.7734, 75.0600 ± 2.1744
h2gcn_strc, 0.01,0.001,32,1,0.0,60.6800 ± 1.5073, 59.8200 ± 2.8744
h2gcn_strc, 0.01,0.001,32,1,0.0,74.1200 ± 2.7734, 75.0600 ± 2.1744
h2gcn_strc, 0.01,0.001,32,1,0.5,62.2800 ± 0.4382, 60.8800 ± 2.3573
h2gcn_strc, 0.01,0.001,32,1,0.5,72.2000 ± 3.6633, 73.3000 ± 2.3195
h2gcn_strc, 0.01,0.001,32,2,0.0,74.7200 ± 1.4738, 73.4000 ± 3.4778
h2gcn_strc, 0.01,0.001,32,2,0.0,74.8800 ± 1.6649, 72.9800 ± 2.8857
h2gcn_strc, 0.01,0.001,32,2,0.5,77.8400 ± 2.3298, 77.4400 ± 1.8796
h2gcn_strc, 0.01,0.001,32,2,0.5,77.8800 ± 1.1967, 76.6200 ± 2.7977
h2gcn_strc, 0.01,0.001,64,1,0.0,63.2800 ± 2.3942, 62.0000 ± 2.4587
h2gcn_strc, 0.01,0.001,64,1,0.0,74.1600 ± 3.2845, 75.2200 ± 1.9409
h2gcn_strc, 0.01,0.001,64,1,0.5,63.2000 ± 2.0445, 62.8200 ± 2.3264
