method,lr,weight_decay,hidden_channels,num_layers,dropout,val_acc,test_acc
h2gcn_strc, 0.01,0.001,32,1,0.0,92.5333 ± 2.2804, 92.9644 ± 0.4829
h2gcn_strc, 0.01,0.001,32,1,0.5,93.0667 ± 1.2996, 92.6700 ± 0.3787
h2gcn_strc, 0.01,0.001,32,2,0.0,89.7333 ± 2.2901, 91.3886 ± 1.2539
h2gcn_strc, 0.01,0.001,32,2,0.5,91.7333 ± 1.7385, 91.7986 ± 0.6743
h2gcn_strc, 0.01,0.001,64,1,0.0,92.9333 ± 2.1909, 91.8991 ± 2.5986
h2gcn_strc, 0.01,0.001,64,1,0.5,93.0667 ± 1.3824, 92.3161 ± 0.5545
h2gcn_strc, 0.01,0.001,64,2,0.0,90.6667 ± 1.6997, 90.3379 ± 2.0774
h2gcn_strc, 0.01,0.001,64,2,0.5,92.0000 ± 1.2472, 92.5310 ± 0.4959
h2gcn_strc, 0.01,0.0005,32,1,0.0,92.8000 ± 2.2311, 92.9650 ± 0.4477
h2gcn_strc, 0.01,0.0005,32,1,0.5,92.8000 ± 1.3663, 92.6922 ± 0.5238
h2gcn_strc, 0.01,0.0005,32,2,0.0,90.9333 ± 2.5647, 91.5411 ± 1.3444
h2gcn_strc, 0.01,0.0005,32,2,0.5,92.1333 ± 1.8499, 92.0679 ± 0.7529
h2gcn_strc, 0.01,0.0005,64,1,0.0,93.4667 ± 1.5202, 91.3734 ± 2.8081
h2gcn_strc, 0.01,0.0005,64,1,0.5,92.9333 ± 1.3824, 92.5702 ± 0.7691
h2gcn_strc, 0.01,0.0005,64,2,0.0,91.3333 ± 1.8257, 91.0738 ± 1.4263
h2gcn_strc, 0.01,0.0005,64,2,0.5,92.5333 ± 1.5202, 91.1398 ± 3.0004
h2gcn_strc, 0.001,0.001,32,1,0.0,92.2667 ± 2.2410, 92.9019 ± 0.3509
h2gcn_strc, 0.001,0.001,32,1,0.5,92.5333 ± 2.2804, 92.8885 ± 0.4189
h2gcn_strc, 0.001,0.001,32,2,0.0,89.2000 ± 0.5578, 87.2371 ± 1.8283
h2gcn_strc, 0.001,0.001,32,2,0.5,89.8667 ± 0.8692, 86.8797 ± 1.4800
