method,lr,weight_decay,hidden_channels,num_layers,dropout,val_acc,test_acc
h2gcn_strc, 0.01,0.001,8,1,0.0,73.8000 ± 1.5684, 74.2400 ± 0.8905
h2gcn_strc, 0.01,0.001,8,1,0.5,74.0800 ± 1.5975, 73.7400 ± 2.1244
h2gcn_strc, 0.01,0.001,8,2,0.0,74.0400 ± 3.5168, 72.0200 ± 3.4499
h2gcn_strc, 0.01,0.001,8,2,0.5,74.7600 ± 1.8022, 73.8000 ± 2.3696
h2gcn_strc, 0.01,0.001,16,1,0.0,70.8400 ± 6.6112, 70.4600 ± 4.8289
h2gcn_strc, 0.01,0.001,16,1,0.5,72.4000 ± 7.5392, 70.5000 ± 6.2622
h2gcn_strc, 0.01,0.001,16,2,0.0,74.3200 ± 2.0909, 72.4000 ± 3.0944
h2gcn_strc, 0.01,0.001,16,2,0.5,75.7200 ± 2.3774, 73.9800 ± 3.0922
h2gcn_strc, 0.01,0.001,32,1,0.0,72.0000 ± 5.8941, 71.6400 ± 3.9336
h2gcn_strc, 0.01,0.001,32,1,0.5,74.3600 ± 2.3212, 72.7000 ± 1.6628
h2gcn_strc, 0.01,0.001,32,2,0.0,75.0800 ± 1.7978, 74.2400 ± 1.1149
h2gcn_strc, 0.01,0.001,32,2,0.5,74.8000 ± 1.1832, 73.7600 ± 1.4363
h2gcn_strc, 0.01,0.001,64,1,0.0,73.9600 ± 2.2154, 72.3200 ± 2.2621
h2gcn_strc, 0.01,0.001,64,1,0.5,74.4800 ± 1.2696, 72.8200 ± 2.3700
h2gcn_strc, 0.01,0.001,64,2,0.0,74.4800 ± 2.9003, 72.7200 ± 2.6395
h2gcn_strc, 0.01,0.001,64,2,0.5,75.8400 ± 1.9718, 75.2400 ± 2.3639
h2gcn_strc, 0.01,0.0005,8,1,0.0,73.6000 ± 1.8921, 73.0400 ± 1.5852
h2gcn_strc, 0.01,0.0005,8,1,0.5,74.2800 ± 2.1982, 72.8600 ± 2.7790
h2gcn_strc, 0.01,0.0005,8,2,0.0,73.5200 ± 2.5753, 72.9000 ± 2.6758
h2gcn_strc, 0.01,0.0005,8,2,0.5,75.6000 ± 1.1225, 74.3800 ± 0.8955
h2gcn_strc, 0.01,0.0005,16,1,0.0,73.6000 ± 1.7263, 72.3600 ± 1.7714
h2gcn_strc, 0.01,0.0005,16,1,0.5,75.0800 ± 1.2931, 73.5400 ± 1.4011
h2gcn_strc, 0.01,0.0005,16,2,0.0,75.0800 ± 2.3690, 72.9600 ± 3.0835
h2gcn_strc, 0.01,0.0005,16,2,0.5,74.7600 ± 1.7344, 74.1400 ± 2.9704
h2gcn_strc, 0.01,0.0005,32,1,0.0,74.3600 ± 1.9769, 72.7800 ± 1.1541
h2gcn_strc, 0.01,0.0005,32,1,0.5,74.5200 ± 2.2118, 72.6200 ± 1.9880
h2gcn_strc, 0.01,0.0005,32,2,0.0,73.8400 ± 1.8188, 72.2000 ± 2.1389
h2gcn_strc, 0.01,0.0005,32,2,0.5,75.5600 ± 1.2602, 73.8800 ± 1.7697
h2gcn_strc, 0.01,0.0005,64,1,0.0,74.2000 ± 1.8221, 72.3600 ± 1.8690
h2gcn_strc, 0.01,0.0005,64,1,0.5,74.6800 ± 1.7754, 72.1800 ± 2.3488
h2gcn_strc, 0.01,0.0005,64,2,0.0,74.2400 ± 3.7773, 72.6200 ± 3.0376
h2gcn_strc, 0.01,0.0005,64,2,0.5,75.4800 ± 1.6529, 73.7800 ± 1.9980
h2gcn_strc, 0.001,0.001,8,1,0.0,73.8800 ± 1.5912, 74.2000 ± 1.5297
h2gcn_strc, 0.001,0.001,8,1,0.5,74.0000 ± 1.5362, 73.2200 ± 2.4813
h2gcn_strc, 0.001,0.001,8,2,0.0,72.4400 ± 1.8942, 72.0400 ± 1.9832
h2gcn_strc, 0.001,0.001,8,2,0.5,74.1600 ± 1.5646, 72.5400 ± 2.2030
h2gcn_strc, 0.001,0.001,16,1,0.0,73.7600 ± 2.4470, 73.3200 ± 3.2182
h2gcn_strc, 0.001,0.001,16,1,0.5,75.8000 ± 1.9131, 74.8200 ± 0.8379
h2gcn_strc, 0.001,0.001,16,2,0.0,74.0800 ± 1.9829, 72.7200 ± 2.5724
h2gcn_strc, 0.001,0.001,16,2,0.5,73.8400 ± 1.9920, 72.5600 ± 2.4724
h2gcn_strc, 0.001,0.001,32,1,0.0,73.6800 ± 2.4356, 73.6000 ± 1.5684
h2gcn_strc, 0.001,0.001,32,1,0.5,75.2800 ± 2.5830, 74.1600 ± 2.5432
h2gcn_strc, 0.001,0.001,32,2,0.0,73.0000 ± 2.2226, 72.6000 ± 2.6665
h2gcn_strc, 0.001,0.001,32,2,0.5,74.4800 ± 2.2027, 73.9000 ± 2.2989
h2gcn_strc, 0.001,0.001,64,1,0.0,72.9200 ± 1.7697, 72.7200 ± 1.8860
h2gcn_strc, 0.001,0.001,64,1,0.5,74.4800 ± 2.5791, 73.8600 ± 2.4654
h2gcn_strc, 0.001,0.001,64,2,0.0,74.7200 ± 2.3942, 74.3200 ± 2.0777
h2gcn_strc, 0.001,0.001,64,2,0.5,75.4800 ± 1.5975, 74.7000 ± 1.0886
h2gcn_strc, 0.001,0.0005,8,1,0.0,73.4000 ± 1.3565, 73.2600 ± 1.2992
h2gcn_strc, 0.001,0.0005,8,1,0.5,73.6400 ± 1.5773, 72.9200 ± 2.5381
h2gcn_strc, 0.001,0.0005,8,2,0.0,72.2400 ± 2.0120, 71.2000 ± 3.1961
h2gcn_strc, 0.001,0.0005,8,2,0.5,73.7600 ± 0.9737, 72.6800 ± 1.8499
h2gcn_strc, 0.001,0.0005,16,1,0.0,73.2400 ± 2.4996, 72.9600 ± 2.7392
h2gcn_strc, 0.001,0.0005,16,1,0.5,75.2400 ± 1.9204, 73.8000 ± 1.2349
h2gcn_strc, 0.001,0.0005,16,2,0.0,73.5600 ± 1.6876, 71.8800 ± 2.1147
h2gcn_strc, 0.001,0.0005,16,2,0.5,73.8800 ± 1.9110, 72.6400 ± 2.4886
h2gcn_strc, 0.001,0.0005,32,1,0.0,74.0400 ± 2.8475, 73.6200 ± 1.8240
h2gcn_strc, 0.001,0.0005,32,1,0.5,75.4000 ± 3.0757, 74.6000 ± 3.6531
h2gcn_strc, 0.001,0.0005,32,2,0.0,72.9600 ± 2.1652, 73.1200 ± 2.0681
h2gcn_strc, 0.001,0.0005,32,2,0.5,74.1200 ± 2.1194, 73.0600 ± 2.5215
h2gcn_strc, 0.001,0.0005,64,1,0.0,72.6400 ± 1.8298, 72.2200 ± 1.7598
h2gcn_strc, 0.001,0.0005,64,1,0.5,74.4800 ± 2.2521, 73.6200 ± 2.3942
h2gcn_strc, 0.001,0.0005,64,2,0.0,74.6000 ± 1.7889, 74.0600 ± 1.3795
h2gcn_strc, 0.001,0.0005,64,2,0.5,74.7600 ± 1.8243, 74.5800 ± 1.2795
h2gcn_strc, 0.01,0.001,32,1,0.0,71.8800 ± 2.6668, 72.9400 ± 2.1349
h2gcn_strc, 0.01,0.001,32,1,0.0,72.0000 ± 5.8941, 71.6400 ± 3.9336
h2gcn_strc, 0.01,0.001,32,1,0.5,73.9600 ± 1.8836, 73.3600 ± 1.4893
h2gcn_strc, 0.01,0.001,32,1,0.5,74.3600 ± 2.3212, 72.7000 ± 1.6628
h2gcn_strc, 0.01,0.001,32,2,0.0,75.4000 ± 1.0100, 73.0400 ± 1.4363
h2gcn_strc, 0.01,0.001,32,2,0.0,75.0800 ± 1.7978, 74.2400 ± 1.1149
h2gcn_strc, 0.01,0.001,32,2,0.5,74.8000 ± 2.2672, 74.3000 ± 1.7805
h2gcn_strc, 0.01,0.001,32,2,0.5,74.8000 ± 1.1832, 73.7600 ± 1.4363
h2gcn_strc, 0.01,0.001,64,1,0.0,70.9600 ± 4.3918, 70.2800 ± 4.6644
h2gcn_strc, 0.01,0.001,64,1,0.0,73.9600 ± 2.2154, 72.3200 ± 2.2621
h2gcn_strc, 0.01,0.001,64,1,0.5,73.0400 ± 2.1138, 72.2400 ± 0.8849
h2gcn_strc, 0.01,0.001,64,1,0.5,74.4800 ± 1.2696, 72.8200 ± 2.3700
h2gcn_strc, 0.01,0.001,64,2,0.0,74.8800 ± 2.1753, 73.9800 ± 1.4377
h2gcn_strc, 0.01,0.001,64,2,0.0,74.4800 ± 2.9003, 72.7200 ± 2.6395
