method,lr,weight_decay,hidden_channels,num_layers,dropout,val_acc,test_acc
h2gcn_strc, 0.01,0.001,32,1,0.0,84.2688 ± 0.3881, 83.7733 ± 0.3211
h2gcn_strc, 0.01,0.001,32,1,0.5,84.3492 ± 0.3551, 83.6806 ± 0.3795
h2gcn_strc, 0.01,0.001,32,2,0.0,81.8180 ± 1.2178, 81.2736 ± 1.2658
h2gcn_strc, 0.01,0.001,32,2,0.5,84.5017 ± 0.3832, 83.8661 ± 0.3906
h2gcn_strc, 0.01,0.001,64,1,0.0,84.3698 ± 0.4189, 83.8660 ± 0.3387
h2gcn_strc, 0.01,0.001,64,1,0.5,84.3306 ± 0.3453, 83.8434 ± 0.2691
h2gcn_strc, 0.01,0.001,64,2,0.0,82.3271 ± 1.1625, 81.5477 ± 0.7804
h2gcn_strc, 0.01,0.001,64,2,0.5,84.4481 ± 0.2615, 83.6806 ± 0.6593
h2gcn_strc, 0.01,0.0005,32,1,0.0,84.1925 ± 0.3706, 83.6620 ± 0.3646
h2gcn_strc, 0.01,0.0005,32,1,0.5,84.0750 ± 0.4116, 83.6208 ± 0.3762
h2gcn_strc, 0.01,0.0005,32,2,0.0,81.2635 ± 0.9092, 80.8140 ± 1.0555
h2gcn_strc, 0.01,0.0005,32,2,0.5,84.7552 ± 0.3541, 83.9567 ± 0.5297
h2gcn_strc, 0.01,0.0005,64,1,0.0,84.2028 ± 0.3794, 83.6826 ± 0.2946
h2gcn_strc, 0.01,0.0005,64,1,0.5,84.2172 ± 0.3728, 83.6765 ± 0.2212
h2gcn_strc, 0.01,0.0005,64,2,0.0,82.5868 ± 1.1503, 82.0814 ± 1.0413
h2gcn_strc, 0.01,0.0005,64,2,0.5,84.4708 ± 0.1467, 83.8104 ± 0.6306
h2gcn_strc, 0.001,0.001,32,1,0.0,83.8400 ± 0.3678, 83.4827 ± 0.4061
h2gcn_strc, 0.001,0.001,32,1,0.5,83.6133 ± 0.0942, 83.1242 ± 0.5633
h2gcn_strc, 0.001,0.001,32,2,0.0,80.1216 ± 0.2125, 79.8702 ± 0.3985
h2gcn_strc, 0.001,0.001,32,2,0.5,79.9629 ± 0.4088, 79.6991 ± 0.4700
h2gcn_strc, 0.001,0.001,64,1,0.0,84.2502 ± 0.2261, 83.7342 ± 0.4866
h2gcn_strc, 0.001,0.001,64,1,0.5,84.3368 ± 0.0408, 83.8619 ± 0.5106
h2gcn_strc, 0.001,0.001,64,2,0.0,80.7276 ± 0.3169, 80.6430 ± 0.4178
h2gcn_strc, 0.001,0.001,64,2,0.5,80.4143 ± 0.4331, 80.2226 ± 0.3959
h2gcn_strc, 0.001,0.0005,32,1,0.0,83.3515 ± 0.2435, 82.9346 ± 0.4739
h2gcn_strc, 0.001,0.0005,32,1,0.5,83.2650 ± 0.2638, 82.6399 ± 0.5280
h2gcn_strc, 0.001,0.0005,32,2,0.0,79.8557 ± 0.2382, 79.6558 ± 0.4987
h2gcn_strc, 0.001,0.0005,32,2,0.5,79.7176 ± 0.2837, 79.2725 ± 0.4374
h2gcn_strc, 0.001,0.0005,64,1,0.0,84.3636 ± 0.2885, 83.8928 ± 0.2701
h2gcn_strc, 0.001,0.0005,64,1,0.5,84.3389 ± 0.1850, 83.9402 ± 0.3765
h2gcn_strc, 0.001,0.0005,64,2,0.0,80.3710 ± 0.3599, 80.0495 ± 0.3060
h2gcn_strc, 0.001,0.0005,64,2,0.5,80.2391 ± 0.3089, 80.0350 ± 0.4598
