method,lr,weight_decay,hidden_channels,num_layers,power,val_acc,test_acc
linkx_aggr, 0.01,0.001,16,1,2,89.0222 ± 1.4107, 89.4671 ± 1.4447
linkx_aggr, 0.01,0.001,16,1,5,88.1778 ± 1.1905, 88.7562 ± 2.7714
linkx_aggr, 0.01,0.001,16,1,10,87.2889 ± 1.8149, 88.8972 ± 0.9900
linkx_aggr, 0.01,0.001,32,1,2,89.6444 ± 1.4791, 90.2770 ± 0.9854
linkx_aggr, 0.01,0.001,32,1,5,88.8889 ± 1.3517, 89.7970 ± 0.7188
linkx_aggr, 0.01,0.001,32,1,10,88.0889 ± 1.3481, 89.2464 ± 1.0032
linkx_aggr, 0.01,0.001,128,1,2,88.1333 ± 1.0012, 87.7131 ± 3.8466
linkx_aggr, 0.01,0.001,128,1,5,87.3778 ± 1.4774, 87.5903 ± 0.7320
linkx_aggr, 0.01,0.001,128,1,10,88.0444 ± 1.2512, 89.1645 ± 1.0117
linkx_aggr, 0.01,0.001,16,2,2,68.3111 ± 1.8163, 65.8522 ± 8.3272
linkx_aggr, 0.01,0.001,16,2,5,75.2889 ± 3.6965, 78.2051 ± 1.6841
linkx_aggr, 0.01,0.001,16,2,10,75.5556 ± 6.4022, 76.3908 ± 5.0497
linkx_aggr, 0.01,0.001,32,2,2,79.5111 ± 4.7646, 79.1833 ± 5.0314
linkx_aggr, 0.01,0.001,32,2,5,84.8889 ± 2.8846, 86.3516 ± 1.3472
linkx_aggr, 0.01,0.001,32,2,10,84.0444 ± 2.4006, 85.3051 ± 1.7642
linkx_aggr, 0.01,0.001,128,2,2,86.5778 ± 2.2088, 85.8955 ± 2.9767
linkx_aggr, 0.01,0.001,128,2,5,87.8667 ± 2.3391, 88.4457 ± 1.5541
linkx_aggr, 0.01,0.001,128,2,10,87.4667 ± 1.3296, 89.0690 ± 1.2027
linkx_aggr, 0.01,0.0005,16,1,2,89.0222 ± 1.4107, 89.5922 ± 1.2385
