method,lr,weight_decay,hidden_channels,num_layers,power,val_acc,test_acc
linkx_aggr, 0.01,0.001,16,1,2,61.8400 ± 1.0714, 58.7200 ± 2.2050
linkx_aggr, 0.01,0.001,16,1,5,64.5200 ± 2.9853, 61.5800 ± 3.2112
linkx_aggr, 0.01,0.001,16,1,10,64.4800 ± 4.2252, 61.4800 ± 3.6086
linkx_aggr, 0.01,0.001,32,1,2,64.0800 ± 2.7950, 61.7400 ± 0.9813
linkx_aggr, 0.01,0.001,32,1,5,66.0000 ± 2.2716, 63.8200 ± 1.2398
linkx_aggr, 0.01,0.001,32,1,10,66.3200 ± 1.7181, 63.5600 ± 1.7994
linkx_aggr, 0.01,0.001,128,1,2,67.3600 ± 1.1349, 64.6400 ± 1.0574
linkx_aggr, 0.01,0.001,128,1,5,67.8000 ± 1.2806, 64.0800 ± 1.0941
linkx_aggr, 0.01,0.001,128,1,10,66.4400 ± 1.9769, 63.3000 ± 2.3377
linkx_aggr, 0.01,0.001,16,2,2,42.2800 ± 4.2323, 40.0800 ± 4.9272
linkx_aggr, 0.01,0.001,16,2,5,51.4800 ± 5.9659, 49.7400 ± 4.3753
linkx_aggr, 0.01,0.001,16,2,10,55.4400 ± 7.6986, 52.6200 ± 4.4268
linkx_aggr, 0.01,0.001,32,2,2,46.5600 ± 3.2075, 44.7200 ± 4.5180
linkx_aggr, 0.01,0.001,32,2,5,56.9200 ± 3.4572, 54.1000 ± 4.5172
linkx_aggr, 0.01,0.001,32,2,10,60.0400 ± 2.3639, 57.6000 ± 2.5603
linkx_aggr, 0.01,0.001,128,2,2,57.6000 ± 2.4617, 55.9800 ± 2.0511
linkx_aggr, 0.01,0.001,128,2,5,60.2000 ± 3.4728, 58.5800 ± 3.2476
linkx_aggr, 0.01,0.001,128,2,10,63.2400 ± 3.0770, 61.4800 ± 1.4923
linkx_aggr, 0.01,0.0005,16,1,2,61.8000 ± 1.0198, 58.7400 ± 2.1893
linkx_aggr, 0.01,0.0005,16,1,5,64.5200 ± 2.9853, 61.5800 ± 3.2112
linkx_aggr, 0.01,0.0005,16,1,10,64.4800 ± 4.2252, 61.4800 ± 3.6086
linkx_aggr, 0.01,0.0005,32,1,2,64.0800 ± 2.7950, 61.7400 ± 0.9813
linkx_aggr, 0.01,0.0005,32,1,5,66.0000 ± 2.2716, 63.8200 ± 1.2398
linkx_aggr, 0.01,0.0005,32,1,10,66.3200 ± 1.7181, 63.5600 ± 1.7994
linkx_aggr, 0.01,0.0005,128,1,2,67.3600 ± 1.1349, 64.6400 ± 1.0574
linkx_aggr, 0.01,0.0005,128,1,5,67.8000 ± 1.2806, 64.0800 ± 1.0941
linkx_aggr, 0.01,0.0005,128,1,10,66.4400 ± 1.9769, 63.3000 ± 2.3377
linkx_aggr, 0.01,0.0005,16,2,2,42.0400 ± 4.6613, 40.0400 ± 4.9793
linkx_aggr, 0.01,0.0005,16,2,5,51.5200 ± 5.9171, 49.7600 ± 4.3443
linkx_aggr, 0.01,0.0005,16,2,10,55.4800 ± 7.7583, 52.6200 ± 4.4268
linkx_aggr, 0.01,0.0005,32,2,2,46.4400 ± 3.2906, 45.1400 ± 4.2359
linkx_aggr, 0.01,0.0005,32,2,5,56.9200 ± 3.4572, 54.1000 ± 4.5172
linkx_aggr, 0.01,0.0005,32,2,10,60.0800 ± 2.3732, 57.6000 ± 2.5603
linkx_aggr, 0.01,0.0005,128,2,2,57.5600 ± 2.4183, 56.0000 ± 2.0457
linkx_aggr, 0.01,0.0005,128,2,5,60.3600 ± 3.3746, 58.5200 ± 3.3454
linkx_aggr, 0.01,0.0005,128,2,10,63.2400 ± 3.0770, 61.5000 ± 1.4543
