method,lr,weight_decay,hidden_channels,num_layers,power,val_acc,test_acc
linkx_aggr, 0.01,0.001,16,1,2,75.0000 ± 1.3784, 74.6200 ± 3.0833
linkx_aggr, 0.01,0.001,16,1,5,78.8800 ± 1.7181, 79.4200 ± 1.3646
linkx_aggr, 0.01,0.001,16,1,10,79.3600 ± 1.3520, 79.7400 ± 0.6189
linkx_aggr, 0.01,0.001,32,1,2,76.7200 ± 1.1713, 77.1600 ± 2.2876
linkx_aggr, 0.01,0.001,32,1,5,80.0800 ± 0.8786, 80.8200 ± 1.2677
linkx_aggr, 0.01,0.001,32,1,10,80.3200 ± 1.2133, 81.2200 ± 1.2256
linkx_aggr, 0.01,0.001,128,1,2,77.9600 ± 1.2602, 78.8800 ± 1.8740
linkx_aggr, 0.01,0.001,128,1,5,80.7200 ± 1.0545, 81.2600 ± 1.7111
linkx_aggr, 0.01,0.001,128,1,10,78.9200 ± 2.0474, 78.4000 ± 3.7020
linkx_aggr, 0.01,0.001,16,2,2,45.2400 ± 6.0637, 44.4000 ± 6.8538
linkx_aggr, 0.01,0.001,16,2,5,59.1200 ± 4.2370, 60.4800 ± 4.7045
linkx_aggr, 0.01,0.001,16,2,10,68.6800 ± 4.8530, 70.5400 ± 5.6434
linkx_aggr, 0.01,0.001,32,2,2,51.6400 ± 5.3952, 52.7200 ± 6.9135
linkx_aggr, 0.01,0.001,32,2,5,66.0000 ± 6.0083, 65.5600 ± 6.5370
linkx_aggr, 0.01,0.001,32,2,10,73.9200 ± 3.9309, 74.0600 ± 4.6220
linkx_aggr, 0.01,0.001,128,2,2,65.9200 ± 6.2827, 66.2000 ± 4.3903
linkx_aggr, 0.01,0.001,128,2,5,73.1600 ± 2.5195, 72.6600 ± 3.2192
linkx_aggr, 0.01,0.001,128,2,10,76.7200 ± 0.5404, 78.1800 ± 0.7497
linkx_aggr, 0.01,0.0005,16,1,2,75.0000 ± 1.3784, 74.6200 ± 3.0833
linkx_aggr, 0.01,0.0005,16,1,5,78.8800 ± 1.7181, 79.4200 ± 1.3646
linkx_aggr, 0.01,0.0005,16,1,10,79.3600 ± 1.3520, 79.7400 ± 0.6189
linkx_aggr, 0.01,0.0005,32,1,2,76.7200 ± 1.1713, 77.1600 ± 2.2876
linkx_aggr, 0.01,0.0005,32,1,5,80.0800 ± 0.8786, 80.8200 ± 1.2677
linkx_aggr, 0.01,0.0005,32,1,10,80.3200 ± 1.2133, 81.2200 ± 1.2256
linkx_aggr, 0.01,0.0005,128,1,2,77.9600 ± 1.2602, 78.8800 ± 1.8740
linkx_aggr, 0.01,0.0005,128,1,5,80.7200 ± 1.0545, 81.2600 ± 1.7111
linkx_aggr, 0.01,0.0005,128,1,10,78.8400 ± 2.0416, 78.3000 ± 3.7222
linkx_aggr, 0.01,0.0005,16,2,2,47.1600 ± 4.0924, 46.9200 ± 4.1069
linkx_aggr, 0.01,0.0005,16,2,5,57.7600 ± 5.7522, 60.0800 ± 4.6832
linkx_aggr, 0.01,0.0005,16,2,10,68.5600 ± 4.9141, 70.2200 ± 6.5028
linkx_aggr, 0.01,0.0005,32,2,2,52.9200 ± 4.2488, 55.5000 ± 4.4198
linkx_aggr, 0.01,0.0005,32,2,5,64.6000 ± 6.1935, 64.2000 ± 7.9542
linkx_aggr, 0.01,0.0005,32,2,10,74.0000 ± 3.9875, 73.9800 ± 4.6456
