method,lr,weight_decay,hidden_channels,num_layers,power,val_acc,test_acc
linkx_aggr, 0.01,0.0005,32,1,2,92.4000 ± 2.0870, 92.1280 ± 0.9487
linkx_aggr, 0.01,0.001,32,2,2,86.4000 ± 2.1909, 81.9052 ± 3.2780
linkx_aggr, 0.01,0.001,32,1,2,92.4000 ± 2.0870, 92.1274 ± 0.9485
linkx_aggr, 0.01,0.0005,32,1,5,92.0000 ± 1.4907, 92.6181 ± 1.2870
linkx_aggr, 0.01,0.001,32,1,5,92.0000 ± 1.4907, 92.6181 ± 1.2870
linkx_aggr, 0.01,0.001,32,2,5,90.0000 ± 2.3570, 86.3306 ± 4.2938
linkx_aggr, 0.01,0.001,64,1,2,91.6000 ± 2.3381, 92.4428 ± 0.9957
linkx_aggr, 0.01,0.0005,64,1,2,91.6000 ± 2.3381, 92.4428 ± 0.9957
linkx_aggr, 0.01,0.001,64,2,2,89.7333 ± 4.0716, 88.4222 ± 2.0647
linkx_aggr, 0.01,0.001,64,1,5,91.3333 ± 2.5386, 91.8214 ± 1.4537
linkx_aggr, 0.01,0.0005,32,1,10,91.2000 ± 1.1926, 92.5713 ± 0.4175
linkx_aggr, 0.01,0.001,32,2,10,90.8000 ± 3.2455, 88.5974 ± 6.0064
linkx_aggr, 0.01,0.001,32,1,10,91.2000 ± 1.1926, 92.5713 ± 0.4175
linkx_aggr, 0.01,0.001,64,2,5,91.6000 ± 2.5647, 90.3087 ± 1.0566
linkx_aggr, 0.01,0.0005,32,2,2,85.3333 ± 2.3570, 80.0146 ± 2.1191
linkx_aggr, 0.01,0.0005,64,1,5,91.3333 ± 2.5386, 91.8214 ± 1.4537
linkx_aggr, 0.01,0.001,128,1,2,92.1333 ± 2.5560, 92.6741 ± 0.3533
linkx_aggr, 0.01,0.001,128,2,2,90.9333 ± 1.5348, 89.8157 ± 1.8001
linkx_aggr, 0.01,0.0005,32,2,5,89.6000 ± 2.4313, 89.3642 ± 3.1081
linkx_aggr, 0.01,0.001,64,1,10,90.6667 ± 1.3333, 92.0434 ± 1.7738
linkx_aggr, 0.01,0.001,64,2,10,91.2000 ± 2.0763, 90.1300 ± 2.2038
linkx_aggr, 0.01,0.0005,64,2,2,90.5333 ± 3.5087, 88.5279 ± 2.0464
linkx_aggr, 0.001,0.001,32,1,2,91.2000 ± 1.9090, 92.9259 ± 0.8505
linkx_aggr, 0.001,0.001,32,1,5,91.2000 ± 2.1807, 93.1069 ± 0.5608
linkx_aggr, 0.01,0.0005,64,2,5,92.0000 ± 2.8674, 89.6604 ± 1.7736
linkx_aggr, 0.01,0.0005,32,2,10,90.9333 ± 3.0768, 87.8141 ± 5.9453
linkx_aggr, 0.01,0.0005,128,1,2,92.1333 ± 2.5560, 92.6741 ± 0.3533
linkx_aggr, 0.01,0.0005,64,1,10,90.6667 ± 1.3333, 92.0434 ± 1.7738
linkx_aggr, 0.001,0.001,64,1,2,92.5333 ± 1.9664, 92.5778 ± 0.8990
linkx_aggr, 0.01,0.001,128,1,5,91.6000 ± 2.6077, 91.9878 ± 1.2833
linkx_aggr, 0.01,0.001,128,2,5,91.2000 ± 2.3286, 89.9150 ± 3.4483
linkx_aggr, 0.001,0.001,32,2,2,59.0667 ± 4.8671, 60.6168 ± 3.5959
linkx_aggr, 0.001,0.001,32,1,10,90.8000 ± 1.9090, 92.8563 ± 0.6031
linkx_aggr, 0.001,0.001,64,1,5,92.4000 ± 2.3381, 92.8149 ± 0.8820
linkx_aggr, 0.01,0.0005,128,2,2,91.2000 ± 1.1926, 89.6516 ± 1.5797
linkx_aggr, 0.01,0.0005,64,2,10,90.9333 ± 2.4313, 90.3758 ± 2.5423
linkx_aggr, 0.001,0.001,32,2,5,71.6000 ± 4.7282, 72.9037 ± 6.5387
linkx_aggr, 0.001,0.001,64,2,2,74.5333 ± 6.3316, 71.9201 ± 6.7399
