method,lr,weight_decay,hidden_channels,num_layers,power,val_acc,test_acc
linkx_aggr, 0.01,0.001,16,1,2,72.4800 ± 0.5762, 71.0400 ± 2.0936
linkx_aggr, 0.01,0.001,16,1,5,75.4800 ± 1.4464, 73.6200 ± 2.2554
linkx_aggr, 0.01,0.001,16,1,10,76.9600 ± 1.8407, 75.7200 ± 1.7239
linkx_aggr, 0.01,0.001,32,1,2,73.2400 ± 2.4956, 72.4000 ± 1.7088
linkx_aggr, 0.01,0.001,32,1,5,75.0800 ± 2.1569, 73.6000 ± 2.2125
linkx_aggr, 0.01,0.001,32,1,10,76.4800 ± 1.4325, 75.3800 ± 2.7151
linkx_aggr, 0.01,0.001,128,1,2,72.6400 ± 0.7925, 72.7600 ± 2.2278
linkx_aggr, 0.01,0.001,128,1,5,75.0800 ± 1.5139, 74.1000 ± 2.8522
linkx_aggr, 0.01,0.001,128,1,10,75.0800 ± 1.8900, 73.8200 ± 3.4867
linkx_aggr, 0.01,0.001,16,2,2,56.2000 ± 5.0140, 53.3400 ± 3.7554
linkx_aggr, 0.01,0.001,16,2,5,59.1600 ± 3.4854, 59.4200 ± 2.0364
linkx_aggr, 0.01,0.001,16,2,10,64.6000 ± 2.6344, 62.2400 ± 2.8201
linkx_aggr, 0.01,0.001,32,2,2,56.4000 ± 1.7720, 55.5600 ± 2.7446
linkx_aggr, 0.01,0.001,32,2,5,58.7600 ± 4.8711, 57.7600 ± 5.9151
linkx_aggr, 0.01,0.001,32,2,10,66.1200 ± 4.7825, 64.8800 ± 5.9031
linkx_aggr, 0.01,0.001,128,2,2,59.7200 ± 4.6660, 57.7200 ± 7.4971
linkx_aggr, 0.01,0.001,128,2,5,60.8800 ± 3.7831, 58.7400 ± 4.7511
linkx_aggr, 0.01,0.001,128,2,10,62.1600 ± 5.5505, 62.1600 ± 5.8054
linkx_aggr, 0.01,0.0005,16,1,2,72.4800 ± 0.5762, 71.0200 ± 2.1112
linkx_aggr, 0.01,0.0005,16,1,5,75.4800 ± 1.4464, 73.6200 ± 2.2554
linkx_aggr, 0.01,0.0005,16,1,10,76.9600 ± 1.8407, 75.7200 ± 1.7239
linkx_aggr, 0.01,0.0005,32,1,2,73.2400 ± 2.4956, 72.4000 ± 1.7088
linkx_aggr, 0.01,0.0005,32,1,5,75.0800 ± 2.1569, 73.5800 ± 2.2197
linkx_aggr, 0.01,0.0005,32,1,10,76.4800 ± 1.4325, 75.3800 ± 2.7151
linkx_aggr, 0.01,0.0005,128,1,2,72.6400 ± 0.7925, 72.7600 ± 2.2278
linkx_aggr, 0.01,0.0005,128,1,5,75.0800 ± 1.5139, 74.1000 ± 2.8522
linkx_aggr, 0.01,0.0005,128,1,10,75.0800 ± 1.8900, 73.8200 ± 3.4867
linkx_aggr, 0.001,0.001,32,2,5,53.4400 ± 3.7159, 51.0200 ± 4.1686
linkx_aggr, 0.001,0.001,32,2,10,55.8800 ± 2.9853, 53.4000 ± 2.3420
linkx_aggr, 0.001,0.001,128,2,2,51.4000 ± 2.0833, 50.3600 ± 2.5086
linkx_aggr, 0.001,0.001,128,2,5,55.9200 ± 4.9751, 53.4600 ± 3.7925
linkx_aggr, 0.001,0.001,128,2,10,59.3600 ± 5.0861, 56.6600 ± 6.1610
linkx_aggr, 0.001,0.0005,16,1,2,71.9600 ± 3.5508, 70.2000 ± 2.9257
linkx_aggr, 0.001,0.0005,16,1,5,74.2400 ± 2.7401, 72.0000 ± 3.3548
linkx_aggr, 0.001,0.0005,16,1,10,76.2000 ± 2.1024, 74.5600 ± 2.3104
linkx_aggr, 0.001,0.0005,32,1,2,72.8000 ± 3.1337, 71.0200 ± 2.6224
linkx_aggr, 0.001,0.0005,32,1,5,74.2800 ± 2.8341, 73.4200 ± 2.8543
linkx_aggr, 0.001,0.0005,32,1,10,75.4800 ± 2.8657, 73.9800 ± 3.6148
linkx_aggr, 0.001,0.0005,128,1,2,72.6800 ± 2.9414, 71.8800 ± 2.2005
linkx_aggr, 0.001,0.0005,128,1,5,75.1200 ± 1.9677, 74.1600 ± 1.8311
linkx_aggr, 0.001,0.0005,128,1,10,75.5200 ± 2.1891, 73.9000 ± 2.6334
linkx_aggr, 0.001,0.0005,16,2,2,51.0800 ± 2.2830, 48.1200 ± 2.1615
linkx_aggr, 0.001,0.0005,16,2,5,51.8800 ± 3.2699, 49.0600 ± 3.4897
linkx_aggr, 0.001,0.0005,16,2,10,55.9200 ± 2.7408, 55.6400 ± 4.4123
linkx_aggr, 0.001,0.0005,32,2,2,50.8400 ± 2.8824, 48.3800 ± 3.2322
linkx_aggr, 0.001,0.0005,32,2,5,52.4000 ± 2.1587, 50.6000 ± 2.1552
linkx_aggr, 0.001,0.0005,32,2,10,55.6000 ± 3.5749, 53.0000 ± 3.0919
linkx_aggr, 0.001,0.0005,128,2,2,52.2400 ± 3.2044, 50.8400 ± 2.7916
linkx_aggr, 0.001,0.0005,128,2,5,55.5600 ± 5.3055, 52.5800 ± 5.3476
linkx_aggr, 0.001,0.0005,128,2,10,59.3600 ± 5.0287, 57.2400 ± 6.0670
