method,lr,weight_decay,hidden_channels,num_layers,power,val_acc,test_acc
linkx_aggr, 0.01,0.0005,32,1,2,54.8482 ± 0.2295, 54.7819 ± 0.2745
linkx_aggr, 0.01,0.0005,32,1,5,54.9876 ± 0.3002, 54.9250 ± 0.2310
linkx_aggr, 0.01,0.0005,32,2,2,48.7105 ± 1.4017, 48.6841 ± 1.3134
linkx_aggr, 0.01,0.0005,32,1,10,54.9772 ± 0.3217, 54.8830 ± 0.1675
linkx_aggr, 0.01,0.0005,32,2,5,49.3488 ± 1.1659, 49.3294 ± 0.8331
linkx_aggr, 0.01,0.0005,64,1,2,54.9007 ± 0.4403, 54.8164 ± 0.3543
linkx_aggr, 0.001,0.0005,32,1,2,54.2662 ± 0.2104, 54.1819 ± 0.2515
linkx_aggr, 0.01,0.0005,64,1,5,55.0330 ± 0.4879, 54.9945 ± 0.2104
linkx_aggr, 0.01,0.0005,64,2,2,50.4146 ± 1.1050, 50.3224 ± 1.2351
linkx_aggr, 0.001,0.0005,32,1,5,54.4070 ± 0.2335, 54.3534 ± 0.2028
linkx_aggr, 0.01,0.0005,32,2,10,49.2420 ± 1.2383, 49.1806 ± 0.9761
linkx_aggr, 0.001,0.0005,32,2,2,48.3623 ± 1.2301, 48.3100 ± 1.3647
linkx_aggr, 0.001,0.0005,64,1,2,54.7537 ± 0.4017, 54.6874 ± 0.2286
linkx_aggr, 0.01,0.0005,128,1,2,54.5246 ± 0.3469, 54.5457 ± 0.3789
linkx_aggr, 0.01,0.0005,64,2,5,50.2190 ± 0.9108, 50.1514 ± 0.9148
linkx_aggr, 0.001,0.0005,32,1,10,54.4486 ± 0.2590, 54.3855 ± 0.2247
linkx_aggr, 0.01,0.0005,64,1,10,54.9923 ± 0.4065, 54.9940 ± 0.2908
linkx_aggr, 0.001,0.0005,32,2,5,48.2627 ± 1.3407, 48.1716 ± 1.3404
linkx_aggr, 0.001,0.0005,64,2,2,49.9180 ± 0.4003, 49.8259 ± 0.6494
linkx_aggr, 0.001,0.0005,64,1,5,54.8799 ± 0.3269, 54.8324 ± 0.1960
linkx_aggr, 0.01,0.0005,128,2,2,51.9863 ± 1.0441, 52.0410 ± 0.9950
linkx_aggr, 0.01,0.0005,128,1,5,54.7178 ± 0.3871, 54.6992 ± 0.4373
linkx_aggr, 0.001,0.0005,32,2,10,48.5475 ± 1.7225, 48.3619 ± 1.7610
linkx_aggr, 0.01,0.0005,64,2,10,49.1943 ± 0.9855, 49.1395 ± 1.1796
linkx_aggr, 0.001,0.0005,128,1,2,55.1170 ± 0.1322, 55.0724 ± 0.1769
linkx_aggr, 0.001,0.0005,64,2,5,49.8826 ± 0.7315, 49.7272 ± 0.7612
linkx_aggr, 0.001,0.0005,64,1,10,54.9002 ± 0.3251, 54.7890 ± 0.2077
linkx_aggr, 0.01,0.0005,128,2,5,51.8658 ± 1.3536, 51.7491 ± 1.1766
linkx_aggr, 0.001,0.0005,128,2,2,50.5978 ± 0.9203, 50.5577 ± 0.9105
linkx_aggr, 0.001,0.0005,128,1,5,55.2007 ± 0.1341, 55.1343 ± 0.2598
linkx_aggr, 0.001,0.0005,64,2,10,49.8292 ± 0.7584, 49.6252 ± 0.5734
linkx_aggr, 0.01,0.0005,128,1,10,54.5482 ± 0.3899, 54.5457 ± 0.3758
linkx_aggr, 0.001,0.0005,128,2,5,50.5355 ± 0.8696, 50.4844 ± 0.9696
linkx_aggr, 0.01,0.0005,128,2,10,51.9121 ± 1.3432, 51.8497 ± 1.3080
linkx_aggr, 0.001,0.0005,128,1,10,55.1964 ± 0.1154, 55.1036 ± 0.2595
linkx_aggr, 0.001,0.0005,128,2,10,50.7481 ± 0.9983, 50.7386 ± 0.9811
